Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
2,46,VILLA DE ARISTA ,1556,B01,678,118,187,9,0,11,0,9,54,104,11,2,505,14,519,181,302,20,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1556,C01,677,145,312,25,0,0,0,0,0,0,0,0,482,5,487,145,312,25,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1556,C02,677,91,219,8,1,3,22,6,42,103,11,0,506,6,512,139,325,42,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1557,B01,542,98,159,8,0,7,0,3,61,66,4,0,406,9,415,162,232,12,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1557,C01,542,99,164,12,2,6,0,4,36,66,8,0,397,10,407,139,236,22,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1557,C02,541,102,166,7,1,4,1,6,45,72,5,0,409,6,415,153,242,14,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1558,B01,718,140,203,9,2,5,3,3,56,76,7,0,504,16,520,199,284,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1558,C01,718,137,213,10,0,5,0,8,55,105,6,0,539,6,545,200,323,16,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1559,B01,130,22,39,5,0,2,1,1,4,29,2,0,105,4,109,27,70,8,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1560,B01,215,43,70,2,0,6,0,0,20,33,3,0,177,0,177,63,109,5,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1561,B01,407,58,122,7,0,1,0,2,29,78,2,0,299,9,308,89,201,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1561,C01,407,74,145,6,2,1,0,3,19,61,2,0,313,15,328,96,207,10,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1562,B01,507,85,210,6,0,8,0,2,18,77,3,0,409,10,419,105,295,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1563,B01,258,38,104,1,1,5,1,2,17,31,0,0,200,3,203,57,140,3,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1564,B01,500,71,156,2,2,3,1,1,43,88,3,0,370,13,383,115,247,8,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1565,B01,619,167,174,1,1,2,0,3,58,69,1,0,476,8,484,228,245,3,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1565,E01,415,85,156,3,0,5,0,0,28,39,0,0,316,7,323,113,200,3,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1566,B01,262,59,70,6,1,3,0,0,4,32,5,0,180,4,184,63,105,12,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1567,B01,475,87,150,0,1,11,0,1,24,42,0,0,316,18,334,112,203,1,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1567,C01,475,113,154,2,0,11,1,1,16,44,0,0,342,13,355,130,209,3,PAN_PNA,PRI_PVEM,PRD_PT_PMC
2,46,VILLA DE ARISTA ,1568,B01,354,94,105,7,0,0,0,0,0,0,0,0,206,10,216,94,105,7,PAN_PNA,PRI_PVEM,PRD_PT_PMC
