id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,Nulos,No Registrados,PAN-PRD-PT-PC,PRI-PVEM-PANAL,Total
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,203,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,697,5,0,33,94,132
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,202,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,698,3,1,21,110,135
25,4/7/2010,12,Ayuntamientos,25,16,1,E,Extraordinaria,0,COSALA,,5,COSALA,335,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,698,3,0,25,175,203
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,222,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,699,7,1,63,75,146
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,298,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,700,6,0,104,69,179
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,385,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,701,3,0,140,92,235
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,314,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,702,6,1,79,121,207
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,484,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,703,7,0,130,112,249
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,313,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,704,4,0,102,61,167
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,429,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,705,12,0,136,106,254
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,191,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,706,4,1,55,57,117
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,202,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,707,2,0,38,58,98
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,164,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,708,4,0,42,41,87
25,4/7/2010,12,Ayuntamientos,25,16,1,B,Basica,0,COSALA,,5,COSALA,179,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,709,7,0,20,65,92
25,4/7/2010,12,Ayuntamientos,25,16,1,E,Extraordinaria,0,COSALA,,5,COSALA,161,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,709,2,0,24,57,83
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,427,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,710,6,4,64,141,215
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,428,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,710,6,0,54,135,195
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,711,5,0,59,146,210
25,4/7/2010,12,Ayuntamientos,25,3,2,E,Extraordinaria,1,LOS MOCHIS,,1,AHOME,638,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,3,1,308,67,379
25,4/7/2010,12,Ayuntamientos,25,3,2,E,Extraordinaria,2,LOS MOCHIS,,1,AHOME,638,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,1,0,285,93,379
25,4/7/2010,12,Ayuntamientos,25,3,2,E,Extraordinaria,3,LOS MOCHIS,,1,AHOME,638,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,1,1,0,296,82,379
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,319,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,2,3,0,168,36,207
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,577,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,1,0,307,98,406
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,1,0,233,104,338
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,503,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,0,1,221,75,297
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,296,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,1,0,142,40,183
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,691,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,3,0,316,95,414
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,656,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,8,5,1,314,73,393
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,412,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,6,2,188,47,243
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,513,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,1,0,219,53,273
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,529,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,6,2,206,38,252
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,330,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,12,1,0,152,37,190
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,440,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,13,0,0,211,47,258
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,703,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,14,9,0,334,82,425
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,375,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,15,3,0,161,41,205
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,369,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,3,0,172,27,202
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,488,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,212,4,0,198,58,260
