id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,1,23,1,B,Basica,0,BALANCAN,,1,BALANCAN,879,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,146,109,17,1,6,0,7,0,0,7,293
27,18/10/2009,11,Regidores,27,1,25,1,B,Basica,0,BALANCAN,,1,BALANCAN,689,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,150,169,43,2,20,0,4,0,0,21,409
27,18/10/2009,11,Regidores,27,1,28,1,C,Contigua,0,BALANCAN,,1,BALANCAN,777,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,82,139,18,0,3,0,4,1,0,7,254
27,18/10/2009,11,Regidores,27,1,29,1,B,Basica,0,BALANCAN,,1,BALANCAN,582,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,240,96,38,4,2,1,0,0,0,10,391
27,18/10/2009,11,Regidores,27,1,30,1,C,Contigua,0,BALANCAN,,1,BALANCAN,1008,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,139,129,24,11,29,0,0,1,0,14,347
27,18/10/2009,11,Regidores,27,1,32,1,B,Basica,0,BALANCAN,,1,BALANCAN,255,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,115,62,4,0,2,1,0,0,0,7,191
27,18/10/2009,11,Regidores,27,1,35,1,B,Basica,0,BALANCAN,,1,BALANCAN,1201,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,121,172,124,1,2,7,3,0,0,7,437
27,18/10/2009,11,Regidores,27,1,40,1,B,Basica,0,BALANCAN,,1,BALANCAN,768,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,134,127,8,3,14,0,3,0,0,6,295
27,18/10/2009,11,Regidores,27,1,45,1,B,Basica,0,BALANCAN,,1,BALANCAN,1032,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,146,91,17,4,5,3,0,0,0,8,274
27,18/10/2009,11,Regidores,27,1,3,1,C,Contigua,0,BALANCAN,,1,BALANCAN,1176,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,158,135,27,6,29,2,11,1,0,6,375
