MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PRD-PC,PT,PVEM,VALIDOS,NULOS,TOTAL
ABASOLO,1,1,BAS,103,236,4,0,0,343,0,343
ABASOLO,2,2,BAS,118,200,3,0,0,321,5,326
ABASOLO,2,3,CONT,113,192,4,0,0,309,10,319
ABASOLO,3,4,BAS,135,259,4,1,0,399,9,408
ABASOLO,4,5,BAS,69,190,3,1,1,264,4,268
ABASOLO,4,6,CONT,79,161,4,0,0,244,7,251
ABASOLO,5,7,BAS,145,307,11,1,0,464,13,477
ABASOLO,6,8,BAS,99,249,3,0,0,351,10,361
ABASOLO,8,9,BAS,118,137,13,0,0,268,5,273
ABASOLO,8,10,CONT,109,154,7,1,1,272,7,279
ABASOLO,9,11,BAS,104,114,2,4,0,224,6,230
ABASOLO,9,12,CONT,112,107,8,0,0,227,9,236
ABASOLO,10,13,BAS,116,149,8,3,1,277,8,285
ABASOLO,10,14,CONT,111,155,8,0,0,274,5,279
ABASOLO,10,15,EXT,55,125,3,1,0,184,2,186
ABASOLO,11,16,BAS,141,260,3,0,0,404,5,409
ABASOLO,12,17,BAS,44,179,0,0,0,223,13,236
ABASOLO,12,18,EXT,64,96,2,0,0,162,4,166
,,,,,,,,,,,
ALDAMA,13,,BAS,332,148,0,10,,490,11,501
ALDAMA,13,,CONT,323,146,5,15,,489,14,503
ALDAMA,14,,BAS,283,173,0,6,,462,6,468
ALDAMA,14,,CONT,304,175,2,11,,492,14,506
ALDAMA,15,,BAS,200,151,0,9,,360,11,371
ALDAMA,15,,CONT,190,148,0,8,,346,4,350
ALDAMA,16,,BAS,198,148,1,5,,352,9,361
ALDAMA,16,,CONT,216,120,1,6,,343,9,352
ALDAMA,17,,BAS,176,99,0,5,,280,5,285
ALDAMA,17,,CONT,193,96,2,13,,304,3,307
ALDAMA,18,,BAS,198,117,1,10,,326,3,329
ALDAMA,18,,CONT,172,129,1,9,,311,2,313
ALDAMA,18,,EXT,142,65,0,9,,216,6,222
ALDAMA,19,,BAS,245,164,1,7,,417,13,430
ALDAMA,19,,CONT 1,217,188,2,14,,421,11,432
ALDAMA,19,,CONT 2,245,152,4,19,,420,13,433
ALDAMA,20,,BAS,75,96,0,6,,177,4,181
ALDAMA,20,,EXT,39,40,0,21,,100,2,102
ALDAMA,21,,BAS,122,95,0,11,,228,5,233
ALDAMA,22,,BAS,176,112,1,59,,348,7,355
ALDAMA,23,,BAS,164,130,1,12,,307,3,310
ALDAMA,23,,CONT,147,114,0,31,,292,14,306
ALDAMA,24,,BAS,63,56,0,4,,123,3,126
ALDAMA,24,,EXT,158,134,0,66,,358,10,368
ALDAMA,25,,BAS,294,177,4,5,,480,14,494
ALDAMA,26,,BAS,103,39,3,93,,238,5,243
ALDAMA,27,,BAS,150,108,0,14,,272,8,280
