SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
1,B,66,110,229,34,,,,6,,,,10,1,AMAXAC DE GUERRERO
2,B,120,118,157,8,,,,25,,,,8,1,AMAXAC DE GUERRERO
2,C,157,147,103,20,,,,19,,,,12,1,AMAXAC DE GUERRERO
2,DC,98,123,154,8,,,,18,,,,9,1,AMAXAC DE GUERRERO
3,B,109,152,125,24,,,,11,,,,9,1,AMAXAC DE GUERRERO
3,C,96,140,178,30,,,,5,,,,6,1,AMAXAC DE GUERRERO
3,DC,97,126,117,31,,,,19,,,,0,1,AMAXAC DE GUERRERO
4,B,20,103,99,31,,,,0,,,,7,1,AMAXAC DE GUERRERO
5,B,92,137,109,4,,,,,,4,,6,2,APETATITLAN DE ANTONIO CARVAJAL
5,C,60,159,120,2,,,,,,6,,11,2,APETATITLAN DE ANTONIO CARVAJAL
5,DC,71,124,124,1,,,,,,10,,11,2,APETATITLAN DE ANTONIO CARVAJAL
6,B,84,83,17,0,,,,,,16,,5,2,APETATITLAN DE ANTONIO CARVAJAL
6,C,75,71,29,2,,,,,,14,,9,2,APETATITLAN DE ANTONIO CARVAJAL
7,B,57,56,8,3,,,,,,12,,1,2,APETATITLAN DE ANTONIO CARVAJAL
8,B,132,108,56,4,,,,,,39,,5,2,APETATITLAN DE ANTONIO CARVAJAL
8,C,113,102,37,6,,,,,,31,,6,2,APETATITLAN DE ANTONIO CARVAJAL
8,DC,128,99,58,5,,,,,,18,,8,2,APETATITLAN DE ANTONIO CARVAJAL
9,B,125,141,80,10,,,,,,4,,13,2,APETATITLAN DE ANTONIO CARVAJAL
9,C,178,135,68,16,,,,,,67,,16,2,APETATITLAN DE ANTONIO CARVAJAL
10,B,256,53,29,4,,,,,,2,,7,2,APETATITLAN DE ANTONIO CARVAJAL
10,C,261,65,24,1,,,,,,3,,5,2,APETATITLAN DE ANTONIO CARVAJAL
10,DC,248,55,16,8,,,,,,1,,7,2,APETATITLAN DE ANTONIO CARVAJAL
11,B,115,173,48,6,,,,,,11,,11,2,APETATITLAN DE ANTONIO CARVAJAL
12,B,48,78,120,17,14,,,,,25,2,16,3,APIZACO
12,C,40,72,146,14,9,,,,,16,6,16,3,APIZACO
13,B,59,140,147,41,17,,,,,19,1,1,3,APIZACO
13,C,65,115,111,48,16,,,,,17,5,18,3,APIZACO
14,B,56,80,108,36,17,,,,,13,0,2,3,APIZACO
14,C,67,55,141,48,13,,,,,7,0,15,3,APIZACO
14,DC,61,65,130,44,16,,,,,14,2,2,3,APIZACO
15,B,31,71,151,39,11,,,,,11,9,5,3,APIZACO
15,C,40,72,133,38,13,,,,,17,5,10,3,APIZACO
16,B,35,66,89,19,13,,,,,8,15,4,3,APIZACO
16,C,49,59,100,22,9,,,,,6,7,9,3,APIZACO
17,B,34,105,105,8,8,,,,,16,3,14,3,APIZACO
17,C,37,81,141,9,7,,,,,6,5,8,3,APIZACO
17,DC,26,86,115,6,2,,,,,5,1,5,3,APIZACO
18,B,68,107,137,13,7,,,,,8,5,12,3,APIZACO
18,C,54,113,159,19,8,,,,,13,1,13,3,APIZACO
19,B,42,94,114,21,6,,,,,15,2,10,3,APIZACO
19,C,60,89,110,20,0,,,,,14,2,8,3,APIZACO
20,B,47,80,101,36,18,,,,,21,1,10,3,APIZACO
21,B,29,51,81,9,5,,,,,3,0,3,3,APIZACO
22,B,37,89,112,6,5,,,,,5,2,7,3,APIZACO
22,C,33,92,108,15,4,,,,,10,2,0,3,APIZACO
22,DC,34,108,120,8,4,,,,,7,0,5,3,APIZACO
23,B,25,83,86,8,3,,,,,5,7,5,3,APIZACO
23,C,23,58,104,9,0,,,,,4,16,11,3,APIZACO
24,B,37,63,121,12,14,,,,,10,1,17,3,APIZACO
24,C,24,72,122,8,8,,,,,12,1,6,3,APIZACO
25,B,43,86,146,23,24,,,,,17,4,18,3,APIZACO
25,C,52,100,145,15,19,,,,,21,3,7,3,APIZACO
26,B,46,48,145,27,11,,,,,14,2,8,3,APIZACO
26,C,50,52,142,11,8,,,,,17,8,7,3,APIZACO
27,B,37,71,126,21,5,,,,,14,4,6,3,APIZACO
27,C,51,53,103,17,6,,,,,5,0,26,3,APIZACO
27,DC,35,91,112,22,10,,,,,2,1,2,3,APIZACO
28,B,33,78,109,18,3,,,,,11,1,15,3,APIZACO
28,C,28,56,113,28,7,,,,,22,0,11,3,APIZACO
28,DC,31,49,128,9,8,,,,,8,2,12,3,APIZACO
