MUNICIPIO,DISTRITO,SECCION,TIPO DE CASILLA,LISTA NOMINAL,PAN,PRI,PRI-PVEM,PRD,PT,PVEM,CONV,PY,PAY,NO REGISTRADOS,NULOS,TOTAL
Abalá,13,1,0001 Básica,649,285,251,0,0,0,1,0,6,0,0,0,543
Abalá,13,1,0001 Contigua 1,650,294,226,0,0,0,0,0,0,0,0,15,535
Abalá,13,2,0002 Básica,148,100,31,0,0,0,0,0,0,0,0,0,131
Abalá,13,3,0003 Básica,194,103,38,0,0,1,0,0,4,0,0,4,150
Abalá,13,4,0004 Básica,459,200,185,0,0,0,0,0,0,0,0,12,397
Abalá,13,4,0004 Extraordinaria 1,206,113,73,0,0,0,0,0,0,0,,0,186
Abalá,13,5,0005 Básica,588,285,171,0,0,1,1,0,8,0,0,4,470
Abalá,13,5,0005 Contigua 1,589,342,153,0,0,0,,0,0,0,0,10,505
Abalá,13,6,0006 Básica,302,118,132,0,0,0,0,0,0,0,0,16,266
Acanceh,14,7,0007 Básica,702,350,192,0,0,0,1,2,3,0,0,0,548
Acanceh,14,7,0007 Contigua 1,703,385,158,0,1,0,0,5,1,0,0,13,563
Acanceh,14,8,0008 Básica,523,265,157,0,1,1,1,1,1,0,0,9,436
Acanceh,14,8,0008 Contigua 1,524,272,159,0,0,0,0,0,2,0,0,10,443
Acanceh,14,8,0008 Contigua 2,524,265,162,0,0,0,1,2,0,0,0,0,430
Acanceh,14,9,0009 Básica,646,316,211,0,0,0,1,5,2,0,0,14,549
Acanceh,14,9,0009 Contigua 1,646,340,184,0,1,1,0,5,1,0,0,12,544
Acanceh,14,9,0009 Contigua 2,647,306,190,0,0,0,1,4,3,0,0,29,533
Acanceh,14,10,0010 Básica,621,316,153,0,0,1,0,0,5,0,0,23,498
Acanceh,14,10,0010 Contigua 1,621,306,171,0,1,1,1,1,1,0,0,0,482
Acanceh,14,10,0010 Contigua 2,622,292,183,0,0,0,0,1,0,0,0,19,495
Acanceh,14,11,0011 Básica,501,248,191,0,0,0,2,1,2,0,0,4,448
Acanceh,14,12,0012 Básica,442,217,137,0,0,2,0,1,1,1,0,4,363
Acanceh,14,12,0012 Contigua 1,442,227,126,0,0,1,1,0,1,0,0,10,366
Acanceh,14,13,0013 Básica,502,265,160,0,0,1,0,0,1,0,0,6,433
Akil,12,14,0014 Básica,642,186,240,0,15,0,0,0,3,0,0,22,466
Akil,12,14,0014 Contigua 1,642,194,245,0,11,1,0,1,2,0,0,11,465
Akil,12,15,0015 Básica,716,250,214,0,14,2,0,0,1,1,0,18,500
Akil,12,15,0015 Contigua 1,717,218,244,0,12,1,0,0,5,0,0,16,496
Akil,12,16,0016 Básica,523,162,183,0,23,3,0,0,4,0,0,9,384
Akil,12,16,0016 Contigua 1,523,179,162,0,24,2,0,0,3,0,0,5,375
Akil,12,17,0017 Básica,534,224,154,0,7,0,0,0,3,0,0,4,392
Akil,12,17,0017 Contigua 1,535,174,179,0,8,0,1,0,3,0,0,11,376
Akil,12,18,0018 Básica,674,196,236,0,16,1,0,0,2,0,0,15,466
Akil,12,19,0019 Básica,55,11,26,0,3,1,0,0,2,0,0,3,46
Baca,9,20,0020 Básica,570,212,211,0,14,0,0,0,1,0,0,5,443
Baca,9,20,0020 Contigua 1,571,235,188,0,9,0,1,0,6,0,0,3,442
Baca,9,21,0021 Básica,401,161,144,0,9,0,0,0,0,0,0,11,325
Baca,9,21,0021 Contigua 1,401,133,185,0,3,0,0,0,0,0,0,3,324
Baca,9,22,0022 Básica,382,134,130,0,31,1,0,0,1,0,0,6,303
Baca,9,22,0022 Contigua 1,383,140,126,0,34,0,0,0,0,0,0,5,305
Baca,9,23,0023 Básica,571,204,227,0,21,1,0,0,1,1,0,7,462
Baca,9,24,0024 Básica,561,215,180,0,57,0,0,0,5,0,0,10,467
Bokobá,9,25,0025 Básica,396,0,0,0,0,0,0,0,0,0,0,0,0
Bokobá,9,25,0025 Contigua 1,396,181,160,0,0,0,0,0,0,0,0,9,350
Bokobá,9,26,0026 Básica,742,304,353,0,0,0,0,0,2,0,0,13,672
Buctzotz,10,27,0027 Básica,728,338,215,0,9,0,0,0,0,0,0,33,595
Buctzotz,10,27,0027 Contigua 1,728,346,205,0,7,1,0,0,3,0,0,19,581
Buctzotz,10,28,0028 Básica,503,204,187,0,5,0,0,0,0,0,0,15,411
Buctzotz,10,28,0028 Contigua 1,504,193,209,0,4,0,0,0,0,0,0,8,414
Buctzotz,10,28,0028 Contigua 2,504,163,191,0,5,0,0,0,0,0,0,39,398
Buctzotz,10,29,0029 Básica,511,222,203,0,1,0,0,0,4,0,0,4,434
Buctzotz,10,29,0029 Contigua 1,511,238,185,0,2,1,0,0,1,0,0,5,432
Buctzotz,10,30,0030 Básica,401,133,185,0,3,0,0,0,3,1,0,1,326
Buctzotz,10,30,0030 Contigua 1,401,144,169,0,1,0,0,0,2,0,0,2,318
Buctzotz,10,31,0031 Básica,342,161,139,0,3,0,0,0,0,0,0,0,303
Buctzotz,10,32,0032 Básica,332,110,154,0,0,0,0,0,3,0,0,7,274
Cacalchén,9,33,0033 Básica,403,34,170,0,113,4,0,0,0,0,0,3,324
Cacalchén,9,33,0033 Contigua 1,403,25,185,0,123,0,0,0,2,0,0,3,338
Cacalchén,9,34,0034 Básica,657,90,274,0,161,6,0,0,2,0,0,11,544
Cacalchén,9,34,0034 Contigua 1,657,56,278,0,173,10,0,0,7,0,0,11,535
Cacalchén,9,35,0035 Básica,586,42,217,0,152,6,0,0,2,0,0,56,475
Cacalchén,9,35,0035 Contigua 1,586,38,276,0,163,3,0,0,0,0,0,9,489
Cacalchén,9,36,0036 Básica,554,26,261,0,161,3,0,0,3,0,0,8,462
Cacalchén,9,36,0036 Contigua 1,555,21,204,0,198,2,0,0,3,0,0,8,436
Calotmul,10,37,0037 Básica,496,67,147,0,176,0,0,0,0,0,24,0,414
Calotmul,10,37,0037 Contigua 1,496,80,140,0,178,1,0,1,2,0,0,10,412
Calotmul,10,38,0038 Básica,405,59,136,0,114,0,0,0,9,0,0,0,318
Calotmul,10,38,0038 Contigua 1,406,80,131,0,100,0,0,0,0,0,0,0,311
Calotmul,10,39,0039 Básica,292,65,69,0,108,0,0,0,0,0,0,0,242
Calotmul,10,40,0040 Básica,501,21,117,0,278,0,0,0,2,0,0,0,418
Cansahcab,9,41,0041 Básica,586,66,123,0,163,70,0,0,21,0,0,12,455
Cansahcab,9,42,0042 Básica,435,72,84,0,103,83,0,0,13,0,0,3,358
Cansahcab,9,42,0042 Contigua 1,435,65,99,0,87,86,0,0,11,0,0,4,352
Cansahcab,9,43,0043 Básica,419,86,107,0,92,33,0,0,9,0,0,9,336
Cansahcab,9,43,0043 Contigua 1,420,87,111,0,72,45,0,1,15,0,0,3,334
Cansahcab,9,44,0044 Básica,415,105,83,0,64,26,0,0,24,0,0,0,302
Cansahcab,9,44,0044 Contigua 1,415,78,117,0,65,26,1,0,39,0,0,3,329
Cansahcab,9,45,0045 Básica,170,22,36,0,36,41,0,1,10,0,0,5,151
Cansahcab,9,46,0046 Básica,105,7,17,0,44,16,0,0,4,0,0,3,91
