municipality,uniqueid,section,year,month,PRI,PAN,PRD,PT,PVEM,Partido_Democrata,PSN,PC,PAS,PCDT,PJS,total,valid,listanominal,STATE,turnout,PRI_PVEM,PT_PCDT_PJS,PCDT_PJS,PT_PCDT,PT_PJS,PAN_PAC,PANAL,PS,PRI_PVEM_PS,PAN_PANAL,PRI_PST,PRD_PT_PC,PRD_PC,PRD_PT,PT_PC,PST,PAC,PP,PLT,PPT,type,MC,no registrados,PAC_PS,PT_PAC,CASILLA,MORENA,PES,PRI_PANAL,PRI_PVEM_PANAL_PS,CI_1,CI_2,CI_3,PRI_PANAL_PS,PRI_PS,CI_4,PRI_PT,PRI_PVEM_PANAL,PVEM_PS,PEST,PISS,RSP,FXM,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,CI_22,CI_23,CI_24,CI_25,CI_26,CI_27,CI_28,CI_29,CI_30,CI_31,CI_32,CI_33,CI_34,CI_35,no_reg,nulos,PAN_PRI,MORENA_RSP_PANAL,MORENA_PANAL,MORENA_RSP,RSP_PANAL
ACUAMANALA DE MIGUEL HIDALGO,29022,309,2001,November,132,72,157,15,0,0,0,56,0,0,0,461,432,814,TLAXCALA,0.566339066339066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUAMANALA DE MIGUEL HIDALGO,29022,310,2001,November,80,206,210,17,0,0,0,4,0,0,0,518,517,817,TLAXCALA,0.634026927784578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUAMANALA DE MIGUEL HIDALGO,29022,311,2001,November,80,181,125,15,0,0,0,94,0,0,0,514,495,634,TLAXCALA,0.810725552050473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUAMANALA DE MIGUEL HIDALGO,29022,312,2001,November,24,87,81,6,0,0,0,32,0,0,0,231,230,351,TLAXCALA,0.658119658119658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,59,2001,November,184,207,56,7,0,0,0,19,0,6,0,505,479,756,TLAXCALA,0.667989417989418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,60,2001,November,139,82,36,30,0,0,0,12,0,8,0,329,307,441,TLAXCALA,0.746031746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,61,2001,November,43,98,30,12,0,0,0,20,0,1,1,222,205,402,TLAXCALA,0.552238805970149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,62,2001,November,34,65,20,4,0,0,0,5,0,0,0,136,128,218,TLAXCALA,0.623853211009174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,63,2001,November,28,94,16,5,0,0,0,6,0,1,0,164,150,218,TLAXCALA,0.752293577981651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,64,2001,November,14,54,5,30,0,0,0,0,0,0,1,113,104,178,TLAXCALA,0.634831460674157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
