section,uniqueid,year,incumbent_party_Horacio
20,1001,2004,PAN
328,1001,2004,PAN
285,1001,2004,PAN
279,1001,2004,PAN
56,1001,2004,PAN
81,1001,2004,PAN
254,1001,2004,PAN
77,1001,2004,PAN
99,1001,2004,PAN
26,1001,2004,PAN
44,1001,2004,PAN
157,1001,2004,PAN
185,1001,2004,PAN
318,1001,2004,PAN
200,1001,2004,PAN
220,1001,2004,PAN
68,1001,2004,PAN
35,1001,2004,PAN
206,1001,2004,PAN
260,1001,2004,PAN
208,1001,2004,PAN
237,1001,2004,PAN
43,1001,2004,PAN
337,1001,2004,PAN
155,1001,2004,PAN
108,1001,2004,PAN
102,1001,2004,PAN
48,1001,2004,PAN
246,1001,2004,PAN
174,1001,2004,PAN
95,1001,2004,PAN
241,1001,2004,PAN
164,1001,2004,PAN
159,1001,2004,PAN
217,1001,2004,PAN
215,1001,2004,PAN
262,1001,2004,PAN
128,1001,2004,PAN
45,1001,2004,PAN
221,1001,2004,PAN
199,1001,2004,PAN
310,1001,2004,PAN
261,1001,2004,PAN
308,1001,2004,PAN
52,1001,2004,PAN
78,1001,2004,PAN
11,1001,2004,PAN
129,1001,2004,PAN
9,1001,2004,PAN
103,1001,2004,PAN
231,1001,2004,PAN
317,1001,2004,PAN
85,1001,2004,PAN
320,1001,2004,PAN
61,1001,2004,PAN
87,1001,2004,PAN
321,1001,2004,PAN
183,1001,2004,PAN
336,1001,2004,PAN
334,1001,2004,PAN
71,1001,2004,PAN
54,1001,2004,PAN
299,1001,2004,PAN
293,1001,2004,PAN
292,1001,2004,PAN
273,1001,2004,PAN
333,1001,2004,PAN
288,1001,2004,PAN
287,1001,2004,PAN
274,1001,2004,PAN
266,1001,2004,PAN
259,1001,2004,PAN
251,1001,2004,PAN
109,1001,2004,PAN
30,1001,2004,PAN
233,1001,2004,PAN
229,1001,2004,PAN
83,1001,2004,PAN
222,1001,2004,PAN
213,1001,2004,PAN
130,1001,2004,PAN
72,1001,2004,PAN
187,1001,2004,PAN
106,1001,2004,PAN
168,1001,2004,PAN
31,1001,2004,PAN
163,1001,2004,PAN
115,1001,2004,PAN
161,1001,2004,PAN
160,1001,2004,PAN
203,1001,2004,PAN
91,1001,2004,PAN
116,1001,2004,PAN
121,1001,2004,PAN
94,1001,2004,PAN
280,1001,2004,PAN
107,1001,2004,PAN
275,1001,2004,PAN
105,1001,2004,PAN
96,1001,2004,PAN
104,1001,2004,PAN
101,1001,2004,PAN
135,1001,2004,PAN
100,1001,2004,PAN
144,1001,2004,PAN
143,1001,2004,PAN
111,1001,2004,PAN
192,1001,2004,PAN
332,1001,2004,PAN
211,1001,2004,PAN
245,1001,2004,PAN
196,1001,2004,PAN
216,1001,2004,PAN
51,1001,2004,PAN
218,1001,2004,PAN
120,1001,2004,PAN
12,1001,2004,PAN
15,1001,2004,PAN
22,1001,2004,PAN
124,1001,2004,PAN
291,1001,2004,PAN
255,1001,2004,PAN
7,1001,2004,PAN
149,1001,2004,PAN
5,1001,2004,PAN
270,1001,2004,PAN
14,1001,2004,PAN
97,1001,2004,PAN
6,1001,2004,PAN
86,1001,2004,PAN
57,1001,2004,PAN
178,1001,2004,PAN
300,1001,2004,PAN
118,1001,2004,PAN
1,1001,2004,PAN
110,1001,2004,PAN
167,1001,2004,PAN
156,1001,2004,PAN
286,1001,2004,PAN
40,1001,2004,PAN
17,1001,2004,PAN
207,1001,2004,PAN
243,1001,2004,PAN
139,1001,2004,PAN
240,1001,2004,PAN
138,1001,2004,PAN
180,1001,2004,PAN
141,1001,2004,PAN
324,1001,2004,PAN
65,1001,2004,PAN
202,1001,2004,PAN
195,1001,2004,PAN
177,1001,2004,PAN
112,1001,2004,PAN
315,1001,2004,PAN
70,1001,2004,PAN
162,1001,2004,PAN
175,1001,2004,PAN
29,1001,2004,PAN
182,1001,2004,PAN
76,1001,2004,PAN
290,1001,2004,PAN
176,1001,2004,PAN
49,1001,2004,PAN
212,1001,2004,PAN
33,1001,2004,PAN
263,1001,2004,PAN
93,1001,2004,PAN
234,1001,2004,PAN
322,1001,2004,PAN
46,1001,2004,PAN
148,1001,2004,PAN
197,1001,2004,PAN
247,1001,2004,PAN
53,1001,2004,PAN
153,1001,2004,PAN
250,1001,2004,PAN
311,1001,2004,PAN
272,1001,2004,PAN
198,1001,2004,PAN
329,1001,2004,PAN
136,1001,2004,PAN
276,1001,2004,PAN
92,1001,2004,PAN
219,1001,2004,PAN
60,1001,2004,PAN
181,1001,2004,PAN
295,1001,2004,PAN
209,1001,2004,PAN
289,1001,2004,PAN
171,1001,2004,PAN
223,1001,2004,PAN
38,1001,2004,PAN
19,1001,2004,PAN
34,1001,2004,PAN
37,1001,2004,PAN
305,1001,2004,PAN
169,1001,2004,PAN
204,1001,2004,PAN
238,1001,2004,PAN
258,1001,2004,PAN
188,1001,2004,PAN
146,1001,2004,PAN
142,1001,2004,PAN
306,1001,2004,PAN
59,1001,2004,PAN
145,1001,2004,PAN
252,1001,2004,PAN
239,1001,2004,PAN
133,1001,2004,PAN
298,1001,2004,PAN
119,1001,2004,PAN
296,1001,2004,PAN
152,1001,2004,PAN
323,1001,2004,PAN
47,1001,2004,PAN
235,1001,2004,PAN
88,1001,2004,PAN
137,1001,2004,PAN
248,1001,2004,PAN
278,1001,2004,PAN
122,1001,2004,PAN
242,1001,2004,PAN
330,1001,2004,PAN
147,1001,2004,PAN
158,1001,2004,PAN
73,1001,2004,PAN
271,1001,2004,PAN
284,1001,2004,PAN
36,1001,2004,PAN
32,1001,2004,PAN
75,1001,2004,PAN
82,1001,2004,PAN
210,1001,2004,PAN
24,1001,2004,PAN
55,1001,2004,PAN
4,1001,2004,PAN
257,1001,2004,PAN
27,1001,2004,PAN
325,1001,2004,PAN
189,1001,2004,PAN
331,1001,2004,PAN
309,1001,2004,PAN
304,1001,2004,PAN
277,1001,2004,PAN
264,1001,2004,PAN
39,1001,2004,PAN
98,1001,2004,NA
179,1001,2004,PAN
201,1001,2004,PAN
50,1001,2004,PAN
194,1001,2004,PAN
319,1001,2004,NA
316,1001,2004,PAN
123,1001,2004,PAN
314,1001,2004,PAN
297,1001,2004,PAN
170,1001,2004,PAN
63,1001,2004,PAN
18,1001,2004,PAN
154,1001,2004,PAN
25,1001,2004,PAN
80,1001,2004,PAN
16,1001,2004,PAN
21,1001,2004,PAN
117,1001,2004,PAN
165,1001,2004,PAN
205,1001,2004,PAN
232,1001,2004,PAN
230,1001,2004,PAN
74,1001,2004,PAN
127,1001,2004,PAN
281,1001,2004,PAN
28,1001,2004,PAN
312,1001,2004,PAN
3,1001,2004,PAN
140,1001,2004,PAN
327,1001,2004,PAN
283,1001,2004,PAN
186,1001,2004,PAN
256,1001,2004,PAN
282,1001,2004,PAN
131,1001,2004,PAN
190,1001,2004,PAN
307,1001,2004,PAN
58,1001,2004,PAN
113,1001,2004,PAN
13,1001,2004,PAN
267,1001,2004,PAN
226,1001,2004,PAN
294,1001,2004,PAN
114,1001,2004,PAN
335,1001,2004,PAN
125,1001,2004,PAN
214,1001,2004,PAN
228,1001,2004,PAN
227,1001,2004,PAN
8,1001,2004,PAN
134,1001,2004,PAN
126,1001,2004,PAN
193,1001,2004,PAN
10,1001,2004,PAN
191,1001,2004,PAN
184,1001,2004,PAN
225,1001,2004,PAN
268,1001,2004,PAN
326,1001,2004,PAN
89,1001,2004,PAN
151,1001,2004,PAN
302,1001,2004,PAN
244,1001,2004,PAN
166,1001,2004,NA
2,1001,2004,PAN
303,1001,2004,PAN
66,1001,2004,PAN
64,1001,2004,PAN
269,1001,2004,PAN
23,1001,2004,PAN
79,1001,2004,PAN
90,1001,2004,PAN
301,1001,2004,PAN
249,1001,2004,PAN
62,1001,2004,PAN
313,1001,2004,PAN
132,1001,2004,PAN
84,1001,2004,PAN
173,1001,2004,PAN
67,1001,2004,PAN
150,1001,2004,PAN
172,1001,2004,PAN
253,1001,2004,PAN
69,1001,2004,PAN
42,1001,2004,PAN
224,1001,2004,PAN
236,1001,2004,PAN
265,1001,2004,PAN
41,1001,2004,PAN
348,1002,2004,PAN
351,1002,2004,PAN
349,1002,2004,PAN
347,1002,2004,PAN
340,1002,2004,PAN
339,1002,2004,PAN
343,1002,2004,PAN
346,1002,2004,PAN
354,1002,2004,PAN
344,1002,2004,PAN
353,1002,2004,PAN
338,1002,2004,PAN
350,1002,2004,PAN
345,1002,2004,PAN
352,1002,2004,PAN
342,1002,2004,PAN
341,1002,2004,PAN
377,1003,2004,PAN
364,1003,2004,PAN
367,1003,2004,PAN
359,1003,2004,PAN
378,1003,2004,PAN
369,1003,2004,PAN
366,1003,2004,PAN
382,1003,2004,PAN
365,1003,2004,PAN
380,1003,2004,PAN
361,1003,2004,PAN
355,1003,2004,PAN
381,1003,2004,PAN
376,1003,2004,PAN
383,1003,2004,PAN
386,1003,2004,PAN
357,1003,2004,PAN
371,1003,2004,PAN
379,1003,2004,PAN
356,1003,2004,PAN
375,1003,2004,PAN
363,1003,2004,PAN
372,1003,2004,PAN
368,1003,2004,PAN
360,1003,2004,PAN
358,1003,2004,PAN
385,1003,2004,PAN
362,1003,2004,PAN
370,1003,2004,PAN
374,1003,2004,PAN
373,1003,2004,PAN
384,1003,2004,PAN
389,1004,2004,PAN
391,1004,2004,PAN
387,1004,2004,PAN
388,1004,2004,PAN
390,1004,2004,PAN
404,1005,2004,NA
403,1005,2004,PAN
413,1005,2004,PAN
398,1005,2004,PAN
411,1005,2004,PAN
408,1005,2004,PAN
400,1005,2004,PAN
402,1005,2004,PAN
410,1005,2004,PAN
399,1005,2004,PAN
412,1005,2004,PAN
409,1005,2004,PAN
392,1005,2004,PAN
414,1005,2004,PAN
395,1005,2004,PAN
396,1005,2004,PAN
407,1005,2004,PAN
393,1005,2004,PAN
401,1005,2004,PAN
405,1005,2004,PAN
397,1005,2004,PAN
406,1005,2004,PAN
394,1005,2004,PAN
419,1006,2004,PAN
425,1006,2004,PAN
422,1006,2004,PAN
424,1006,2004,PAN
418,1006,2004,PAN
417,1006,2004,PAN
426,1006,2004,PAN
416,1006,2004,PAN
420,1006,2004,PAN
423,1006,2004,PAN
429,1006,2004,PAN
430,1006,2004,PAN
415,1006,2004,PAN
428,1006,2004,PAN
421,1006,2004,PAN
427,1006,2004,PAN
442,1007,2004,PRI_PT_PVEM
432,1007,2004,PRI_PT_PVEM
443,1007,2004,PRI_PT_PVEM
447,1007,2004,PRI_PT_PVEM
449,1007,2004,PRI_PT_PVEM
436,1007,2004,PRI_PT_PVEM
440,1007,2004,PRI_PT_PVEM
448,1007,2004,PRI_PT_PVEM
445,1007,2004,PRI_PT_PVEM
439,1007,2004,PRI_PT_PVEM
446,1007,2004,PRI_PT_PVEM
433,1007,2004,PRI_PT_PVEM
451,1007,2004,PRI_PT_PVEM
441,1007,2004,PRI_PT_PVEM
431,1007,2004,PRI_PT_PVEM
435,1007,2004,PRI_PT_PVEM
438,1007,2004,PRI_PT_PVEM
434,1007,2004,PRI_PT_PVEM
444,1007,2004,PRI_PT_PVEM
437,1007,2004,PRI_PT_PVEM
