uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
1001,1986,NA,C. HÉCTOR DEL VILLAR
1001,1989,NA,C. ARMANDO ROMERO
1001,1992,PRI,C. FERNANDO GOMEZ ESPARZA
1001,1995,PAN,ING. ALFREDO MARTÍN REYES VELÁZQUEZ
1001,1998,PAN,ING. LUIS ARMANDO REYNOSO FEMAT
1001,2001,PAN,ING. RICARDO MAGDALENO RODRIGUEZ
1001,2004,PAN,C.P. MARTIN OROZCO SANDOVAL
1001,2007,PRI,ING. FRANCISCO GABRIEL ARELLANO ESPINOSA
1001,2010,AXTB,LIC. LORENA MARTINEZ RODRIGUEZ
1001,2013,UPT,C. JUAN ANTONIO MARTIN DEL CAMPO
1001,2016,PAN,C. MARIA TERESA JIMENEZ ESQUIVEL
1001,2019,PAN,LIC. MARIA TERESA JIMENEZ ESQUIVEL
1001,2021,COAL. POR AGUASCALIE,C. LEONARDO MONTAÑEZ  CASTRO
1002,1992,PRI,C. REYES CARLIN RANGEL
1002,1995,PRI,C. JOSE MARIA VILLALOBOS LECHUGA
1002,1998,PAN,PROFR. DANIEL BRIANO HERNANDEZ
1002,2001,PRI,PROFR. RAUL REYES MACIAS
1002,2004,PAN,C. LUIS BERISTAIN
1002,2007,PRI,PROFR. JOSE LUIS REYES MEDINA
1002,2010,AXTB,LIC. BAUDELIO ESPARZA REYES
1002,2013,PNA,C. JOSE MANUEL GONZALEZ MOTA
1002,2016,CAGYPT,C. LORENZO MARTIN CARRILLO LARA
1002,2019,MORENA,C. JUAN LUIS JASSO HERNANDEZ
1002,2021,MORENA,C. JOSE MANUEL GONZALEZ MOTA
1003,1992,PRI,C.P. JOSE MARIA MARTINEZ VILLALOBOS
1003,1995,PAN,C. J. ROQUE RODRIGUEZ LOPEZ
1003,1998,PAN,C. FRANCISCO JAVIER FLORES SERNA
1003,2001,PRI,LIC. JOSE DE JESUS ORTIZ MACIAS
1003,2004,PAN,ARQ. HUMBERTO GALLEGOS ESCOBAR
1003,2007,AAA,LIC. JESUS SOTO LOPEZ
1003,2010,AXTB,DR. JORGE ALBERTO MARTINEZ VILLALOBOS
1003,2013,UPT,C. FRANCISCO JAVIER LUEVANO NUÑEZ
1003,2016,PAN,C. FRANCISCO JAVIER LUEVANO MARTINEZ
1003,2019,PAN,MTRO. ADAN VALDIVIA LOPEZ
1003,2021,COAL. POR AGUASCALIE,C. DANIEL ROMO URRUTIA
1004,1986,NA,C. ANTONIO CORTÉS MARTÍNEZ
1004,1992,PRI,C. CARLOS ESTRADA VALDEZ
1004,1995,PAN,C. MAGDALENO CERVANTES MARTINEZ
1004,1998,PRI,PROFR. PABLO CORTES DE LA CRUZ
1004,2001,PRI,PROFR. ARNULFO CERVANTES ADAME
1004,2004,PAN,ING. LAMBERTO ADAME OCON
1004,2007,PRI,PROFR. ANDRES DE SANTIAGO DE LUNA
1004,2010,AXTB,PROFR. PABLO CORTES DE LA CRUZ
1004,2013,APSP,C. GUSTAVO PADILLA ADAME
1004,2016,PI,C. JUAN MANUEL VILLALPANDO ADAME
1004,2019,PVEM,C. EUSEBIO ENRIQUE DELGADO ESPARZA
1004,2021,PVEM,C. EUSEBIO ENRIQUE DELGADO ESPARZA
1005,1992,PRI,M.V.Z. JOSE ACEVES JIMENEZ
1005,1995,PRI,C. CARLOS ARMANDO DE LUNA LOERA
1005,1998,PAN,DR. JOSE LUIS MARES MEDINA
1005,2001,PRI,ING. GILBERTO RODRIGUEZ DOMINGUEZ
1005,2004,PAN,LIC. LUIS FERNANDO FLORES MARTINEZ
1005,2007,PRI,LIC. GREGORIO ZAMARRIPA DELGADO
1005,2010,AXTB,M.V.Z. MARTIN GERARDO CHAVEZ DEL BOSQUE
1005,2013,UPT,C. JOSE ANTONIO ARAMBULA LOPEZ
1005,2016,PAN,C. NOEL MATA ATILANO
1005,2019,PAN,ING. JOSE ANTONIO ARAMBULA LOPEZ
1005,2021,COAL. POR AGUASCALIE,C. JOSE ANTONIO ARAMBULA LOPEZ
1006,1986,NA,C. SERGIO ORTEGA ROSALES
1006,1992,PRI,PROFR. JOSE MEDINA ESPARZA
1006,1995,PRI,C. FAUSTINO QUEZADA CHAVEZ
1006,1998,PRI,ING. ARTURO ROBLES AGUILAR
1006,2001,PRI,PROFR. FELIPE DE JESUS ORTEGA SAUCEDO
1006,2004,PAN,ING. EDUARDO CONSTANTINO TORRES CAMPOS
1006,2007,AAA,PROFR. ARTURO FERNANDEZ ESTRADA
1006,2010,AXTB,LIC. HECTOR RAUL GARCIA LUNA
1006,2013,PNA,C. SERGIO MORENO SERNA
1006,2016,PRD,C. CUAUHTEMOC ESCOBEDO TEJEDA
1006,2019,PRD,PROFR. CUAUHTEMOC ESCOBEDO TEJADA
1006,2021,PRI,C. HUMBERTO AMBRIZ  DELGADILLO
1007,1986,NA,C. SERGIO JIMÉNEZ MUÑOZ
1007,1992,PRI,C. FRANCISCO JAVIER DIAZ HERNANDEZ
1007,1995,PAN,C. JAVIER SANCHEZ TORRES
1007,1998,PRI,PROFR. JUAN JOSE PALACIOS AGUILAR
1007,2001,PVEM,C. JOSE MANUEL VALDEZ GOMEZ
1007,2004,COALICIÓN,PROFR. JUAN MANUEL MENDEZ NORIEGA
1007,2007,PVEM,PROFR. UBALDO TREVIÑO SOLEDAD
1007,2010,AXTB,C. ROBERTO ROMO MARIN
1007,2013,PT,C. FERNANDO MARMOLEJO MONTOYA
1007,2016,CAGYPT,C. FRANCISCO JAVIER RIVERA LUEVANO
1007,2019,PAN,LIC. J. JESUS PRIETO DIAZ
1007,2021,COAL. JHH,C. FRANCISCO JAVIER RIVERA  LUEVANO
1008,1986,NA,C. PEDRO PABLO RODRÍGUEZ GARCÍA
1008,1992,PRI,C. MIGUEL RODRIGUEZ VENTURA
1008,1995,PRI,PROFR. J. JESUS GONZALEZ QUIROZ
1008,1998,PRI,ING. RAUL GONZALEZ REYES
1008,2001,PT,PROFR. FIDEL MARTINEZ REYES
1008,2004,PAN,LIC. PEDRO ARMENDARIZ GARCIA
1008,2007,AAA,C. ARMANDO RODRIGUEZ DOMINGUEZ
1008,2010,AXTB,C. JUAN ANTONIO HERNANDEZ VALDIVIA
1008,2013,PNA,C. ANTONIO ALBERTO MARTINEZ RODRIGUEZ
1008,2016,PAN,C. MARIA CRISTINA LOPEZ GONZALEZ
1008,2019,PAN,C. MARIA CRISTINA LOPEZ GONZALEZ
1008,2021,FXM,C. ARMANDO RODRÍGUEZ  DOMÍNGUEZ
1009,1992,PRI,C. HECTOR RAMIREZ PASILLAS
1009,1995,PRI,C. RAUL RUIZ DONDIEGO
1009,1998,PAN,C. JOSE DE JESUS DELGADO DURON
1009,2001,PRI,LIC. PEDRO SANTILLAN NIETO
1009,2004,PAN,LIC. JORGE CRUZ PERALTA
1009,2007,AAA,C. CANDIDO LOZA LOZA
1009,2010,AXTB,C. J. JESUS SANTILLAN MEDINA
1009,2013,APSP,C. PABLO MACIAS FLORES
1009,2016,PVEM,C. OMAR ISRAEL CAMARILLO
1009,2019,PVEM,PROFR. OMAR ISRAEL CAMARILLO
1009,2021,PVEM,C. LETICIA OLIVARES  JIMENEZ
1010,1992,PRI,C. FRANCISCO SILVA MURILLO
1010,1992,PRI,C. JESUS GUERRERO ESCOBEDO
1010,1995,PRI,C. JUAN MANUEL RAMOS MIRELES
1010,1998,PRI,PROFR. JOSE MANUEL MARTINEZ RODRIGUEZ
1010,2001,PRI,C. FRANCISCO SILVA MURILLO
1010,2004,PAN,PROFR. JOSE DE JESUS RODRIGUEZ ONTIVEROS
1010,2007,PRI,PROFR. SALVADOR MARTIN DEL CAMPO
1010,2010,AXTB,LIC. JOSE LUIS MARTINEZ RODRIGUEZ
1010,2013,PT,C. CEZAR PEDROZA ORTEGA
1010,2016,CAGYPT,C. RAMIRO SALAS PIZAÑA
1010,2019,PT,C. CEZAR PEDROZA ORTEGA
1010,2021,COAL. JHH,C. CEZAR PEDROZA  ORTEGA
1011,1992,PRI,C. FRANCISCO JAVIER MARTINEZ HERNANDEZ
1011,1995,PRI,C. JUAN ANTONIO REYES CASTAÑEDA
1011,1998,PAN,C. ELIAS SANDOVAL RAMIREZ
1011,2001,PRI,PROFR. J. REFUGIO LARA MARTINEZ
1011,2004,PAN,T.V.Z. RAUL RAMIREZ FRANCO
1011,2007,PVEM,DR. EFRAIN CASTILLO VALADEZ
1011,2010,AXTB,C. FRANCISCO JAVIER GUEL SOSA
1011,2013,APSP,C. MARGARITA GALLEGOS SOTO
1011,2016,PRI,C. IRAIS MARTINEZ DE LA CRUZ
1011,2019,PRI,TEC. JUAN JOSE LOSOYA PONCE
1011,2021,PRI,C. MARGARITA GALLEGOS  SOTO
