uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
3001,1993,PAN,ALFREDO MARTINEZ CORDOVA
3001,1994,PAN,ALFREDO MARTINEZ CORDOVA
3001,1995,PAN,ALFREDO MARTINEZ CORDOVA
3001,1996,PAN,ALFREDO MARTINEZ CORDOVA
3001,1997,PRI,RICARDO GARZA ESPIRITU
3001,1998,PRI,RICARDO GARZA ESPIRITU
3001,1999,PRI,RICARDO GARZA ESPIRITU
3001,2000,PRD-PT,FRANCISCO JAVIER OBREGON ESPINOZA
3001,2001,PRD-PT,FRANCISCO JAVIER OBREGON ESPINOZA
3001,2002,PRD-PT,FRANCISCO JAVIER OBREGON ESPINOZA
3001,2003,COALICIoN,JAVIER GALLO REYNA
3001,2004,COALICIoN,JAVIER GALLO REYNA
3001,2005,COALICIoN,JAVIER GALLO REYNA
3001,2006,COALICIoN,MARCOS ALBERTO COVARRUBIAS VILLASEÑOR
3001,2007,COALICIoN,MARCOS ALBERTO COVARRUBIAS VILLASEÑOR
3001,2008,COALICIoN,MARCOS ALBERTO COVARRUBIAS VILLASEÑOR
3001,2009,CXBDS,JOEL VILLEGAS IBARRA
3001,2010,CXBDS,JOEL VILLEGAS IBARRA
3001,2011,CXBDS,JOEL VILLEGAS IBARRA
3001,2012,PAN,VENUSTIANO PEREZ SANCHEZ
3001,2013,PAN,VENUSTIANO PEREZ SANCHEZ
3001,2014,PAN,VENUSTIANO PEREZ SANCHEZ
3001,2015,PAN,VENUSTIANO PEREZ SANCHEZ
3001,2016,COAL,FRANCISCO PELAYO COVARRUBIAS
3001,2017,COAL,FRANCISCO PELAYO COVARRUBIAS
3001,2018,COAL,FRANCISCO PELAYO COVARRUBIAS
3001,2019,COAL,JOSE WALTER VALENZUELA ACOSTA
3001,2020,COAL,JOSE WALTER VALENZUELA ACOSTA
3001,2021,COAL,JOSE WALTER VALENZUELA ACOSTA
3001,2022,JHHEBCS,ILIANA GUADALUPE TALAMANTES HIGUERA
3001,2023,JHHEBCS,ILIANA GUADALUPE TALAMANTES HIGUERA
3001,2024,JHHEBCS,ILIANA GUADALUPE TALAMANTES HIGUERA
3002,1993,PRI,GILBERTO FLORES YEE
3002,1994,PRI,GILBERTO FLORES YEE
3002,1995,PRI,GILBERTO FLORES YEE
3002,1996,PRI,GILBERTO FLORES YEE
3002,1997,PRI,JOSE MANUEL ROJAS AGUILAR
3002,1998,PRI,JOSE MANUEL ROJAS AGUILAR
3002,1999,PRI,JOSE MANUEL ROJAS AGUILAR
3002,2000,PAN,ENRIQUE GARAYZAR ASIAIN
3002,2001,PAN,ENRIQUE GARAYZAR ASIAIN
3002,2002,PAN,ENRIQUE GARAYZAR ASIAIN
3002,2003,PRI,MARCO ANTONIO NUÑEZ ROSAS
3002,2004,PRI,MARCO ANTONIO NUÑEZ ROSAS
3002,2005,PRI,MARCO ANTONIO NUÑEZ ROSAS
3002,2006,COALICIoN,PEDRO GRACIANO OSUNA LOPEZ
3002,2007,COALICIoN,PEDRO GRACIANO OSUNA LOPEZ
3002,2008,COALICIoN,PEDRO GRACIANO OSUNA LOPEZ
3002,2009,CXBDS,JOSE MANUEL MURILLO PERALTA
3002,2010,CXBDS,JOSE MANUEL MURILLO PERALTA
3002,2011,CXBDS,JOSE MANUEL MURILLO PERALTA
3002,2012,SUDTP,GUILLERMO SANTILLAN MEZA
3002,2013,SUDTP,GUILLERMO SANTILLAN MEZA
3002,2014,SUDTP,GUILLERMO SANTILLAN MEZA
3002,2015,SUDTP,GUILLERMO SANTILLAN MEZA
3002,2016,CC,CECILIA LOPEZ GONZALEZ
3002,2017,CC,CECILIA LOPEZ GONZALEZ
3002,2018,CC,CECILIA LOPEZ GONZALEZ
3002,2019,PNA,JOSE FELIPE PRADO BAUTISTA
3002,2020,PNA,JOSE FELIPE PRADO BAUTISTA
3002,2021,PNA,JOSE FELIPE PRADO BAUTISTA
3002,2022,UC,EDITH AGUILAR VILLAVICENCIO
3002,2023,UC,EDITH AGUILAR VILLAVICENCIO
3002,2024,UC,EDITH AGUILAR VILLAVICENCIO
3003,1993,PAN,ADAN RUFO VELARDE
3003,1994,PAN,ADAN RUFO VELARDE
3003,1995,PAN,ADAN RUFO VELARDE
3003,1996,PAN,ADAN RUFO VELARDE
3003,1997,PRI,VIRIDIANO POLANCO HOLGUIN
3003,1998,PRI,VIRIDIANO POLANCO HOLGUIN
3003,1999,PRI,VIRIDIANO POLANCO HOLGUIN
3003,2000,PRD-PT,ALFREDO PORRAS DOMINGUEZ
3003,2001,PRD-PT,ALFREDO PORRAS DOMINGUEZ
3003,2002,PRD-PT,ALFREDO PORRAS DOMINGUEZ
3003,2003,COALICIoN,VICTOR MANUEL GULUARTE CASTRO
3003,2004,COALICIoN,VICTOR MANUEL GULUARTE CASTRO
3003,2005,COALICIoN,VICTOR MANUEL GULUARTE CASTRO
3003,2006,COALICIoN,VICTOR MANUEL CASTRO COSIO
3003,2007,COALICIoN,VICTOR MANUEL CASTRO COSIO
3003,2008,CXBDS,ROSA DELIA COTA MONTAÑO
3003,2009,CXBDS,ROSA DELIA COTA MONTAÑO
3003,2010,CXBDS,ROSA DELIA COTA MONTAÑO
3003,2011,CXBDS,ROSA DELIA COTA MONTAÑO
3003,2012,UXBCS,ESTHELA DE JESUS PONCE BELTRAN
3003,2013,UXBCS,ESTHELA DE JESUS PONCE BELTRAN
3003,2014,UXBCS,ESTHELA DE JESUS PONCE BELTRAN
3003,2015,UXBCS,ESTHELA DE JESUS PONCE BELTRAN
3003,2016,CC,ARMANDO MARTINEZ VEGA
3003,2017,CC,ARMANDO MARTINEZ VEGA
3003,2018,CC,ARMANDO MARTINEZ VEGA
