uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
3001,1972,NA,C. RICARDO SANTOS SANTOS
3001,1975,NA,C. DANIEL MOSKA MASAKI
3001,1978,NA,C. ELIGIO SOTO LÓPEZ
3001,1981,NA,C. ALFREDO POLANCO OLGUÍN
3001,1984,NA,C. GABRIEL RENERO LARA
3001,1987,NA,C. LUIS JAIME FARÍAS TUCHMAN
3001,1990,NA,C. RICARDO COVARRUBIAS VILLASEÑOR
3001,1993,PAN,LIC. ALFREDO MARTINEZ CORDOVA
3001,1996,PRI,LIC. RICARDO GARZA ESPIRITU
3001,1999,PRD-PT,C. FRANCISCO JAVIER OBREGON ESPINOZA
3001,2002,COALICIÓN,LIC. JAVIER GALLO REYNA
3001,2005,COALICIÓN,C. MARCOS ALBERTO COVARRUBIAS VILLASEÑOR
3001,2008,CXBDS,DR. JOEL VILLEGAS IBARRA
3001,2011,PAN,C. VENUSTIANO PÉREZ SÁNCHEZ
3001,2015,COAL.,C. FRANCISCO PELAYO COVARRUBIAS
3001,2018,COAL.,C. JOSE WALTER VALENZUELA ACOSTA
3001,2021,JHHEBCS,C. ILIANA GUADALUPE TALAMANTES HIGUERA
3002,1972,NA,C. JUVENTINO HERNÁNDEZ RUBIO
3002,1975,NA,C. SERGIO AGUILAR RODRÍGUEZ
3002,1978,NA,C. MARIO VARGAS AGUILAR
3002,1980,NA,C. MA. LUISA SALCEDO DE B.
3002,1981,NA,C. MARCO A. OROZCO AVILÉS
3002,1984,NA,C. ANTONIO HINOJOSA CABRERA
3002,1987,NA,C. RAÚL ROUZAUD OSUNA
3002,1989,NA,C. JESÚS MURILLO AGUILAR
3002,1993,PRI,C. GILBERTO FLORES YEE
3002,1996,PRI,C. JOSE MANUEL ROJAS AGUILAR
3002,1999,PAN,C.P. ENRIQUE GARAYZAR ASIAIN
3002,2002,PRI,PROFR. MARCO ANTONIO NUÑEZ ROSAS
3002,2005,COALICIÓN,C. PEDRO GRACIANO OSUNA LOPEZ
3002,2008,CXBDS,C. JOSE MANUEL MURILLO PERALTA
3002,2011,SUDTP,LIC. GUILLERMO SANTILLÁN MEZA
3002,2015,C.C.,C. CECILIA LOPEZ GONZALEZ
3002,2018,PNA,C. JOSE FELIPE PRADO BAUTISTA
3002,2021,UC,C. EDITH AGUILAR VILLAVICENCIO
3003,1972,NA,C. ALFONSO GONZÁLEZ OJEDA
3003,1975,NA,C. JORGE SANTA ANA GONZÁLEZ
3003,1978,NA,C. FRANCISCO CARDOZA MACÍAS
3003,1981,NA,C. MATÍAS AMADOR MOYRÓN
3003,1984,NA,C. J. ENRIQUE V. ORTEGA ROMERO
3003,1987,NA,C. JOSÉ CARLOS COTA OSUNA
3003,1990,NA,C. ANTONIO WILSON GONZÁLEZ
3003,1993,PAN,C. ADAN RUFO VELARDE
3003,1996,PRI,C. VIRIDIANO POLANCO HOLGUIN
3003,1999,PRD-PT,LIC. ALFREDO PORRAS DOMINGUEZ
3003,2002,COALICIÓN,LIC. VICTOR MANUEL GULUARTE CASTRO
3003,2005,COALICIÓN,C. VICTOR MANUEL CASTRO COSIO
3003,2008,CXBDS,C. ROSA DELIA COTA MONTAÑO
3003,2011,UXBCS,LIC. ESTHELA DE JESÚS PONCE BELTRÁN
3003,2015,C.C.,C. ARMANDO MARTINEZ VEGA
3003,2018,COAL.,C. RUBEN GREGORIO MUÑOZ ALVAREZ
3003,2021,JHHEBCS,C. MILENA PAOLA QUIROGA ROMERO
3008,1981,NA,C. HÉCTOR PALACIOS AVILÉS
3008,1984,NA,C. FRANCISCO PALACIOS CESEÑA
3008,1987,NA,C. LEÓN COTA COLLINS
3008,1990,NA,C. MANUEL SALVADOR CASTRO CASTRO
3008,1993,NA,C. MIGUEL ÁNGEL OLACEA PALACIOS
3008,2008,CXBDS,C. JOSE A. ABUNDES MONTAÑO
3008,2011,SUDTP,ING. JOSÉ ANTONIO AGUNDEZ MONTAÑO
3008,2015,C.C.,C. ARTURO DE LA ROSA ESCALANTE
3008,2018,COAL.,C. JESUS ARMIDA CASTRO GUZMAN
3008,2021,JHHEBCS,PROFR. OSCAR LEGGS CASTRO
3009,1993,NA,C. ALFREDO GARCÍA GREEN
3009,1996,NA,C. RAMÓN DAVIS DREW
3009,2008,PRD,PROFR. YUAN YEE CUNNINGHAM
3009,2011,UXBCS,C. JORGE ALBERTO AVILÉS PÉREZ
3009,2015,C.C.,C. ARELY ARCE PERALTA
3009,2018,C.C.,C. ARELY ARCE PERALTA
3009,2021,UC,C. PAOLA MARGARITA COTA DAVIS
