uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
4001,1992,PRI,ABELARDO MAYOR CUEVAS
4001,1993,PRI,ABELARDO MAYOR CUEVAS
4001,1994,PRI,ABELARDO MAYOR CUEVAS
4001,1995,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ
4001,1996,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ
4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ
4001,1998,PRI,JOSE FELIPE ESTRADA MIJANGOS
4001,1999,PRI,JOSE FELIPE ESTRADA MIJANGOS
4001,2000,PRI,JOSE FELIPE ESTRADA MIJANGOS
4001,2001,PRI,SONIA JACQUELINE CUEVAS KANTUN
4001,2002,PRI,SONIA JACQUELINE CUEVAS KANTUN
4001,2003,PRI,SONIA JACQUELINE CUEVAS KANTUN
4001,2004,PAN,MARTHA PATRICIA GARCIA
4001,2005,PAN,MARTHA PATRICIA GARCIA
4001,2006,PAN,MARTHA PATRICIA GARCIA
4001,2007,PRI,JORGE ANTONIO COCON COLLI
4001,2008,PRI,JORGE ANTONIO COCON COLLI
4001,2009,PRI,JORGE ANTONIO COCON COLLI
4001,2010,UXC,CARLOS EDUARDO SANGUINO CARRIL
4001,2011,UXC,CARLOS EDUARDO SANGUINO CARRIL
4001,2012,UXC,CARLOS EDUARDO SANGUINO CARRIL
4001,2013,PRI,VICTOR HUGO BALTAZAR RODRIGUEZ
4001,2014,PRI,VICTOR HUGO BALTAZAR RODRIGUEZ
4001,2015,PRI,VICTOR HUGO BALTAZAR RODRIGUEZ
4001,2016,MORENA,JOSE EMILIANO CANUL AKE
4001,2017,MORENA,JOSE EMILIANO CANUL AKE
4001,2018,MORENA,JOSE EMILIANO CANUL AKE
4001,2019,CCPT,ROQUE JACINTO SANCHEZ GOLIB
4001,2020,CCPT,ROQUE JACINTO SANCHEZ GOLIB
4001,2021,CCPT,ROQUE JACINTO SANCHEZ GOLIB
4001,2022,COAL,JUANITA DEL ROSARIO CORTES MOO
4001,2023,COAL,JUANITA DEL ROSARIO CORTES MOO
4001,2024,COAL,JUANITA DEL ROSARIO CORTES MOO
4002,1992,PRI,GABRIEL ESCALANTE CASTILLO
4002,1993,PRI,GABRIEL ESCALANTE CASTILLO
4002,1994,PRI,GABRIEL ESCALANTE CASTILLO
4002,1995,PRI,JOSE ANTONIO GONZALEZ CURI
4002,1996,PRI,JOSE ANTONIO GONZALEZ CURI
4002,1997,PRI,JOSE ANTONIO GONZALEZ CURI
4002,1998,PRI,VICTOR MANUEL MENDEZ LANZ
4002,1999,PRI,VICTOR MANUEL MENDEZ LANZ
4002,2000,PRI,VICTOR MANUEL MENDEZ LANZ
4002,2001,PRI,JORGE CARLOS HURTADO VALDEZ
4002,2002,PRI,JORGE CARLOS HURTADO VALDEZ
4002,2003,PRI,JORGE CARLOS HURTADO VALDEZ
4002,2004,PRI,FERNANDO EUTIMIO ORTEGA BERNES
4002,2005,PRI,FERNANDO EUTIMIO ORTEGA BERNES
4002,2006,PRI,FERNANDO EUTIMIO ORTEGA BERNES
4002,2007,PRI,CARLOS OZNEROL PACHECO CASTRO
4002,2008,PRI,CARLOS OZNEROL PACHECO CASTRO
4002,2009,PRI,CARLOS OZNEROL PACHECO CASTRO
4002,2010,PAN,BEATRIZ SELEM TRUEBA
4002,2011,PAN,BEATRIZ SELEM TRUEBA
4002,2012,PAN,BEATRIZ SELEM TRUEBA
4002,2013,PRI,ANA MARTHA ESCALANTE CASTILLO
4002,2014,PRI,ANA MARTHA ESCALANTE CASTILLO
4002,2015,PRI,ANA MARTHA ESCALANTE CASTILLO
4002,2016,COAL,EDGAR ROMAN HERNANDEZ HERNANDEZ
4002,2017,COAL,EDGAR ROMAN HERNANDEZ HERNANDEZ
4002,2018,COAL,EDGAR ROMAN HERNANDEZ HERNANDEZ
4002,2019,CPCAF,ELISEO FERNANDEZ MONTUFAR
4002,2020,CPCAF,ELISEO FERNANDEZ MONTUFAR
4002,2021,CPCAF,ELISEO FERNANDEZ MONTUFAR
4002,2022,PMC,BIBY KAREN RABELO DE LA TORRE
4002,2023,PMC,BIBY KAREN RABELO DE LA TORRE
4002,2024,PMC,BIBY KAREN RABELO DE LA TORRE
4003,1992,PRI,JOSE JABER RAFFUL
4003,1993,PRI,JOSE JABER RAFFUL
4003,1994,PRI,JOSE JABER RAFFUL
4003,1995,PRI,RICARDO AUGUSTO OCAMPO FERNANDEZ
4003,1996,PRI,RICARDO AUGUSTO OCAMPO FERNANDEZ
4003,1997,PRI,RICARDO AUGUSTO OCAMPO FERNANDEZ
4003,1998,PRI,LUIS ALBERTO FUENTES MENA
4003,1999,PRI,LUIS ALBERTO FUENTES MENA
