uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
4001,1991,PRI,ABELARDO MAYOR CUEVAS,PFCRN,,0.8038572015
4001,1994,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,,0.6048472734
4001,1997,PRI,JOSE F ESTRADA MIJANGOS,PRD,,0.2487520799
4001,2000,PRI,SONIA JACQUELINE CUEVAS,PAN,,0.2442079883
4001,2003,PAN,MARTHA PATRICIA GARCIA,PRI,,0.0131903174
4001,2006,PRI,JORGE ANTONIO COCON COLLI,PAN,,0.0860398114
4001,2009,PRI_PNA,CARLOS EDUARDO SANGUINO CARRIL,PAN,,0.0241926059
4001,2012,PRI_PVEM,VICTOR HUGO BALTAZAR RODRIGUEZ,PAN,,0.3414152109
4001,2015,MORENA,JOSE EMILIANO CANUL AKE,PRI_PVEM,,0.0487644948
4001,2018,PRI_PVEM_PNA,ROQUE JACINTO SANCHEZ GOLIB,MORENA,MARIA MARTINA KANTUN CAN,0.1807925584
4001,2021,PAN_PRI_PRD,JUANITA DEL ROSARIO CORTES MOO,MC,,0.046751948
4002,1991,PRI,GABRIEL ESCALANTE CASTILLO,PARM,,0.5008287456
4002,1994,PRI,ANTONIO GONZALEZ CURI,PAN,,0.2456672943
4002,1997,PRI,VICTOR MENDEZ LANZ,PAN,,0.0419936399
4002,2000,PRI,JORGE CARLOS HURTADO VALDEZ,PAN,,0.1245522281
4002,2003,PRI,FERNANDO EUTIMIO ORTEGA BERNES,PAN,,0.1371054666
4002,2006,PRI,CARLOS OZNEROL PACHECO CASTRO,PAN,,0.0630192743
4002,2009,PAN,CARLOS ERNESTO ROSADO RUELAS,PRI_PNA,,0.0933252632
4002,2012,PRI_PVEM,ANA MARIA ESCALANTE CASTILLO,PAN,HEBERTO BROWN CAMARA,0.3628010861
4002,2015,PRI_PVEM,EDGAR ROMAN HERNANDEZ HERNANDEZ,PAN,,0.1027814644
4002,2018,PAN_MC,ELISEO FERNANDEZ MONTUFAR,PRI_PVEM_PNA,CLAUDIO CETINA GOMEZ,0.2623539208
4002,2021,MC,BIBY CARMEN RABELO DE LA TORRE,MORENA,,0.0872348725
4003,1991,PRI,JOSE CABER RAFFUL,PAN,,0.7161078521
4003,1994,PRI,RICARDO OCAMPO FERNANDEZ,PRD,,0.4162521636
4003,1997,PRI,LUIS ALBERTO FUENTES MENA,PRD,,0.0898880719
4003,2000,PAN,SEBASTIAN CALDERON CENTENO,PRI,,0.1033379866
4003,2003,PAN,JORGE ROSIÑOL ABREU,PRI,,0.0176710467
4003,2006,PAN,JOSE IGNACIO SEARA SIERRA,PRI,,0.0246464181
4003,2009,PRI_PNA,ARACELY ESCALANTE JASSO,PAN,,0.0866116238
4003,2012,PRI_PVEM,ENRIQUE IVAN GONZALEZ LOPEZ,PAN,,0.0616847859
4003,2015,PAN,PABLO GUTIERREZ LAZARUS,PRI_PVEM,,0.1166002175
4003,2018,PRI_PVEM_PNA,OSCAR ROMAN ROSAS GONZALEZ ,PAN_MC,PABLO GUTIERREZ LAZARUS,0.0017016116
4003,2021,MORENA,PABLO GUTIERREZ LAZARUS,PAN_PRI_PRD,OSCAR ROMAN ROSAS GONZALEZ ,0.1566243386
4004,1991,PRI,JOSE E CHONGO VAZQUEZ,PRD,,0.8487515204
4004,1994,PRI,RAUL ARMANDO URIBE FLORES,PRD,,0.4841469968
4004,1997,PRD,ARTURO MANUEL DURAN LEON,PRI,,0.0087012707
4004,2000,PRI,HERCULANO ANGULO VILLACIS,PRD,,0.3870770982
4004,2003,PAN,JORGE ENRIQUE CASTRO SANDOVAL,PRI,,0.0406768265
4004,2006,PRI,MARIO LUIS GARCIA ORTEGON,PAN,,0.0266238864
4004,2009,PRI_PNA,XICOTENCATL GONZALEZ HERNANDEZ,PAN,,0.0392990813
4004,2012,PRI_PVEM,JOSE LUIS ARJONA ROSADO,PAN,,0.1557994974
4004,2015,PRI_PVEM,RAUL ARMANDO URIBE HAYDAR,PAN,,0.2395195416
4004,2018,PRI_PVEM_PNA,DANIEL MARTIN LEON CRUZ,MORENA,MANUEL ENRIQUE NAVARRO VAZQUEZ,0.0554574524
4004,2021,MORENA,CLAUDETH SARRICOLEA CASTILLEJO,PAN_PRI_PRD,,0.0148183133
4005,1991,PRI,JORGE WILBERT PEREZ HURTADO,PARM,,0.5147535085
4005,1994,PRI,CARLOS ENRIQUE TORRES MELKEN,PRD,,0.2613863717
4005,1997,PRI,JUAN MANUEL MELKEN DIAZ,PT,,0.1639819214
4005,2000,PRI,JOSE DOLORES BRITO PECH,PAN,,0.3939845146
4005,2003,PAN,MARCO ANTONIO AKE CHI,PRI,,0.0127023884
4005,2006,PRI,JOSE LUIS MONTERO ROSADO,PNA,,0.0240266434
4005,2009,PAN,MODESTO ARCANGEL PECH UITZ,PRI_PNA,,0.0690094039
4005,2012,PRI_PVEM,FERNANDO ANTONIO NAHUM SLEME LAVADORES,PAN,,7.866273e-4
4005,2015,PAN,MODESTO ARCANGEL PECH UITZ,PES,,0.1547897916
4005,2018,PES,JOSE DOLORES BRITO PECH,PAN_MC,JOSE CEVASTIAN YAM POOT,0.0307779671
4005,2021,PAN_PRI_PRD,JOSE DOLORES BRITO PECH,MC,JOSE CEVASTIAN YAM POOT,0.0018084238
4006,1991,PRI,PEDRO LARA Y LARA,PARM,,0.42576229
4006,1994,PRI,JUAN JESUS INFANTE PACHECO,PRD,,0.5317081072
4006,1997,PRI,JOSE ANTONIO LARA CAHUICH,PRD,,0.4449784229
4006,2000,PRI,JORGE LARA LOPEZ,PAN,,0.2459464383
4006,2003,PAN,NIDIA MILDRED YEH PANTI,PRI,,0.0175851914
4006,2006,PRI,JULIO ALBERTO SANSORES SANSORES,PAN,,0.0340573677
4006,2009,PAN,HEBERT RAFAEL INFANTE YE,PRI_PNA,,0.2146078677
4006,2012,PRI_PVEM,ALONSO JULIAN PACHECO UCAN,PAN,,0.0783727191
4006,2015,PRI_PVEM,JOSE IGNACIO ESPAÑA NOVELO,PAN,,0.0405823871
4006,2018,PRI_PVEM_PNA,SANDY ARELY BAAS CAUICH,PAN_MC,ADRIANA NOVELO RIVERO,0.2372167121
4006,2021,PAN_PRI_PRD,EMILIO LARA CALDERON,MORENA,,0.1852552902
4007,1991,PRI,SAMUEL DIAZ BENITEZ,PRD,,0.9130434783
4007,1994,PRI,CARLOS ALBERTO AYALA FERNANDEZ DEL CAMPO,PRD,,0.7850992138
4007,1997,PRI,GENARO ABREU BARROSO,PRD,,0.5081792319
4007,2000,PRI,JAVIER ZAVALA BALLONA,PRD,,0.0926143025
4007,2003,PRI,DEYRO CAMARA DAMAS,CONVE,,0.012553495
4007,2006,PRD_PT_CONVE,LUIS AYALA MENDEZ,PRI,,0.0851287441
4007,2009,PRI_PNA,VICENTE GUERRERO DEL RIVERO,CONVE,,0.1556036556
4007,2012,PRI_PVEM,RAUL DEL RIVERO QUINTERO,PAN,,0.0098098098
4007,2015,PAN,PEDRO JAVIER AYALA CAMARA,PRI_PVEM,,0.1567944251
4007,2018,PRI_PVEM_PNA,MARITZA DIAZ DOMINGUEZ,MORENA,VICENTE GUERRERO DEL RIVERO,0.1170972128
4007,2021,PAN_PRI_PRD,ANGELA DEL CARMEN CAMARA DAMAS,MORENA,,0.1573820916
4008,1991,PRI,ENRIQUE MUÑOZ HERRERA,PARM,,0.7489196197
4008,1994,PRI,ELDA EUSEBIA CONCHA CHAVEZ,PT,,0.6401395054
4008,1997,PRI,PONCIANO NARVAEZ MOO,PRD,,0.1721718796
4008,2000,PRI,JOSE ROMAN CHAN POOT,PT_CONVE_PAS_CRC,,0.3517756047
