uniqueid,year,state,mun,section,incumbent_party_magar,incumbent_candidate_magar,final_incumbent,incumbent_vote,party_component,mutually_exclusive,researched_incumbent,source_researched_incumbent,incumbent_party_JL,incumbent_candidate_JL,incumbent_party_Horacio,incumbent_party_inafed,incumbent_candidate_inafed,state_incumbent_party,state_incumbent_vote,state_incumbent_vote_party_component,PRI_vote,PRI_vote_party_component,PRD_vote,PRD_vote_party_component,PAN_vote,PAN_vote_party_component,MORENA_vote,MORENA_vote_party_component,runnerup_party_magar,runnerup_candidate_magar,runnerup_vote,runnerup_party_component,margin,listanominal,valid,total,turnout,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
4010,1997,CAMPECHE,Calakmul,356,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,387,PRI,387,PRI,193,PRD,2,PAN,NA,NA,NA,NA,NA,NA,NA,973,676,676,0.6947584789311408,2,387,193,9,79,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,357,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,231,PRI,231,PRI,19,PRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,250,250,0.7352941176470589,0,231,19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,358,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,81,PRI,81,PRI,37,PRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,124,124,0.5081967213114754,0,81,37,0,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,359,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,215,PRI,215,PRI,134,PRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,386,386,0.7553816046966731,0,215,134,0,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,360,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,326,PRI,326,PRI,211,PRD,2,PAN,NA,NA,NA,NA,NA,NA,NA,751,554,554,0.7376830892143809,2,326,211,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,361,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,311,PRI,311,PRI,234,PRD,3,PAN,NA,NA,NA,NA,NA,NA,NA,876,550,550,0.6278538812785388,3,311,234,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,362,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,119,PRI,119,PRI,74,PRD,1,PAN,NA,NA,NA,NA,NA,NA,NA,305,196,196,0.6426229508196721,1,119,74,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,413,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,38,PRI,38,PRI,20,PRD,1,PAN,NA,NA,NA,NA,NA,NA,NA,165,59,59,0.3575757575757576,1,38,20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,414,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,96,PRI,96,PRI,32,PRD,2,PAN,NA,NA,NA,NA,NA,NA,NA,158,130,130,0.8227848101265823,2,96,32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,415,NA,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,378,PRI,378,PRI,223,PRD,38,PAN,NA,NA,NA,NA,NA,NA,NA,944,646,646,0.684322033898305,38,378,223,1,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
