uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
7001,1992,NA,MARIO MATIAS SALAS
7001,1993,NA,MARIO MATIAS SALAS
7001,1994,NA,MARIO MATIAS SALAS
7001,1995,NA,MARIO MATIAS SALAS
7001,1996,PRI,SILVERIO ANTONIO ANTOLIN
7001,1997,PRI,SILVERIO ANTONIO ANTOLIN
7001,1998,PRI,SILVERIO ANTONIO ANTOLIN
7001,1999,PRI,ANGEL GALILEO KOMUKAY MATSUI
7001,2000,PRI,ANGEL GALILEO KOMUKAY MATSUI
7001,2001,PRI,ANGEL GALILEO KOMUKAY MATSUI
7001,2002,PRI,VALENTIN ANTONIO ORDOÑEZ
7001,2003,PRI,VALENTIN ANTONIO ORDOÑEZ
7001,2004,PRI,VALENTIN ANTONIO ORDOÑEZ
7001,2005,COALICIoN,JOSE MARTIN NOMURA HERNANDEZ
7001,2006,COALICIoN,JOSE MARTIN NOMURA HERNANDEZ
7001,2007,COALICIoN,JOSE MARTIN NOMURA HERNANDEZ
7001,2008,PAN,ANGEL GALILEO KOMUKAI MATSUI
7001,2009,PAN,ANGEL GALILEO KOMUKAI MATSUI
7001,2010,PAN,ANGEL GALILEO KOMUKAI MATSUI
7001,2011,PRI,FELIX GUSTAVO SOSA HERNANDEZ
7001,2012,PRI,FELIX GUSTAVO SOSA HERNANDEZ
7001,2013,PRI,OLEGARIO ORTIZ GARCIA
7001,2014,PRI,OLEGARIO ORTIZ GARCIA
7001,2015,PRI,OLEGARIO ORTIZ GARCIA
7001,2016,PMACH,PATRICIO ELI MATIAS SALAS
7001,2017,PMACH,PATRICIO ELI MATIAS SALAS
7001,2018,PMACH,PATRICIO ELI MATIAS SALAS
7001,2019,PCHU,ELMER CAMPOS GUTIERREZ
7001,2020,PCHU,ELMER CAMPOS GUTIERREZ
7001,2021,PCHU,ELMER CAMPOS GUTIERREZ
7001,2022,PVEM,ISMAEL DIAZ ESTRADA
7001,2023,PVEM,ISMAEL DIAZ ESTRADA
7001,2024,PVEM,ISMAEL DIAZ ESTRADA
7002,1992,PRI,RIGOBERTO GONZALEZ YUCA
7002,1993,PRI,RIGOBERTO GONZALEZ YUCA
7002,1994,PRI,RIGOBERTO GONZALEZ YUCA
7002,1995,PRI,RIGOBERTO GONZALEZ YUCA
7002,1996,PRI,PEDRO MATUSALEN LUNA GONZALEZ
7002,1997,PRI,PEDRO MATUSALEN LUNA GONZALEZ
7002,1998,PRI,PEDRO MATUSALEN LUNA GONZALEZ
7002,1999,PRD,JESUS ABUNDIO NARCIA COELLO
7002,2000,PRD,JESUS ABUNDIO NARCIA COELLO
7002,2001,PRD,JESUS ABUNDIO NARCIA COELLO
7002,2002,AXA,JUAN CARLOS CAMACHO RUIZ
7002,2003,AXA,JUAN CARLOS CAMACHO RUIZ
7002,2004,AXA,JUAN CARLOS CAMACHO RUIZ
7002,2005,PAN,RODRIGO TRINIDAD ROSALES FRANCO
7002,2006,PAN,RODRIGO TRINIDAD ROSALES FRANCO
7002,2007,PAN,RODRIGO TRINIDAD ROSALES FRANCO
7002,2008,PRI,MARIO ALBERTO COELLO LAVARIEGA
7002,2009,PRI,MARIO ALBERTO COELLO LAVARIEGA
7002,2010,PRI,MARIO ALBERTO COELLO LAVARIEGA
7002,2011,PVEM,JESUS ABUNDIO NARCIA COELLO
7002,2012,PVEM,JESUS ABUNDIO NARCIA COELLO
7002,2013,CC,DAGOBERTO SANTIAGO ROMAN FLORES
7002,2014,CC,DAGOBERTO SANTIAGO ROMAN FLORES
7002,2015,CC,DAGOBERTO SANTIAGO ROMAN FLORES
7002,2016,PMACH,MARCO ANTONIO RUIZ PASCACIO
7002,2017,PMACH,MARCO ANTONIO RUIZ PASCACIO
7002,2018,PMACH,MARCO ANTONIO RUIZ PASCACIO
7002,2019,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7002,2020,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7002,2021,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7002,2022,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7002,2023,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7002,2024,PCHU,RODRIGO TRINIDAD ROSALES FRANCO
7003,1992,PRI,GONZALO ESPINOSA CRUZ
7003,1993,PRI,GONZALO ESPINOSA CRUZ
7003,1994,PRI,GONZALO ESPINOSA CRUZ
7003,1995,PRI,GONZALO ESPINOSA CRUZ
7003,1996,PRI,JOSE MANUEL CHOY ESPINOSA
7003,1997,PRI,JOSE MANUEL CHOY ESPINOSA
7003,1998,PRI,JOSE MANUEL CHOY ESPINOSA
7003,1999,PRI,EDUARDO HILERIO CHIRINO
7003,2000,PRI,EDUARDO HILERIO CHIRINO
7003,2001,PRI,EDUARDO HILERIO CHIRINO
7003,2002,PVEM,JAIME CHOY ESPINOZA
7003,2003,PVEM,JAIME CHOY ESPINOZA
7003,2004,PVEM,JAIME CHOY ESPINOZA
7003,2005,PVEM,ARIEL ESPINOSA DOMINGUEZ
7003,2006,PVEM,ARIEL ESPINOSA DOMINGUEZ
7003,2007,PVEM,ARIEL ESPINOSA DOMINGUEZ
7003,2008,PVEM,ADALBERTO MORENO GALLEGOS
7003,2009,PVEM,ADALBERTO MORENO GALLEGOS
7003,2010,PVEM,ADALBERTO MORENO GALLEGOS
7003,2011,PT,ANGEL PEREZ ESPINOZA
7003,2012,PT,ANGEL PEREZ ESPINOZA
7003,2013,PVEM,AURELIO AGUSTIN ORANTES OVALLE
7003,2014,PVEM,AURELIO AGUSTIN ORANTES OVALLE
7003,2015,PVEM,AURELIO AGUSTIN ORANTES OVALLE
7003,2016,PCHU,RODOLFO CERDA GUTIERREZ
7003,2017,PCHU,RODOLFO CERDA GUTIERREZ
7003,2018,PCHU,RODOLFO CERDA GUTIERREZ
7003,2019,PVEM,JAVIER NIEVES CRUZ
7003,2020,PVEM,JAVIER NIEVES CRUZ
7003,2021,PVEM,JAVIER NIEVES CRUZ
7003,2022,PVEM,GERARDO SANCHEZ ROJAS
7003,2023,PVEM,GERARDO SANCHEZ ROJAS
7003,2024,PVEM,GERARDO SANCHEZ ROJAS
7004,1992,PRI,JOSE ARNULFO CRUZ DESELIS
7004,1993,PRI,JOSE ARNULFO CRUZ DESELIS
7004,1994,PRI,JOSE ARNULFO CRUZ DESELIS
