uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
7001,1919,NA,C. SÓSTENES RINCÓN
7001,1952,NA,C. RAMÓN ANTONIO CRUZ
7001,1954,NA,C. JUVENCIO NISHIZAMA CRUZ
7001,1956,NA,C. JSSÉ CAMAKAY ANTONIO
7001,1958,NA,C. SEBASTIÁN CRUZ
7001,1960,NA,C. GENARO TORRES LÓPEZ
7001,1962,NA,C. NICOLÁS CRUZ MEDA
7001,1965,NA,C. RICARDO TZUZUKI SALES
7001,1968,NA,C. WENCESLAO NIÑO ANTONIO
7001,1971,NA,C. JOSÉ COMAKAY ANTONIO
7001,1974,NA,C. ARMANDO CHOY HILERIO
7001,1977,NA,C. ROBERTO Y MORA T.
7001,1980,NA,C. ALEJANDRO CRUZ CRUZ
7001,1983,NA,C. LAURENCIO NIÑO ANTONIO
7001,1986,NA,C. PORFIRIO YANG CRUZ
7001,1989,NA,C. TOMÁS HERNÁNDEZ HERNÁNDEZ
7001,1992,NA,C. MARIO MATÍAS SALAS
7001,1995,PRI,C. SILVERIO ANTONIO ANTOLIN
7001,1998,PRI,C. ANGEL GALILEO KOMUKAY MATSUI
7001,2001,PRI,C. VALENTIN ANTONIO ORDOÑEZ
7001,2004,COALICIÓN,C. JOSE MARTIN NOMURA HERNANDEZ
7001,2007,PAN,C. ANGEL GALILEO KOMUKAI MATSUI
7001,2012,PRI,MTRO. FELIX GUSTAVO SOSA HERNANDEZ
7001,2015,PMACH,C. PATRICIO ELI MATIAS SALAS
7001,2018,PCHU,C. ELMER CAMPOS GUTIERREZ
7001,2021,PVEM,C. ISMAEL DIAZ BRAVO
7002,1919,NA,C. ARNULFO FLORES
7002,1939,NA,C. PABLO CRUZ LÓPEZ
7002,1941,NA,C. ELIGIO VÁZQUEZ CH.
7002,1943,NA,C. FLAVIO Y. RUIZ
7002,1945,NA,C. CEFERINO INTERIANO
7002,1947,NA,C. PABLO CRUZ LÓPEZ
7002,1951,NA,C. ANSELMO CORZO
7002,1953,NA,C. CATARINO MOLINA R.
7002,1956,NA,C. EUSTAQUIO NANGO
7002,1959,NA,C. LEOPOLDO GRAJALES C.
7002,1962,NA,C. RAÚL AGUILAR RUIZ
7002,1965,NA,C. JOSÉ GUADALUPE ROBLES COELLO
7002,1968,NA,C. INOCENTE NATIVIDAD LARA
7002,1971,NA,C. AURELIANO DÍAZ MOLINA
7002,1974,NA,C. ARMANDO GARCÍA BONIFAZ
7002,1977,NA,C. VICENTE ALBORES CERVANTES
7002,1980,NA,C. JAVIER RUIZ CASTILLEJOS
7002,1983,NA,C. MIGUEL VELASCO YUCA
7002,1986,NA,C. VICENTE TOVILLA MOLINA
7002,1989,NA,C. CEFERINO INTERIANO DOMÍNGUEZ
7002,1992,PRI,C. RIGOBERTO GONZALEZ YUCA
7002,1995,PRI,C. PEDRO MATUSALEN LUNA GONZALEZ
7002,1998,PRD,ING. JESUS ABUNDIO NARCIA COELLO
7002,2001,AXA,C. JUAN CARLOS CAMACHO RUIZ
7002,2004,PAN,C. RODRIGO TRINIDAD ROSALES FRANCO
7002,2007,PRI,C. MARIO ALBERTO COELLO LAVARIEGA
7002,2012,PVEM,ING. JESUS ABUNDIO NARCIA COELLO
7002,2015,PMACH,ING. MARCO ANTONIO RUIZ PASCACIO
7002,2018,PCHU,C. RODRIGO TRINIDAD ROSALES FRANCO
7002,2021,PPCH,C. RODRIGO TRINIDAD ROSALES FRANCO
7003,1919,NA,C. GENARO RINCÓN
7003,1939,NA,C. RAFAEL GUTIÉRREZ CANO
7003,1941,NA,C. GUADALUPE ÁLVAREZ
7003,1943,NA,C. EFRAÍN DAVID
7003,1945,NA,C. ENRIQUE ABARCA
7003,1947,NA,C. RAÚL BECERRA ROJAS
7003,1949,NA,C. SEBASTIÁN SÁNCHEZ FÉLIX
7003,1951,NA,C. ALEJANDRO PÉREZ SAMAYOA
7003,1953,NA,C. HELADIO DE AQUINO
7003,1956,NA,C. ALFREDO VILLAVERDE R.
7003,1959,NA,C. CRISTÓBAL ZAVALA LÓPEZ
7003,1962,NA,C. FRANCISCO GUILLÉN SILVA
7003,1965,NA,C. ARMANDO GEORGE CANCINO
7003,1968,NA,C. LUIS FELIPE ROSALES SISNEROS
7003,1971,NA,C. EFRAÍN DÍAZ BLESHOABERTH
7003,1974,NA,C. ARMANDO CHOY HOLERIO
7003,1977,NA,C. JOSÉ FLORES RIVERA
7003,1980,NA,C. GONZALO VILLAVERDE CANCINO
7003,1983,NA,C. EMIGDIO MONTOYA MARROQUÍN
7003,1986,NA,C. DANIEL PALACIOS VÁZQUEZ
7003,1989,NA,C. ALEXANDER MORALES ARTEAGA
7003,1992,PRI,C. RODOLFO CERDA NORIEGA
7003,1995,PRI,C. JOSE MANUEL CHOY ESPINOSA
7003,1998,PRI,C. EDUARDO HILERIO CHIRINO
7003,2001,PVEM,C. JAIME CHOY ESPINOZA
7003,2004,PVEM,DR. ARIEL ESPINOSA DOMINGUEZ
7003,2007,PVEM,C. ADALBERTO MORENO GALLEGOS
7003,2012,PT,C. ANGEL PEREZ ESPINOZA
7003,2015,PCHU,C. RODOLFO CERDA GUTIERREZ
7003,2018,PVEM,C. JAVIER NIEVES CRUZ
7003,2021,PVEM,ING. GERARDO SANCHEZ ROJAS
7004,1895,NA,C. RUMUALDO SOLÍS
7004,1898,NA,C. JESÚS MARÍA AGUILAR
7004,1901,NA,C. JESÚS MARÍA AGUILAR
7004,1905,NA,C. BENJAMÍN AGUILAR
7004,1916,NA,C. JOSÉ LINO GÓMEZ
7004,1919,NA,C. VIDAL GARCÍA MONARCA
7004,1921,NA,C. JESÚS MARÍA AGUILAR
7004,1926,NA,C. CONRADO SOLÍS CORDERO
7004,1929,NA,C. RUBÉN CASTELLANOS RUIZ
7004,1931,NA,C. BELISARIO CASTELLANOS RUIZ
7004,1933,NA,C. AUGUSTO KANTER CROCKER
7004,1935,NA,C. LÍMBANO CASTELLANOS
7004,1937,NA,C. ADOLFO R. AGUILAR
7004,1943,NA,C. UBILIO GARCÍA CORZO
7004,1945,NA,C. MANUEL CANCINO CULEBRO
7004,1947,NA,C. AMADO GORDILLO GUILLÉN
7004,1949,NA,C. RAFAEL VILLAGRAN GORDILLO
7004,1951,NA,C. DAVID CASTELLANOS MOGUEL
7004,1953,NA,C. RUBÉN CULEBRO RUIZ
7004,1956,NA,C. FRANCISCO BASAUL PANIAGUA
7004,1959,NA,C. AMILCAR PINTO AGUILAR
7004,1962,NA,C. AGUSTÍN CRUZ GONZÁLEZ
7004,1965,NA,C. LEONARDO YAÑEZ VELASCO
7004,1968,NA,C. ENRIQUE SOLÓRZANO BONIFAZ
7004,1971,NA,C. JAVIER ALBORES CASTELLANOS
7004,1974,NA,C. SEBASTIÁN SÁNTIZ LÓPEZ
7004,1977,NA,C. ELMAR PINTO AGUILAR
7004,1981,NA,LIC. ROSA DÍAZ ÁLVAREZ
7004,1983,NA,C. GENARO SOLÍS ARGUELLO
7004,1986,NA,C. MANUEL ALBORES AGUILAR
7004,1989,NA,C. JOSÉ LINO PINTO ALBORES
7004,1992,PRI,C. JOSE ARNULFO CRUZ DESELIS
7004,1995,PRD,C. ROGELIO SANTIZ MENDEZ
7004,1998,PRI,C. ABELINO LOPEZ CRUZ
7004,2001,PRI,PROFR. ARMANDO PINTO KANTER
7004,2004,PVEM,C. PEDRO RODRIGUEZ HERNANDEZ
7004,2007,PRI,C. HEIDI PINO ESCOBAR
7004,2012,PRI,MTRO. JOSE IGNACIO GARCIA PINTO
7004,2015,PVEM,C. GERARDO MORENO AGUILAR
7004,2018,PVEM,C. ROBERTO PINTO KANTER
7004,2021,PVEM,C. GABRIELA ROQUE TIPACAMU
7005,1919,NA,C. TEÓFILO JULIÁN
7005,1943,NA,C. ENCARNACIÓN GONZÁLEZ
7005,1945,NA,C. MARIO PÉREZ
7005,1947,NA,C. JORGE AGUILAR
7005,1949,NA,C. JESÚS M. CARPIO R.
7005,1951,NA,C. MARIO PÉREZ
7005,1953,NA,C. HEBERTO GÓMEZ R.
7005,1956,NA,C. JUAN SÁNCHEZ DÍAZ
7005,1959,NA,C. AUDENTINO ROJAS LÓPEZ
7005,1962,NA,C. DIONICIO J. VÁZQUEZ LÓPEZ
7005,1965,NA,C. ANÍBAL MAYORGA GUERRERO
7005,1968,NA,C. ROSALINO JUÁREZ HERNÁNDEZ
7005,1971,NA,C. FÉLIX CHÁVEZ CRUZ
7005,1974,NA,C. LUCIO CHÁVEZ HERNÁNDEZ
7005,1977,NA,C. BETTY LIEVANO ABARCA DE TORRES
7005,1980,NA,C. ENRIQUE JULIAN AGUILAR
7005,1983,NA,C. CARLOS MAYORGA GUERRERO
7005,1986,NA,C. ERNESTO OCAÑA PÉREZ
7005,1989,NA,C. CARLOS MAYORGA GUERRERO
7005,1992,NA,C. NICOLÁS MUÑOS LÓPEZ
7005,1995,PRI,ING. LUIS ARTURO GOMEZ PEREZ
7005,1998,PRI,C. NATONAEL RAMIREZ LOPEZ
7005,2001,PAN,C. MANUEL DE JESUS CARPIO MAYORGA
7005,2004,PAN,C. ORBELIN AUBANEL GARCIA BONIFAZ
7005,2007,PRD,C. JOSE GUADALUPE LOMASTO TORRES
7005,2012,PRI,DR. APOLINAR ROGER POLA ALEGRIA
7005,2015,COAL.,C. WILBER CARPIO MAYORGA
7005,2018,COAL.,C. MANUEL DE JESUS CARPIO MAYORGA
7005,2021,PVEM,C. JOSE GUADALUPE LOMASTO TORRES
7006,1919,NA,C. ANTOLÍN SAMAYOA
