uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
7001,1991,PRI,MARIO MATIAS SALAS,0,,1
7001,1995,PRI,SILVERIO ANTONIO ANTONIO,PRD,,0.0918998527
7001,1998,PRI,ARGEL GALILEO KOMUKAI MATSUI,PRD,,0.0135701949
7001,2001,PRI,VALENTIN ANTONIO ORDOÑO,PRD,,0.1035201
7001,2004,PRI_PVEM,JOSE MARTIN NOMURA HERNANDEZ,PAN,,0.0417381361
7001,2007,PAN,ANGEL GALILEO KOMUKAIMATSUI,PRI,,0.0649589821
7001,2010,PRI,FELIX GUSTAVO SOSA HERNANDEZ,PAN_PRD_CONVE_PNA,,0.2261597938
7001,2012,PRI,OLEGARIO ORTIZ GARCIA,PVEM,,0.0421721548
7001,2015,PMCH,PATRICIO ELI MATIAS SALAS,PAN,,0.0228791774
7001,2018,PCHU,ELMER CAMPOS GUTIERREZ,PVEM,ISMAEL DIAZ BRAVO,4.058991e-4
7002,1991,PRI,RIGOBERTO GONZALEZ YUCA,0,,1
7002,1995,PRI,PEDRO MATUZALEN LUNA GONZALEZ,PRD,,0.1934226933
7002,1998,PRD,JESUS A NARCIA CUELLO,PRI,,0.0488209503
7002,2001,PRD_PT,JUAN CARLOS CAMACHO RUIZ,PRI,,0.0184005662
7002,2004,PAN,RODRIGO TRINIDAD ROSALES FRANCO,PRI,,0.2213536877
7002,2007,PRI,MAERIO ALBERTO COELLO LAVARIEGA,PAN,,0.0348037936
7002,2010,PVEM,JESUS ABUNDIO NARCIA CIELLO,PAN_PRD_CONVE_PNA,,0.0549607423
7002,2012,PVEM,DAGOBERTO SANTIAGO ROMAN FLORES,PAN,,0.0072644476
7002,2015,PMCH,MARCO ANTONIO RUIZ PASCACIO,PCHU,,0.0542078467
7002,2018,PCHU,RODRIGO TRINIDAD ROSALES FRANCO,PMCH,BLANCA PATRICIA MOLINA ACERO,0.2409367039
7003,1991,PRI,GONZALO ESPINOSA CRUZ,PRD,,0.704443335
7003,1995,PRD,JOSE MANUEL CHOY ESPINOSA,PRI,,0.0396659708
7003,1998,PRI,EDUARDO HILERIO CHIRINO,PRD,,0.1441788743
7003,2001,PVEM,JAIME CHOY ESPINOZA,PRI,,0.1166799257
7003,2004,PVEM,ARIEL ESPINOSA DOMINGUEZ,PRI,,0.0694920536
7003,2007,PVEM,ADALBERTO MORENO GALLEGOS,PRD,,0.0693020986
7003,2010,PT,ANGEL PEREZ ESPINOZA,PVEM,,0.1533191371
7003,2012,PVEM,AURELIO AGUSTIN ORANTES OVALLES,PAN,,0.036002939
7003,2015,PCHU,RODOLFO CERDA GUTIERREZ,PVEM,,0.1124104112
7003,2018,PVEM,JAVIER NIEVES CRUZ,PMCH,ADALBERTO MORENO GALLEGOS,0.2275407292
7004,1991,PRI,AMILKAR PINTO KANTER,0,,1
7004,1995,PRI,ROGELIO SANTIZ MENDEZ,PRD,,0.1124627607
7004,1998,PRI,ABELINO LOPEZ CRUZ,PRD,,0.040714995
7004,2001,PRI,ARMANDO PINTO KANTER,PRD,,0.3101612651
7004,2004,PVEM,PEDRO RODRIGUEZ HERNANDEZ,PRI,,0.0482673267
7004,2007,PRI,HEIDI PINO ESCOBAR,PVEM,,0.0489932886
7004,2010,PRI,JOSE IGNACIO GARCIA PINTO,PAN_PRD_CONVE_PNA,,0.1987272201
7004,2012,PVEM,ROBERTO PINTO KANTER,PAN,,0.0988589989
7004,2015,PVEM_PNA,GERARDO MORENO AGUILAR,PRI,,0.0166345889
7004,2018,PVEM,ROBERTO PINTO KANTER,PRI,HEIDI PINO ESCOBAR,0.0055452865
7005,1991,PRI,NICOLAS MUÑOS LOPEZ,0,,1
7005,1995,PRI,LUIS ARTURO GOMEZ PEREZ,PRD,,0.4464127547
7005,1998,PRI,NATANAEL RAMIREZ LOPEZ,PAN,,0.2450238295
7005,2001,PAN,MANUEL DE JESUS CARPIO MAYORGA,PRI,,0.0478113047
7005,2004,PAN,ORBELIN AUBANEL GARCIA BONIFAZ,PRI,,0.038375878
7005,2007,PRD,JOSE GUADALUPE LOMASTO TORRES,PRI,,0.145045819
