uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
8001,1992,PRI,FIDEL CHAVEZ MOLINA
8001,1993,PRI,FIDEL CHAVEZ MOLINA
8001,1994,PRI,FIDEL CHAVEZ MOLINA
8001,1995,PRI,FIDEL CHAVEZ MOLINA
8001,1996,PAN,MIGUEL GARCIA GARCIA
8001,1997,PAN,MIGUEL GARCIA GARCIA
8001,1998,PAN,MIGUEL GARCIA GARCIA
8001,1999,PRI,JOSE EDGAR BURCIAGA TORRES
8001,2000,PRI,JOSE EDGAR BURCIAGA TORRES
8001,2001,PRI,JOSE EDGAR BURCIAGA TORRES
8001,2002,PRI,ALBERTO ALMEIDA FERNANDEZ
8001,2003,PRI,ALBERTO ALMEIDA FERNANDEZ
8001,2004,PRI,ALBERTO ALMEIDA FERNANDEZ
8001,2005,COALICIoN,NOE CIRINO LADRON DE GUEVARA MARQUEZ
8001,2006,COALICIoN,NOE CIRINO LADRON DE GUEVARA MARQUEZ
8001,2007,COALICIoN,NOE CIRINO LADRON DE GUEVARA MARQUEZ
8001,2008,AXCH,FIDEL CHAVEZ MOLINA
8001,2009,AXCH,FIDEL CHAVEZ MOLINA
8001,2010,AXCH,FIDEL CHAVEZ MOLINA
8001,2011,CCCH,FERNANDO VAZQUEZ RAMIREZ
8001,2012,CCCH,FERNANDO VAZQUEZ RAMIREZ
8001,2013,CCCH,FERNANDO VAZQUEZ RAMIREZ
8001,2014,PRI,ROGELIO ACOSTA MARTINEZ
8001,2015,PRI,ROGELIO ACOSTA MARTINEZ
8001,2016,PRI,ROGELIO ACOSTA MARTINEZ
8001,2017,PMC,LUIS MARCELO LOPEZ RUIZ
8001,2018,PMC,LUIS MARCELO LOPEZ RUIZ
8001,2019,PRD,JUAN DE DIOS VALLE CAMACHO
8001,2020,PRD,JUAN DE DIOS VALLE CAMACHO
8001,2021,PRD,JUAN DE DIOS VALLE CAMACHO
8001,2022,PVEM,FABIAN FOURZAN TRUJILLO
8001,2023,PVEM,FABIAN FOURZAN TRUJILLO
8001,2024,PVEM,FABIAN FOURZAN TRUJILLO
8002,1992,PRI,ROGELIO CARRASCO GONZALEZ
8002,1993,PRI,ROGELIO CARRASCO GONZALEZ
8002,1994,PRI,ROGELIO CARRASCO GONZALEZ
8002,1995,PRI,ROGELIO CARRASCO GONZALEZ
8002,1996,PAN,MAURO GASTON ARMENDARIZ LOPEZ
8002,1997,PAN,MAURO GASTON ARMENDARIZ LOPEZ
8002,1998,PAN,MAURO GASTON ARMENDARIZ LOPEZ
8002,1999,PRI,MIGUEL RUBIO CASTILLO
8002,2000,PRI,MIGUEL RUBIO CASTILLO
8002,2001,PRI,MIGUEL RUBIO CASTILLO
8002,2002,PRI,JOEL ARANDA OLIVAS
8002,2003,PRI,JOEL ARANDA OLIVAS
8002,2004,PRI,JOEL ARANDA OLIVAS
8002,2005,COALICIoN,JESUS JOSE RUIZ FERNANDEZ
8002,2006,COALICIoN,JESUS JOSE RUIZ FERNANDEZ
8002,2007,COALICIoN,JESUS JOSE RUIZ FERNANDEZ
8002,2008,AXCH,MIGUEL RUBIO CASTILLO
8002,2009,AXCH,MIGUEL RUBIO CASTILLO
8002,2010,AXCH,MIGUEL RUBIO CASTILLO
8002,2011,NCCH,OSCAR RENE DAVILA TRUJILLO
8002,2012,NCCH,OSCAR RENE DAVILA TRUJILLO
8002,2013,NCCH,OSCAR RENE DAVILA TRUJILLO
8002,2014,PRI,LEONEL GUILLERMO GUTIERREZ ESTRADA
8002,2015,PRI,LEONEL GUILLERMO GUTIERREZ ESTRADA
8002,2016,PRI,LEONEL GUILLERMO GUTIERREZ ESTRADA
8002,2017,PAN,ALBERTO VAZQUEZ SOLIS
8002,2018,PAN,ALBERTO VAZQUEZ SOLIS
8002,2019,PNA,MIGUEL RUBIO CASTILLO
8002,2020,PNA,MIGUEL RUBIO CASTILLO
8002,2021,COAL,MIGUEL RUBIO CASTILLO
8002,2022,COAL,MIGUEL RUBIO CASTILLO
8002,2023,COAL,MIGUEL RUBIO CASTILLO
8002,2024,COAL,MIGUEL RUBIO CASTILLO
8003,1992,PRI,SILVIA ESTHER VILLANUEVA ROBLES
8003,1993,PRI,SILVIA ESTHER VILLANUEVA ROBLES
8003,1994,PRI,SILVIA ESTHER VILLANUEVA ROBLES
8003,1995,PRI,SILVIA ESTHER VILLANUEVA ROBLES
8003,1996,PRI,GUILLERMO MUÑOZ MENDOZA
8003,1997,PRI,GUILLERMO MUÑOZ MENDOZA
8003,1998,PRI,GUILLERMO MUÑOZ MENDOZA
