uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
8001,1989,PRI,?,PAN,,0.4142561983
8001,1992,PRI,FIDEL CHAVEZ MOLINA,PAN,,0.0371300949
8001,1995,PAN,MIGUEL GARCIA GARCIA,PRI,,0.0951318458
8001,1998,PRI,JOSE EDGAR BURCIAGA,PAN,,0.0739563467
8001,2001,PRI,ALBERTO ALMEIDA FERNANDEZ,PAN,,0.1701597842
8001,2004,PAN_PRD_CONVE,NOE CIRINO LADRON DE GUEVARA MARQUEZ,PRI_PVEM_PT,,0.1348129881
8001,2007,PRI_PNA,FIDEL CHAVEZ MOLINA,PT,,0.2227243383
8001,2010,PRI_PVEM_PNA,FERNANDO VAZQUEZ RAMIEZ,PAN,,0.2487945998
8001,2013,PRI_PVEM_PNA,ROGELIO ACOSTA MARTINEZ,PAN,,0.2554822607
8001,2016,MC,LUIS MARCELO LOPEZ RUIZ,PRI_PVEM_PNA,,0.1174451859
8001,2018,PRD,JUAN DE DIOS VALLE CAMACHO,PVEM,FABIAN FOURZAN TRUJILLO,0.0624367195
8001,2021,PVEM,FABIAN FOURZAN TRUJILLO,PRI,,0.3375022019
8002,1989,PRI,ROBERTO SOSA GALINDO,PAN,,0.6352977476
8002,1992,PRI,ROGELIO CARRASCO GONZALEZ,PAN,,0.1196068632
8002,1995,PAN,GASTON ARMENDARIZ LOPEZ,PRI,,0.0854360336
8002,1998,PRI,MIGUEL RUBIO CASTILLO,PAN,,0.2649854264
8002,2001,PRI,JOEL ARANDAS OLIVAS,PAN,,0.1730227796
8002,2004,PRI_PVEM_PT,JESUS JOSE RUIZ FERNANDEZ,PAN_PRD_CONVE,,0.1078667612
8002,2007,PRI_PNA,MIGUEL RUBIO CASTILLO,PAN,,0.3999474445
8002,2010,PRI_PNA,OSCAR RENE DAVILA TRUJILLO,PRD,,0.0941023417
8002,2013,PRI_PVEM_PNA,LEONEL GUILLERMO GUTIERREZ ESTRADA,PAN,,0.0165781775
8002,2016,PAN,ALBERTO VAZQUEZ SOLIS,PRI_PVEM_PT_PNA,,0.3867413809
8002,2018,PNA,MIGUEL RUBIO CASTILLO,PRD,SANDRA JUDITH GALINDO SINECIO,0.1083697096
8002,2021,PT_MORENA_PNA,MIGUEL RUBIO CASTILLO,PAN_PRD,GILDARDO HUGO BARAJAS MARTINEZ,0.0431788572
8003,1989,PRI,ANTONIO PERALTA SALGADO,PAN,,0.5356355621
8003,1992,PRI,SILVIA E. VILLANUEVA R.,PAN,,0.3036935705
8003,1995,PRI,GUILLERMO MUÑOZ M,PVEM,,0.3030474041
8003,1998,PRI,ROSA PAULA MENDOZA V,PAN,,0.2593936253
8003,2001,PRI,JESUS FRANCISCO LUJAN VAZQUEZ,PAN,,0.2276077098
8003,2004,PAN_PRD_CONVE,JOSE LUIS PRIETO TORRES,PRI_PVEM_PT,,0.0715380685
8003,2007,PRI_PNA,MAURO PAULO VAZQUEZ RAMIREZ,PAN,,0.2765748031
8003,2010,PRI_PVEM_PNA,JESUS HORACIO SOTO ARMENDARIZ,PAN,,0.4257047301
8003,2013,PRI_PVEM_PNA,GILBERTO GARCIA MENDOZA,PRD,,0.0670070198
8003,2016,PRI_PVEM_PNA,RAMON EUSTACIO VILLEGAS CASTRO,PAN,,0.0290414297
8003,2018,PAN_MC,BLANCA JENNYRA FIGUEROA CHAVEZ,PRI,MONICA ELIZABETH BAILON GUTIERREZ,0.0014543943
