uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
5001,1990,PRI,ZEFERINO SANCHEZ VAZQUEZ,PAN,,0.9833333333
5001,1993,PRI,TOMAS LERMA HERNANDEZ,PAN,,0.2972027972
5001,1996,PAN,JOSE FORTUNATO RODRIGUEZ RODRIGUEZ,PRI,,0.0903328051
5001,1999,PRI,JUAN MANUEL LERMA SANDOVAL,PAN,,0.0857988166
5001,2002,PRI,SERGIO ALVARADO DEL TORO,PAN,,0.0606060606
5001,2005,PAN,SERGIO ENRIQUE TREVIÑO IBARRA,PRI,,0.0403530895
5001,2009,PRI_PVEM_PNA,JUAN MANUEL LERMA SANDOVAL,PAN,,0.3361547763
5001,2013,PRI_PVEM_PNA_PSDC_PJ,TOMAS LERMA ORTIZ,PAN_PRD_UDC_PPRO,,0.0656455142
5001,2017,PRI_PVEM_PNA_SI_PJ_PRC_PCP,HERLINDA GARCIA TREVIÑO,PAN_UDC_PPC_PES,,0.1510883483
5001,2018,PAN_UDC_MC,MARISOL TREVIÑO PUENTE,PRI_PVEM_PNA,HERLINDA GARCIA TREVIÑO,0.0553097345
5001,2021,MORENA,RAMIRO REYES RODRIGUEZ,PRI_PRD,,0.1333333333
5002,1990,PFCRN,EVARISTO PEREZ ARREOLA,PRI,,0.0733033814
5002,1993,PAN,EMILIO DE HOYOS SERNA,PRD_PT,,0.0530789307
5002,1996,PRI,FRANCISCO SARACHO NAVARRO,PAN,,0.1894808588
5002,1999,PRI,JOSE EDUARDO RAMON VALDES,PRD,,0.1281259648
5002,2002,PRD_UDC_PCC_PL,ALFREDO GARZA CASTILLO,PRI,,0.0535615447
5002,2005,PAN_UDC,EVARISTO LENIN PEREZ RIVERA,PRI,,0.1559047249
5002,2009,PRI_PNA,ALBERTO AGUIRRE VILLARREAL,PAN_PRD_UDC,,0.271185783
5002,2013,PAN_UDC,EVARISTO LENIN PEREZ RIVERA,PRI_PVEM_PNA_PRC,,0.0251506024
