uniqueid,year,incumbent_party_Horacio
6001,1994,PRI
6001,1997,PRI
6001,2000,PAN_PRD
6001,2003,PRD
6001,2006,PRI_PVEM
6001,2009,PAN_ADC
6001,2012,PRI_PANAL
6001,2015,PVEM
6001,2018,NA
6002,1994,PRI
6002,1997,PRD
6002,2000,PAN
6002,2003,PAN
6002,2006,PRI_PVEM
6002,2009,PRI_PANAL
6002,2012,PRI_PANAL
6002,2015,PAN
6002,2018,NA
6003,1994,PRI
6003,1997,PAN
6003,2000,PRI
6003,2003,PAN
6003,2006,PRI_PVEM
6003,2009,PRI_PANAL
6003,2012,PAN
6003,2015,PRI
6003,2018,NA
6004,1994,PAN
6004,1997,PAN
6004,2000,PAN
6004,2003,PRI
6004,2006,PRI_PVEM
6004,2009,PRI_PANAL
6004,2012,PAN
6004,2015,PAN
6004,2018,NA
6005,1994,PRI
6005,1997,PRI
6005,2000,PRI
6005,2003,PRI
6005,2006,PRI_PVEM
6005,2009,PRI_PANAL
6005,2012,PRD
6005,2015,PAN
6005,2018,NA
6006,1994,PRI
6006,1997,PRI
6006,2000,PRI
6006,2003,PAN
6006,2006,PRI_PVEM
6006,2009,PRI_PANAL
6006,2012,PRI_PANAL
6006,2015,PRI
6006,2018,NA
6007,1994,PRI
6007,1997,PAN
6007,2000,PRI
6007,2003,PAN
6007,2006,PAN
6007,2009,PRI_PANAL
6007,2012,PAN
6007,2015,PAN
6007,2018,NA
6008,1994,PRI
6008,1997,PRI
6008,2000,PRI
6008,2003,PRI
6008,2006,PRI_PVEM
6008,2009,PRI_PANAL
6008,2012,PRI_PANAL
6008,2015,PVEM
6008,2018,NA
6009,1994,PRI
6009,1997,PRI
6009,2000,PRI
6009,2003,PAN
6009,2006,PRI_PVEM
6009,2009,PAN_ADC
6009,2012,PRI_PANAL
6009,2015,PAN
6009,2018,NA
6010,1994,PRI
6010,1997,PAN
6010,2000,PAN
6010,2003,PRI
6010,2006,PAN
6010,2009,PAN_ADC
6010,2012,PRI_PANAL
6010,2015,PAN
6010,2018,NA
