uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
6001,1994,PRI,PROFR. CARLOS CRUZ MENDOZA
6001,1997,PRI,C. RUBEN VELEZ MORELOS
6001,NA,NA,C. ROSALÍO GONZÁLEZ ESPINOSA
6002,1994,PRI,ING. ARTURO VELASCO VILLA
6002,1997,PRD,C. CARLOS VAZQUEZ OLDENBOURG
6002,NA,NA,C. MELESIO ESPINOZA LARIOS
6003,1997,PAN,C. J. JESUS FUENTES MARTINEZ
6003,NA,NA,C. MIGUEL FUENTES SALAZAR PRM
6004,1994,PAN,ING. EDUARDO RIOS BEAS
6004,1997,PAN,C. MANUEL PIZANO RAMOS
6004,NA,NA,C. GREGORIO M. BRIZUELA
6005,1994,PRI,C. SALVADOR SOLIS AGUIRRE
6005,1997,PRI,C. JOSE DE JESUS PLASCENCIA HERRERA
6005,NA,NA,C. LUIS ZAMORA GUIZAR
6006,1994,PRI,ING. JOSE CORTEZ NAVARRO
6006,1997,PRI,C. DANIEL CONTRERAS LARA
6006,2018,PRI,C. BLANCA ESTELA ACEVEDO GOMEZ
6006,NA,NA,C. BARTOLO VEGA
6007,1994,PRI,DR. JOSE LUIS NAVARRETE CAUDILLO
6007,1997,PAN,C. MARTHA LETICIA SOSA GOVEA
6007,NA,NA,C. LEONARDO JARAMILLO
6008,1994,PRI,PROFR. RAUL GAYTAN PEREGRINA
6008,1997,PRI,C. FIDEL FIGUEROA CHAVIRA
6008,NA,NA,PROFR. JUAN MICHEL FIGUEROA
6009,1994,PRI,LIC. MARIA ELENA ESPINOSA RADILLO
6009,1997,PRI,C. GUSTAVO ALBERTO VAZQUEZ MONTES
6009,NA,NA,C. ANTONIO GARCÍA BARRAGÁN
6010,1994,PRI,C. ALFONSO ROLON MICHEL
6010,1997,PAN,C. J. JESUS DUEÑAS LLERENAS
6010,NA,NA,C. LEONARDO YÁÑEZ C.
