mun_code,year,precinct,incumbent_party,mun_incumbent_vote,incumbent_vote,incumbent_party_component,mun_party_component,runnerup_party,mun_runnerup_vote,mun_runnerup_party_component,runnerup_vote
7022,1998,331,PRI,778,93,PRI,PRI,PRI,778,PRI,93
7022,1998,332,PRI,778,114,PRI,PRI,PRI,778,PRI,114
7022,1998,333,PRI,778,246,PRI,PRI,PRI,778,PRI,246
7022,1998,334,PRI,778,140,PRI,PRI,PRI,778,PRI,140
7022,1998,335,PRI,778,185,PRI,PRI,PRI,778,PRI,185
7026,1998,384,PRI,4417,326,PRI,PRI,PRI,4417,PRI,326
7026,1998,385,PRI,4417,1,PRI,PRI,PRI,4417,PRI,1
7026,1998,386,PRI,4417,152,PRI,PRI,PRI,4417,PRI,152
7026,1998,387,PRI,4417,77,PRI,PRI,PRI,4417,PRI,77
7026,1998,388,PRI,4417,204,PRI,PRI,PRI,4417,PRI,204
7026,1998,389,PRI,4417,199,PRI,PRI,PRI,4417,PRI,199
7026,1998,390,PRI,4417,112,PRI,PRI,PRI,4417,PRI,112
7026,1998,391,PRI,4417,114,PRI,PRI,PRI,4417,PRI,114
7026,1998,392,PRI,4417,262,PRI,PRI,PRI,4417,PRI,262
7026,1998,393,PRI,4417,576,PRI,PRI,PRI,4417,PRI,576
7026,1998,394,PRI,4417,299,PRI,PRI,PRI,4417,PRI,299
7026,1998,395,PRI,4417,251,PRI,PRI,PRI,4417,PRI,251
7026,1998,396,PRI,4417,138,PRI,PRI,PRI,4417,PRI,138
7026,1998,397,PRI,4417,384,PRI,PRI,PRI,4417,PRI,384
7026,1998,398,PRI,4417,338,PRI,PRI,PRI,4417,PRI,338
7026,1998,399,PRI,4417,416,PRI,PRI,PRI,4417,PRI,416
7026,1998,400,PRI,4417,284,PRI,PRI,PRI,4417,PRI,284
7026,1998,401,PRI,4417,284,PRI,PRI,PRI,4417,PRI,284
7052,1998,753,PRI,6220,112,PRD,PRD,PRI,6220,PRI,112
