uniqueid,year,incumbent_party_Horacio
10001,1995,PRI
10001,1998,PRI
10001,2001,PRI
10001,2004,PRI
10001,2007,PRI_PANAL
10001,2010,PRI_PVEM_PANAL_PD
10001,2013,PRI_PVEM_PANAL_PD
10001,2016,PAN_PRD
10001,2019,NA
10002,1995,PAN
10002,1998,PT
10002,2001,PT
10002,2004,PAN
10002,2007,PAN
10002,2010,PAN_PRD_MC
10002,2013,PRI_PVEM_PANAL_PD
10002,2016,PRI
10002,2019,NA
10003,1995,PRI
10003,1998,PT
10003,2001,PRI
10003,2004,PRD_PT
10003,2007,PRI_PANAL
10003,2010,PRI_PVEM_PANAL_PD
10003,2013,PRI_PVEM_PANAL_PD
10003,2016,PVEM
10003,2019,NA
10004,1995,PRI
10004,1998,PRI
10004,2001,PRI
10004,2004,PAN
10004,2007,PRI_PANAL
10004,2010,PAN_PRD_MC
10004,2013,PRI_PVEM_PANAL_PD
10004,2016,PRI_PVEM_PD_PANAL
10004,2019,NA
10005,1995,PT
10005,1998,PRI
10005,2001,PRI
10005,2004,PRI
10005,2007,PRI_PANAL_PD
10005,2010,PRI_PVEM_PANAL_PD
10005,2013,PRI_PVEM_PANAL_PD
10005,2016,PAN_PRD
10005,2019,NA
10006,1995,PRI
10006,1998,PRI
10006,2001,PRI
10006,2004,PRI
10006,2007,PRI_PANAL_PD
10006,2010,PRI_PVEM_PANAL_PD
10006,2013,PRI_PVEM_PANAL_PD
10006,2016,PAN_PRD
10006,2019,NA
10007,1995,PRI
10007,1998,PRI
10007,2001,PRI
10007,2004,PRI
10007,2007,PRI_PANAL
10007,2010,PRI_PVEM_PANAL_PD
10007,2013,PRI_PVEM_PANAL_PD
10007,2016,PRI_PVEM_PD_PANAL
10007,2019,NA
10008,1995,PAN
10008,1998,PRD
10008,2001,PAN
10008,2004,PAN
10008,2007,PRI_PANAL_PD
10008,2010,PAN_PRD_MC
10008,2013,PRI_PVEM_PANAL_PD
10008,2016,PAN_PRD
10008,2019,NA
10009,1995,PAN
10009,1998,PRI
10009,2001,PRI
10009,2004,PRI
10009,2007,PRI_PANAL
