uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
11001,1991,PRI,CARLOS EDUARDO ALVAREZ RAMOS,PAN,,0.0275826513
11001,1994,PRI,JUAN JOSE RAYA CHAVEZ,PAN,,0.2637693429
11001,1997,PAN,EDUARDO MARTINEZ PEREZ,PRI,MA. CONCEPCION NAVARRETE VITAL,0.0138655932
11001,2000,PAN,RAMON LANDEROS GONZALEZ,PRI,JUAN JOSE RAYA CHAVEZ,0.0311252993
11001,2003,PAN,RIGOBERTO GALLARDO LEDEZMA,PRI,,0.2124248497
11001,2006,PRI,JUAN ANTONIO NEGRETE MARTINEZ,PAN,,0.0271321798
11001,2009,PRI,JUAN PARAMO AGUILAR,PAN,,0.1800780758
11001,2012,PAN,ABEL GALLARDO MORALES,PRI_PVEM,,0.1830347565
11001,2015,PAN,SAMUEL AMEZOLA CEBALLOS,PRI,,0.1297239591
11001,2018,PRI,SAMUEL CRUZ CHASANI,MORENA_PT_PES,,0.0266159696
11002,1991,PRI,FRANCISCO EDUARDO CHACON SAMANO,PAN,,0.1999188147
11002,1994,PRD,ANTONIO TIRADO PATIÑO,PRI,,0.0322736652
11002,1997,PRD,JOSE IGNACIO NARES LUNA,PRI,J. ELIAS SIERRA RODRIGUEZ,0.2682963258
11002,2000,PRD,ANTONIO TIRADO PATIÑO,PRI,,0.1769496662
11002,2003,PAN,ANTONIO NOVOA ACEVEDO,PRD,,0.020583539
11002,2006,PAN_PNA,CESAR LARRONDO DIAZ,PRD_PT,,0.070431831
11002,2009,PRI_PRD,JESUS GERARDO SILVA CAMPOS,PAN,,0.2066342594
11002,2012,PAN_PNA,RENE MALDUJANO TINAJERO,PRD,,0.187416517
11002,2015,PRD,GERARDO JAVIER ALCANTAR SAUCEDO,PAN,,0.1251435132
11002,2018,MORENA_PT_PES,ALEJANDRO TIRADO ZUÑIGA,PRD,,0.0713237862
11003,1991,PAN,SALVADOR GARCIA GONZALEZ,PRI,,0.1659581047
11003,1994,PRI,JAIME MICHAEL FERNANDEZ MARTINEZ HARRIS,PAN,,0.2964721113
11003,1997,PAN,SALVADOR GARCIA GONZALEZ,PRI,JAIME MARTINEZ TAPIA,0.2324027795
11003,2000,PAN,OSCAR ARROYO DELGADO,PRI,,0.1283797815
11003,2003,PAN,LUIS ALBERTO VILLARREAL GARCIA,PRD,,0.0649740584
11003,2006,PAN_PNA,JOSE JESUS CORREA RAMIREZ,PRD_PT,,0.1632236937
11003,2009,PRI_PRD_PVEM,LUZ MARIA NUÑEZ FLORES,PAN,,0.1989061147
11003,2012,PRI_PVEM,MAURICIO TREJO PURECO,PAN_PNA,,0.087048905
11003,2015,PAN,RICARDO VILLARREAL GARCIA,PRI_PVEM_PNA,,0.1609700069
