uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
13001,1990,PRI,CRUZ ORTIZ TRAPALA,PFCRN,,0.8982300885
13001,1993,PRI,FELIPE GOMEZ OLVERA,PAN,,0.6575342466
13001,1996,PRI,ANGEL AVILES ARANDA,PAN,,0.5985419198
13001,1999,PRI,ANDREA GASCA OLVERA,PAN,,0.2413322945
13001,2002,PAN,LUIS ORTIZ TRAPALA,PRI,,0.1538693165
13001,2005,PAN,FERNANDO MORALES ZEFERINO,PRI,,0.084965351
13001,2008,PAN,ORLANDO RUBEN MUÑOZ MEDINA,PRI_PNA,,0.1198999737
13001,2011,PRI,GENARO ANTONIO GONZALEZ GUARNEOS,PAN,,0.2687974247
13001,2016,PRI_PVEM_PNA,BENITO OLVERA MUÑOZ,PAN,,0.0433074935
13002,1990,PRI,KID LICONA JIMENEZ,PFCRN,,0.9411111111
13002,1993,PRI,PORFIRIO CRUZ RAMIREZ,PAN,,0.2676345505
13002,1996,PRI,DIEGO VICENTE CASTELAN CRUZ,PAN,,0.2150032616
13002,1999,PRI,EDUARDO LICONA SUAREZ,PAN,,0.2361048351
13002,2002,PAN,MARCO ANTONIO ISLAS MANZANO,PRI,,0.04030961
13002,2005,PRI,MIGUEL ANGEL DE LA FUENTE LOPEZ,PAN,,0.0451647661
13002,2008,PRI,JULIAN PEREA CASTELAN,PAN,,0.1997784635
13002,2011,PAN_PRD,ERICK ARNULFO SOSA CAMPOS SOSA,PRI,,0.1582017357
13002,2016,PRI_PVEM_PNA,ROCIO JAQUELINE SOSA JIMENEZ,INDEP,,0.1302149987
13003,1990,PRI,JESUS LUZ MENESES,PRD,,0.7820753355
13003,1993,PRI,REYES VARGAS PAREDES,PRD,,0.7731603719
13003,1996,PRI,DANIEL MORENO QUIJANO,PRD,,0.1612202689
13003,1999,PRI,HEBER SANCHEZ SANTILLAN,PRD,,0.043956044
13003,2002,PRD,TEODULO QUINTIN PEREZ PORTILLO,PRI,,0.0883539279
13003,2005,PRI,LEONARDO RAMIREZ ALVAREZ,PRD,,0.036939314
13003,2008,PRI_PNA,JAIME GALINDO UGALDE,PRD,,0.3246783902
13003,2011,PRI,GREGORIO HERNANDEZ SERRANO,PNA,,0.2445862336
13003,2016,PES,HECTOR CRUZ OLGUIN,PRI_PVEM_PNA,,0.2355685626
13004,1990,PRI,JAVIER GUZMAN G.,PDM,,0.5283116883
13004,1993,PRI,BENITO LICONA GONZALEZ,PAN,,0.9490827405
13004,1996,PRI,ENRIQUETA ORTIZ R.,PAN,,0.1012259194
13004,1999,PRI,IGNACIO TREJO R.,PRD,,0.1315703559
13004,2002,PRI,IGNACIO RAMIREZ JARILLO,PAN,,0.1076704545
13004,2005,PAN,PEDRO CALVA ROJAS,PRI,,0.2175622543
13004,2008,PAN,FRANCISCO MENDEZ GARCIA,PRI_PNA,,0.1234367763
13004,2011,PAN,ADAN SOLIS MORENO,PRI,,0.167223382
13004,2016,PAN,FAUSTINO TREJO GUTIERREZ,PES,,0.1171240819
13005,1990,PRI,PROSPERO MUCIÑO R.,PARM,,0.5985808414
13005,1993,PRI,SALVADOR PEREZ GOMEZ,PARM,,0.2831325301
13005,1996,PRI,JORGE URIBE MORALES,PAN,,0.0858881348
13005,1999,PRD,FAUSTINO CERON Z.,PRI,,0.0162101733
13005,2002,PRI,MARCELA COPCA ROJAS,PRD,,0.0177035076
13005,2005,PRD,ABEL GUERRERO GARCIA,PRI,,0.0569372751
13005,2008,PRI_PNA,DANIEL CERON ROMERO,PRD,,0.0119958015
13005,2011,PT,MARIO PACHECO CERON,PRI,,0.1836038579
13005,2016,PVEM,SALVADOR PEREZ GOMEZ,PRD,,0.0935639029
13006,1990,PRI,FRANCISCO RAMIREZ L.,PRD,,0.1851737927
13006,1993,PRI,DANIEL GUERRERO Z.,PRD,,0.3189530686
13006,1996,PRI,ELOY MACOTELA JIMENEZ,PRD,,0.057781357
13006,1999,PRI,FLORENTINO ESTRELLA B.,PRD,,0.1224835372
13006,2002,PRD,REGULO ROMULO RAMIREZ FUENTES,PRI,,0.1040193203
13006,2005,PRI,CARLOS ALBERTO ANAYA DE LA PEÑA,PVEM,,0.0627982146
13006,2008,PRI,CIRILO CANUTO CHAVEZ,PVEM,,0.042156095
13006,2011,PVEM,OSCAR ANGELES GARCIA,PRI,,0.001346046
13006,2016,PVEM,TORIBIO RAMIREZ MARTINEZ,PRD,,0.207437276
13007,1990,PRI,MISAEL ISLAS ALBA,PFCRN,,0.4420015163
13007,1993,PRI,PEDRO RODRIGUEZ JIMENEZ,PRD,,0.7056778679
13007,1996,PRI,RAFAEL OLVERA QUINTOS,PT,,0.0510835913
13007,1999,PRI,HORACIO RAMIREZ CURIEL,PAN,,0.0163398693
13007,2002,PRI,JESUS FELIPE ALVARADO ALVAREZ,PAN,,0.1637710782
13007,2005,PAN,GABRIEL HERNANDEZ FERNANDEZ,PRI,,0.2239647145
13007,2008,PRI_PNA,ADAN RAMIREZ CURIEL,PAN,,0.2788395119
13007,2011,PRD,GERARDO LOPEZ RAMIREZ,PRI,,0.0795539033
13007,2016,PRI,VICTOR MANUEL HERNANDEZ PAREDES,PT,,0.0878340497
13008,1990,PRI,JOSE MANUEL MAYORGA SANCHEZ,PRD,,0.6971661864
13008,1993,PRI,SAMUEL BERGANZA DE LA TORRE,PAN,,0.7352941176
13008,1996,PT,ALONSO SOTO LLAGUNO,PRI,,0.0788363509
13008,1999,PRI,MARIA GUADALUPE MUÑOZ ROMERO,PT,,0.1197751161
13008,2002,PT,ALFONSO SOTO LLAGUNO,PRI_PVEM,,0.1851421938
13008,2005,PRI,RAFAEL GARNICA ALONZO,PT,,0.165839884
13008,2008,PRI_PNA,JOSE JULIAN MADRID VIVEROS,PT,,0.1028829847
13008,2011,PRI,JOSE FERNANDO HERNANDEZ DURAN,PAN_PRD,,0.076885526
13008,2016,PAN,MARIA ANTONIETA DE LOS ANGELES ANAYA ORTEGA,PRI_PVEM_PNA,,0.1518672679
13009,1990,PRI,RUBEN OROPEZA R.,PRD,,0.7576660988
13009,1993,PRI,SERGIO ESCAMILLA C.,PRD,,0.5765089723
13009,1996,PRI,ANTONIO SERRANO M.,PAN,,0.5822959889
13009,1999,PRI,ADELFA ZUÑIGA FUENTES,PAN,,0.2175582288
13009,2002,PRI,ARTURO HERNANDEZ OROPEZA,PAN,,0.5180043384
13009,2005,PRI,MOISES SERRANO PEREZ,PAN,,0.1474813917
13009,2008,PRI_PNA,ADOLFO ZUÑIGA FUENTES,PAN,,0.174248927
13009,2011,PRI,ADELFA ZUÑIGA FUENTES,PNA,,0.0266323024
13009,2016,PRI,MARIA BEATRIZ PEÑA RESENDIZ,PAN,,0.0376747949
13010,1990,PARM,BENITO ALVAREZ SUAREZ,PRI,,0.0115587847
13010,1993,PRI,ARTURO PEÑA LOPEZ,PARM,,0.1044983769
13010,1996,PRI,TELESFORO OBREGON LUGO,PRD,,0.1036903984
13010,1999,PRI,LORENZO AGUSTIN HERNANDEZ,PAN,,0.1119246862
13010,2002,PAN,JULIAN FERNANDO VIVEROS MEDINA,PRI,,0.0724395265
13010,2005,PRI,SEVERIANO CLAUDIO ESPINOZA CASTAÑEDA,PAN,,0.0075168139
13010,2008,PRI_PNA,LEONARDO OLGUIN PRADO,PAN,,0.0730002056
13010,2011,PRI_PVEM_PNA,PAULINO JAIME REYES GALINDO,PAN_PRD,,0.114607968
13010,2016,PAN,MARIA ANTONIETA HERRERA JIMENEZ,PRI_PVEM_PNA,,0.0817928148
13011,1990,PRI,BONIFACIO NARANJO HERNANDEZ,PFCRN,,0.6817472699
13011,1993,PRI,MARIA DEL CARMEN MONROY RIVERA,PFCRN,,0.0742445467
13011,1996,PRI,OMEGAR SALAZAR TOVAR,PRD,,0.1907502131
13011,1999,PRD,PEDRO NARANJO IBARRA,PRI,,0.0105465005
13011,2002,PRI,ALVARO MEDECIGO SANCHEZ,PRD,,0.0093560815
13011,2005,PRI,JOSE NOCHEBUENA HERNANDEZ,PRD,,0.2276835459
13011,2008,PRI,CLEMENTE SALAZAR OLIVARES,PRD,,0.0864674093
13011,2011,PRI_PVEM_PNA,ANTERO NOCHEBUENA HERNANDEZ,PAN_PRD,,0.0754050074
13011,2016,PRI,MARIA TERESA FLORES NOCHEBUENA,PRD,,0.168440582
13012,1990,PRI,JOSE ANTONIO BALLESTEROS C.,PFCRN,,0.9083041418
13012,1993,PRI,ANTONIO SILVA OTAMENDI,PARM,,0.9051216389
13012,1996,PRI,ENRIQUE TELLEZ ROMERO,PAN,,0.4245958124
13012,1999,PAN,EDMUNDO G VALENCIA MONTERRUBIO,PRI,,0.0250179555
13012,2002,PAN,JOSE ANTONIO MONTERRUBIO CASTILLO,PRI_PVEM,,0.1779652082
13012,2005,PAN,FRANCISCO JAVIER TELLEZ SANCHEZ,PRI,,0.1535026791
13012,2008,PRI,RAUL TELLEZ ROMERO,CONVE,,0.2236407851
13012,2011,PNA,FRANCISCO JAVIER TELLEZ SANCHEZ,PRI,,0.06510323
13012,2016,PES,JOSE LUIS BAÑOS CRUZ,PRD,,0.0736470151
13013,1990,PRI,VICENTE MOCTEZUMA F.,PRD,,0.4516982797
13013,1993,PRI,JESUS RAMOS JUAREZ,PRD,,0.1721192587
13013,1996,PRD,EPIGMENIO GONZALEZ B.,PRI,,0.0272274064
13013,1999,PRI,ENRIQUE RODRIGUEZ T.,PRD,,0.0626557494
13013,2002,PAN,FRANCISCO H LEON TOVAR,PRI,,0.0318799299
13013,2005,PRI,MOISES RENE ALVAREZ CHAVEZ,PAN,,0.1950219073
13013,2008,PVEM,JULIO CESAR ANGELES MENDOZA,PRD,,0.0344417042
13013,2011,PAN_PRD,EDGAR REYES MARTINEZ,PRI,,0.0922000999
13013,2016,PRI_PVEM_PNA,JULIO CESAR ANGELES MENDOZA,PAN,,0.0509524902
13014,1991,PRI,JAIME MAUSSAN GOMEZ,PFCRN,,0.1825396825
13014,1993,PRI,JOSE NOEMI RAMIREZ CORTES,PFCRN,,0.2991507431
13014,1996,PRI,SAUL GRANADOS HERNANDEZ,PAN,,0.0256549232
13014,1999,PRI,BRIGIDO ESCUDERO ROJAS,PAN,,0.0520066136
13014,2002,PAN,HERON ACOSTA MONTAÑO,PRI,,0.0173110214
13014,2005,PAN,ALFONSO GRANADOS HERNANDEZ,PRI,,0.0633064516
13014,2008,CONVE,WENCESLAO REVILLA HERNANDEZ,PRI_PNA,,0.0168477597
13014,2011,PRI_PVEM_PNA,RODRIGO RODRIGUEZ CISNEROS,PAN_PRD,,0.0337671079
13014,2016,PES,MIGUEL JIMENEZ ESPINOZA,PRI,,0.0670153645
13015,1990,PRI,SABINO J. ROQUE C.,PFCRN,,0.7422586521
13015,1993,PRI,FELIPE E. AMBROSIO N.,PRD,,0.7741699219
13015,1996,PRI,PAULINO C. MAYORGA M.,PRD,,0.619047619
13015,1999,PRI,LUIS VEGA CARDON,PRD,,0.6426960661
13015,2002,PRI,FRANCISCO CRUZ CHAVEZ,PRD,,0.2193488372
13015,2005,PRD,ISIDRO RAMIREZ REBOLLEDO,PRI,,0.0292159763
13015,2008,PRI_PNA,INDALECIO TRINIDAD SALAS CRISOSTOMOS,PRD,,0.12018886820000001
13015,2011,PRI_PVEM_PNA,JAVIER PEREZ CRUZ,PAN_PRD,,0.0504332083
13015,2016,PRI_PVEM_PNA,JORGE PENCA ZONGUA,PRD,,0.0872731614
13016,1990,PRI,MANUEL F. RIVERA PERALTA,PFCRN,,0.6240352811
13016,1993,PRI,JORGE CAZARES DURAN,PAN,,0.8155511022
13016,1996,PRI,MARTIN G. HERNANDEZ CASTELAN,PAN,,0.0832877711
13016,1999,PRI,MANUEL F. RIVERA PERALTA,PAN,,0.5126327051
13016,2002,PRI,AGUSTIN CENOBIO CASTELAN,PAN,,0.086526413
13016,2005,PAN,JUAN CARLOS SANCHEZ RIVERA,PRI,,0.1811431006
13016,2008,PRI,RICARDO EDUARDO CASTELAN TELLEZ,PAN,,0.1071467186
13016,2011,PNA,JOSE GERARDO OLMEDO ARISTA,PRI,,0.0238685394
13016,2016,PRI,HAYDEE GARCIA ACOSTA,PNA,,0.0876157618
13017,1990,PRI,NOE RIVERA PIÑA,PRD,,0.2816659511
13017,1993,PRI,PEDRO SANTIAGO HERNANDEZ,PRD,,0.1478672986
13017,1996,PRI,REYES MARTINEZ MAYO,PRD,,0.0926460786
13017,1999,PRI,NORMA ISIS SANTIAGO D.,PRD,,0.5206149546
13017,2002,PRI,ABEL URIBE ROMERO,PRD,,0.1730850614
13017,2005,PRI,ARTURO SANTIAGO SANTIAGO,PVEM,,0.0169776119
13017,2008,PVEM,RICARDO JUAN BENITEZ MARTINEZ,PRI_PNA,,0.1132013741
13017,2011,PRI,EUSTORGIO SERAFIN BENITEZ GUERRERO,PVEM,,0.0522663517
13017,2016,PVEM,SOTERO SANTIAGO SANTIAGO,PRI,,0.0287183883
13018,1990,PRI,ALFONSO COBARRUVIAS R.,PRD,,0.8061026352
13018,1993,PRI,FELIPE ZAPATA RUBIO,PRD,,0.6794004752
13018,1996,PRI,JOSE VIGIL ANGELES,PRD,,0.8168190128
13018,1999,PRI,ENRIQUE HERNANDEZ H.,PRD,,0.0599547511
13018,2002,PRI,FLORINO TREJO BARRERA,PRD,,0.0514102564
13018,2005,PRI,FERMIN CASTILLO GONZALEZ,PRD,,0.0484218077
13018,2008,PRD,HERIBERTO LOPEZ MARTINEZ,PRI_PNA,,0.0661708411
13018,2011,PRI_PVEM_PNA,J CARMELO LOPEZ MATA,PRD,,0.0055898794
13018,2016,PRD,NARCISO VILLANUEVA FALCON,PRI_PVEM_PNA,,0.2820750347
13019,1990,PRI,CANDIDO MARTINEZ GARCIA,PRD,,0.4000732064
13019,1993,PRI,GILDARDO LOPEZ B.,PRD,,0.5281965382
13019,1996,PRI,CRISPIN MARTIN MARTIN,PRD,,0.1546174142
13019,2000,PRI,AURELIO LOPEZ MARTINEZ,PRD,,0.157362307980517
13019,2002,PRD,JOSE GARCIA ESCAMILLA,PRI,,0.0702787593
13019,2005,PRI,CRISTINO URIBE CANO,PRD,,0.0116834838
13019,2008,PRD,FRANCISCO LORENZO ALVAREZ,PRI_PNA,,0.0981612857
13019,2011,PRI,SILVANO RAMOS LOPEZ,PAN_PRD,,0.0103502227
13019,2016,MORENA,GENARO TREJO MARTINEZ,PRI,,0.0409233998
13020,1990,PRI,SAUL HERNANDEZ R.,0,,1
13020,1993,PRI,SINECIO BADILLO ZENIL,PRD,,0.992
13020,1996,PRI,GILBERTO HERNANDEZ P.,PRD,,0.7249766137
13020,1999,PRD,ALEJANDRO RAMIREZ P.,PRI,,0.2807881773
13020,2002,PRD,AARON SANTAMARINA DURAN,PRI_PVEM,,0.0650570087
13020,2005,PRD,AURELIO PERAZA MONTIEL,PRI,,0.0065963061
