uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
14001,1992,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,1993,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,1994,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,1995,NA,MIGUEL VAZQUEZ MARTINEZ
14001,1996,NA,MIGUEL VAZQUEZ MARTINEZ
14001,1997,NA,MIGUEL VAZQUEZ MARTINEZ
14001,1998,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,1999,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,2000,PAN,JOSE GUADALUPE RAMIREZ CAMARENA
14001,2001,PRI,EZEQUIEL GONZALEZ JIMENEZ
14001,2002,PRI,EZEQUIEL GONZALEZ JIMENEZ
14001,2003,PRI,EZEQUIEL GONZALEZ JIMENEZ
14001,2004,PRI,RIGOBERTO DE LA TORRE ANAYA
14001,2005,PRI,RIGOBERTO DE LA TORRE ANAYA
14001,2006,PRI,RIGOBERTO DE LA TORRE ANAYA
14001,2007,PAN,MARTIN HERNANDEZ GUERRERO
14001,2008,PAN,MARTIN HERNANDEZ GUERRERO
14001,2009,PAN,MARTIN HERNANDEZ GUERRERO
14001,2010,PAN,HECTOR MANUEL CAMACHO HERALDEZ
14001,2011,PAN,HECTOR MANUEL CAMACHO HERALDEZ
14001,2012,PAN,HECTOR MANUEL CAMACHO HERALDEZ
14001,2013,CPJ,ARTURO HERNANDEZ CARBAJAL
14001,2014,CPJ,ARTURO HERNANDEZ CARBAJAL
14001,2015,CPJ,ARTURO HERNANDEZ CARBAJAL
14001,2016,PAN,ANTONIO CRUZ DE LA TORRE RUVALCABA
14001,2017,PAN,ANTONIO CRUZ DE LA TORRE RUVALCABA
14001,2018,PAN,ANTONIO CRUZ DE LA TORRE RUVALCABA
14001,2019,COAL,MARCO TULIO MOYA DIAZ
14001,2020,COAL,MARCO TULIO MOYA DIAZ
14001,2021,PAN,MARCO TULIO MOYA DIAZ
14001,2022,PAN,MARCO TULIO MOYA DIAZ
14001,2023,PAN,MARCO TULIO MOYA DIAZ
14001,2024,PAN,MARCO TULIO MOYA DIAZ
14002,1992,PRI,JOSE ORTIZ BORRAYO
14002,1993,PRI,JOSE ORTIZ BORRAYO
14002,1994,PRI,JOSE ORTIZ BORRAYO
14002,1995,PRI,JOSE ORTIZ BORRAYO
14002,1996,PRI,FELIPE DE JESUS LOPEZ GARCIA
14002,1997,PRI,FELIPE DE JESUS LOPEZ GARCIA
14002,1998,PRI,FELIPE DE JESUS LOPEZ GARCIA
14002,1999,PVEM,MIGUEL ANGEL CARRASCO
14002,2000,PVEM,MIGUEL ANGEL CARRASCO
14002,2001,PRI,MARTIN DAVALOS GOMEZ
14002,2002,PRI,MARTIN DAVALOS GOMEZ
14002,2003,PRI,MARTIN DAVALOS GOMEZ
14002,2004,PRI,REMIGIO GARCIA VILLEGAS
14002,2005,PRI,REMIGIO GARCIA VILLEGAS
14002,2006,PRI,REMIGIO GARCIA VILLEGAS
14002,2007,COALICIoN,LUIS CARRILLO BUENO
14002,2008,COALICIoN,LUIS CARRILLO BUENO
14002,2009,COALICIoN,LUIS CARRILLO BUENO
14002,2010,PAN,EDGAR SANTIAGO AVIÑA MEJIA
14002,2011,PAN,EDGAR SANTIAGO AVIÑA MEJIA
14002,2012,PAN,EDGAR SANTIAGO AVIÑA MEJIA
