uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
16001,1989,PRI,SACRAMENTO VILLA BARAJAS,PRD,,0.023853211
16001,1992,PRI,JOSE GUADALUPE VILLASEÑOR,PFCRN,,0.1787691306
16001,1995,PRI,LUIS ARREOLA MAULEON,PRD,,0.0849582173
16001,1998,PRD,GUILLERMO GUILLEN VILLASEÑOR,PRI,,0.1080295827
16001,2001,PRD_PT_PVEM_CONVE_PAS_PSN,MIGUEL VILLASEÑOR GOMEZ,PRI,,0.1456597689
16001,2004,PRI_PVEM,ISIDRO CORTES ESQUIVEL,PRD,,0.1332996718
16001,2007,PRI,FRANCISCO GOMEZ OLIVOS,PAN,,0.021166404
16001,2011,PAN_PNA,ROGELIO AYALA CORTES,PRI_PVEM,,0.2372505543
16001,2015,PRD_PT,JESUS HERNANDEZ EGUIZA,INDEP,,0.0427249459
16001,2018,PT_MORENA,MARIA MISAEL HERNANDEZ FONSECA,INDEP,,0.1108485922
16002,1989,PRD,SALOMON BARAJAS MENDOZA,PRI,,0.5464003329
16002,1992,PRD,MOISES CEBALLOS CEJA,PRI,,0.0814834867
16002,1995,PRD,JOSE MARIA AGUIRRE MEDINA,PRI,,0.1483547128
16002,1998,PRD,RAUL PEÑA PIMIENTEL,PRI,,0.0599498926
16002,2001,PRD_PT_PVEM_CONVE_PAS_PSN,IRINEO MENDOZA MENDOZA,PRI,,0.1882550336
16002,2004,PRD,MIGUEL AVILA SANCHEZ,PRI_PVEM,,0.0907196666
16002,2007,PRD_PT_CONVE,ADALBERTO FRUCTUOSO COMPARAN RODRIGUEZ,PNA,,0.113047893
16002,2011,PAN_PRI_PVEM_PNA,JESUS CRUZ VALENCIA,PRD,,0.1508229285
16002,2015,PRD_PT_PNA,ISRAEL MENDOZA MENDOZA,PRI_PVEM,,0.20393833
16002,2018,PRI,OSVALDO MALDONADO ZEPEDA,PAN_PRD_MC,,0.0261963696
16003,1989,PRI,DARIO ALFONSO LEMUS VALENZUELA,PRD,,0.072069378
16003,1992,PRD,JOSE ANTONIO MORENO DIAZ,PRI,,0.0620365793
16003,1995,PRI,FELIPE VIVANCO ROJAS,PRD,,0.0386668824
16003,1998,PRI,MIGUEL LOPEZ TAPIA,PRD,,0.0941783583
16003,2001,PRD_PT_PVEM_CONVE_PAS_PSN,JOSE ANTONIO MORENO DIAZ,PRI,,0.0633314054
16003,2004,PRD,ISMAEL LEMUS LOE,PRI_PVEM,,0.069645006
16003,2007,PRI,RAYMUNDO ALCARAZ ANDRADE,PAN,,0.077045177
16003,2011,PRI_PVEM,JOSE DE JESUS RUBEN SANCHEZ JUAREZ,PRD_CONVE,,0.1547557841
16003,2015,PT_PES,JUAN CARLOS ARREYGUE NUÑEZ,PRI_PVEM,,0.1005275498
16003,2018,PRI,ADAN SANCHEZ LOPEZ,PES,,0.0061994326
16004,1989,PRI,ABELINO CHAVEZ GRANADOS,PRD,,0.0901960784
16004,1992,PRI,VICTORINO CERVANTES MENDEZ,PRD,,0.0828077314
16004,1995,PRI,HERMINIO GRANADOS SERVIN,PRD,,0.0554056485
16004,1998,PRI,JOSE ALFREDO GUTIERREZ VALENCIA,PRD,,0.0561158995
16004,2001,PRI,NOEL GONZALEZ GOMEZ,PRD_PT_PVEM_CONVE_PAS_PSN,,3.551767e-4
16004,2004,PRI_PVEM,GUILLERMO HERNANDEZ GARCIA,PRD,,0.1017154739
16004,2007,PRD_PT_CONVE,ERIK JUAREZ BLANQUET,PRI,,0.1332811276
16004,2011,PRI_PVEM,CESAR OJEDA PEREZ,PRD_PT,,0.0539171106
16004,2015,PRD_PNA,XAVIER GARCIA GRANADOS,PRI_PVEM,,0.2966566866
16004,2018,PAN_PRD_MC,MARIBEL JUAREZ BLANQUET,PRI,,0.2892774492
16005,1989,PRI,JOSE ARISMENDI GARCIA,PRD,,0.3397341211
16005,1992,PRI,LEONEL MARTINEZ MAYA,PRD,,0.3694083694
16005,1995,PRI,SERAFIN TORRES GONZALEZ,PAN,,0.1899651972
16005,1998,PRD,ALFREDO OLMOS MORENO,PRI,,0.0873328088
16005,2001,PRI,JORGE MARTIN ARIZMENDI GONZALEZ,PRD_PT_PVEM_CONVE_PAS_PSN,,0.0855412566
16005,2004,PRD,TOMAS MARTINEZ RAMIREZ,PT,,0.0052415679
16005,2007,PT,ALFREDO OLMOS MORENO,PAN_PNA,,0.0350364964
16005,2011,PAN_PNA,JUAN PEREZ ANAYA,PRI_PVEM,,0.0539529915
16005,2015,PRI,LEONEL MARTINEZ MAYA,PT,,0.0952643172
16005,2018,PT_MORENA,MARIA HILDA DOMINGUEZ GARCIA,PVEM,,0.1323388793
