uniqueid,year,incumbent_party_Horacio
17001,1997,PRI
17001,2000,PRD_MC_PCD_PSN
17001,2003,PRI
17001,2006,PRD_PT_MC
17001,2009,PT
17001,2012,PVEM
17001,2015,PRI_PVEM_PANAL
17001,2018,NA
17002,1997,PRI
17002,2000,PVEM
17002,2003,PRI
17002,2006,PAN
17002,2009,PVEM
17002,2012,PRD_PT_MC
17002,2015,PAN
17002,2018,NA
17003,1997,PRI
17003,2000,PRI
17003,2003,PAN
17003,2006,PVEM
17003,2009,PRI
17003,2012,PSD
17003,2015,PVEM
17003,2018,NA
17004,1997,PRI
17004,2000,PRI
17004,2003,PRD
17004,2006,PAN
17004,2009,PRI
17004,2012,PAN
17004,2015,PRI
17004,2018,NA
17005,1997,PRI
17005,2000,PRI
17005,2003,PVEM
17005,2006,PANAL
17005,2009,MC
17005,2012,PRI
17005,2015,PAN
17005,2018,NA
17006,1997,PRD
17006,2000,PRI
17006,2003,PRI
17006,2006,PAN
17006,2009,PRI
17006,2012,PRD_PT_MC
17006,2015,PRD
17006,2018,NA
17007,1997,PAN
17007,2000,PAN
17007,2003,PAN
17007,2006,PAN
17007,2009,PRI
17007,2012,PRI_PVEM
17007,2015,PSD
17007,2018,NA
17008,1997,PAN
17008,2000,PAN
17008,2003,PAN
17008,2006,PRI
17008,2009,PRD
17008,2012,PRD_PT_MC
17008,2015,PVEM
17008,2018,NA
17009,1997,PRI
17009,2000,PAN
17009,2003,PRI
17009,2006,PRD_PT_MC
17009,2009,PAN
17009,2012,PRD_PT_MC
17009,2015,PANAL
17009,2018,NA
17010,1997,PRI
17010,2000,PRI
17010,2003,PMP
17010,2006,PRD_PT_MC
17010,2009,PT
17010,2012,PVEM
17010,2015,PH
17010,2018,NA
17011,1997,PRD
17011,2000,PAN
17011,2003,PAN
17011,2006,PRD_PT_MC
17011,2009,PRD_PT_MC
17011,2012,PRD_PT_MC
17011,2015,PRD
17011,2018,NA
17012,1997,PRD
17012,2000,PAN
17012,2003,PRI
17012,2006,PRD_PT_MC
17012,2009,PRI
17012,2012,PRD_PT_MC
17012,2015,PSD
17012,2018,NA
17013,1997,PRD
17013,2000,PRI
17013,2003,PRI
17013,2006,PRI
17013,2009,PSD
17013,2012,PT
17013,2015,MC
17013,2018,NA
17014,1997,PRD
17014,2000,PRD_MC_PCD_PSN
17014,2003,PAN
17014,2006,PANAL
17014,2009,PAN
17014,2012,PRI
17014,2015,PH
17014,2018,NA
17015,1997,PRI
17015,2000,PRI
17015,2003,PRI
17015,2006,PRD_PT_MC
17015,2009,PRI
17015,2012,PRD_PT_MC
17015,2015,PRI_PVEM_PANAL
17015,2018,NA
17016,1997,PRI
17016,2001,UDO
17016,2003,PRD
17016,2006,PAN
17016,2009,PAN
17016,2012,PVEM
17016,2015,PRI
17016,2018,NA
17017,1997,PRI
17017,2000,PRI
17017,2003,PAN
17017,2006,PRD_PT_MC
17017,2009,PRI
17017,2012,PRI_PANAL
17017,2015,PRI_PVEM_PANAL
17017,2018,NA
17018,1997,PRI
17018,2000,PAN
17018,2003,PAN
17018,2006,PRD_PT_MC
17018,2009,PRI
17018,2012,PRD_PT_MC
17018,2015,PRD
17018,2018,NA
17019,1997,PRD
17019,2000,PRD_MC_PCD_PSN
17019,2003,PRI
17019,2006,PAN
17019,2009,PRI
17019,2012,PSD
17019,2015,PVEM
17019,2018,NA
17020,1997,PRD
17020,2000,PRD_MC_PCD_PSN
17020,2003,PRI
17020,2006,PRD_PT_MC
17020,2009,PRI
17020,2012,PRD_PT_MC
17020,2015,MC
17020,2018,NA
17021,1997,PRD
17021,2000,PRI
17021,2003,PRI
17021,2006,PANAL
17021,2009,PRI
17021,2012,PRI_PANAL
17021,2015,MC
17021,2018,NA
17022,1997,PRI
17022,2000,PRI
17022,2003,PRI
17022,2006,PANAL
17022,2009,PAN_PSD
17022,2012,PVEM
17022,2015,PANAL
17022,2018,NA
17023,1997,PRI
17023,2000,PRI
17023,2003,PRI
17023,2006,PRD_PT_MC
17023,2009,PAN
17023,2012,PRD_PT_MC
17023,2015,PT
17023,2018,NA
17024,1997,PRD
17024,2000,PRD_MC_PCD_PSN
17024,2003,PAN
17024,2006,PRD_PT_MC
17024,2009,PRI
17024,2012,PRD_PT_MC
17024,2015,PRI_PVEM_PANAL
17024,2018,NA
17025,1997,PRI
17025,2000,PRI
17025,2003,PVEM
17025,2006,PVEM
17025,2009,PRD
17025,2012,PT
17025,2015,PRD
17025,2018,NA
17026,1997,PRI
17026,2000,PRD_MC_PCD_PSN
17026,2003,PRI
17026,2006,PRD_PT_MC
17026,2009,PAN
17026,2012,PRI
17026,2015,PANAL
17026,2018,NA
17027,1997,PRI
17027,2000,PRI
17027,2003,PRD
17027,2006,PAN
17027,2009,PRI
17027,2012,PANAL
17027,2015,PRD
17027,2018,NA
17028,1997,PRI
17028,2000,PAN
17028,2003,PAN
17028,2006,PRD_PT_MC
17028,2009,PRI
17028,2012,PRD_PT_MC
17028,2015,PRI
17028,2018,NA
17029,1997,PRD
17029,2000,PRI
17029,2003,PRD
17029,2006,PRD_PT_MC
17029,2009,PRI
17029,2012,PRD_PT_MC
17029,2015,PRD
17029,2018,NA
17030,1997,PRD
17030,2000,PRD_MC_PCD_PSN
17030,2003,PRD
17030,2006,PRI
17030,2009,PAN
17030,2012,PVEM
17030,2015,PAN
17030,2018,NA
17031,1997,PRD
17031,2000,PAN
17031,2003,PRD
17031,2006,PRI
17031,2009,PRI
17031,2012,PRD_PT_MC
17031,2015,PSD
17031,2018,NA
17032,1997,PCM
17032,2000,PCM
17032,2003,PRD
17032,2006,PRI_PVEM
17032,2009,PVEM
17032,2012,PRI
17032,2015,PRI
17032,2018,NA
17033,1997,PRD
17033,2000,PRI
17033,2003,PRD
17033,2006,PRD_PT_MC
17033,2009,PVEM
17033,2012,PRI
17033,2015,PRI
17033,2018,NA
