uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
17001,1919,NA,C. MANUEL ARANDA MELGAR
17001,1922,NA,C. ALBERTO ITURBE VALDOS
17001,1927,NA,C. JULIO ITURBE OCAMPO
17001,1931,NA,C. AURELIO OCAMPO ORTÍZ
17001,1937,NA,C. AGUSTÍN ARANDA MELGAR
17001,1939,NA,C. ALBERTO ITURBE VALDOS
17001,1941,NA,C. RAFAEL OCAMPO ORTÍZ
17001,1943,NA,C. BALDOMERO SUÁREZ SOTELO
17001,1945,NA,C. MANUEL J. BARÓN
17001,1947,NA,C. ISAAC ITURBE PASTRANA
17001,1953,NA,C. RUBÉN URIBE AJÁ
17001,1956,NA,C. JUAN RODRÍGUEZ MIRANDA
17001,1958,NA,C. AURELIO OCAMPO ORTÍZ
17001,1961,NA,C. AGUSTÍN BRITO ARANDA
17001,1964,NA,C. ÁNGEL ORTÍZ TORRALBA
17001,1967,NA,C. ROBERTO BRITO ARANDA
17001,1970,NA,C. RUBÉN URIBE AJÁ
17001,1973,NA,C. FRANCISCO TRUJILLO GUADARRAMA
17001,1977,NA,C. CARLOS DOMÍNGUEZ ZAVALA
17001,1979,NA,C. EULALIO ESPÍNDOLA ARANDA
17001,1982,NA,C. ANTONIO SALAZAR JAIME
17001,1985,NA,C. ANTONIO ESPÍNDOLA ARANDA
17001,1988,NA,C. ROBERTO BRITO ARANDA
17001,1991,NA,C. AGUSTÍN ARANDA FERNÁNDEZ
17001,1994,PRI,C. EULALIO ESPINDOLA ARANDA
17001,1997,PRI,ING. ONESIMO ACOSTA SALGADO
17001,2000,APM,M.V.Z. ANDRES GARCIA JAIME
17001,2003,PRI,C. ALBERTO LUNA VILLEGAS
17001,2006,CXBT,C. PABLO FERNANDEZ NAVA
17001,2009,PT,C. ALFONSO MIRANDA GALLEGOS
17001,2013,PVEM,C. NOE REYNOSO NAVA
17001,2016,COAL.,C. JORGE MIRANDA ABARCA
17001,2019,COAL.,C. ALFONSO MIRANDA GALLEGOS
17001,2022,PMP,C. JESUS ITURBE ARANDA
17002,1919,NA,C. IGNACIO BELLO. PRIMER
17002,1933,NA,C. SANTOS ALVAREZ
17002,1937,NA,C. DIONISIO PORFIRIÓ
17002,1939,NA,C. JOSÉ RENDON
17002,1941,NA,C. ALBERTO MENDOZA
17002,1943,NA,C. EFREN BELLO
17002,1945,NA,C. MARCELO SANDOVAL
17002,1947,NA,C. PRAGEDIS LINARES
17002,1949,NA,C. MIGUEL FLORES
17002,1951,NA,C. CLISERIO RAMÍREZ
17002,1953,NA,C. ANDRES PORFIRIÓ
17002,1955,NA,PROFRA. GLORIA PEÑA BENITEZ
17002,1958,NA,C. MAURO RAMÍREZ
17002,1961,NA,C. PORFIRIO VILLALVA
17002,1964,NA,C. FAUSTINO BARRIOS
17002,1967,NA,C. MACARIO ARENALES TOLEDANO
17002,1971,NA,C. SALVADOR LINARES
17002,1974,NA,C. ANTONIO GONZÁLEZ DÍAZ
17002,1976,NA,C. SEVERINO PRADO MEDOZA
17002,1979,NA,C. ANGEL AMARO BENÍTEZ
17002,1982,NA,C. SIMON VILLANUEVA
17002,1985,NA,C. MARCELO RENDON FLORES
17002,1988,NA,C. AJILIO GONZÁLEZ PRADO
17002,1991,NA,C. JUAN TOLEDANO AMARO
17002,1994,PRI,C. CRESCENCIANO PONCE GARCIA
17002,1997,PRI,C. ESTEBAN HERNANDEZ FRANCO
17002,2000,PVEM,PROFR. CALIXTO URBANO LAGUNAS
17002,2003,PRI,C. GALO GERARDO HERNANDEZ ARENALES
17002,2006,PAN,C. ARTURO NERI MARTELL
17002,2009,PVEM,C. ALFREDO REYES BENITEZ
17002,2013,C.C.,C. BENIGNO ARENALES JAHEN
17002,2016,PAN,C. ESTEBAN HERNANDEZ FRANCO
17002,2019,COAL.,C. CALIXTO URBANO LAGUNAS
17002,2022,PAN,C. ALMA DELIA REYES LINARES
17003,1919,NA,C. JOSÉ B. ORTIZ
17003,1939,NA,C. PANFILO SANDOVAL
17003,1941,NA,C. ISAURO AGUILAR
17003,1943,NA,C. ZOZINO ARAGÓN
17003,1944,NA,C. J. FELIX ESPINOZA C.
17003,1947,NA,C. JOSÉ E. SEDEÑO E.
17003,1949,NA,C. VICENTE ENRIQUE SEGURA
17003,1951,NA,C. JOSÉ VAQUERO CHINO
17003,1953,NA,C. ALBERTO VERGARA SÁNCHEZ
17003,1955,NA,C. JUAN DARIO ROSENDO
17003,1956,NA,C. DOROTEO QUINTERO PLIEGO
17003,1958,NA,C. EDUARDO ENRÍQUEZ ARAGÓN
17003,1961,NA,C. LORENZO RUBIO SÁNCHEZ
17003,1964,NA,C. IGNACIO PACHECO ORTIZ
17003,1967,NA,C. ADOLFO AURELIO CORRALES
17003,1970,NA,C. JUVENTINO CUATE GUTIÉRREZ
17003,1973,NA,C. RAMÓN A. PLIEGO CEDILLO
17003,1977,NA,C. JUAN EVODIO CEDILLO
17003,1982,NA,C. RAFAEL VERGARA ROMERO
17003,1985,NA,C. JORGE CASIQUE VALERDI
17003,1988,NA,C. ANTONIO NAVARRO SANTANERO
17003,1991,NA,C. UBALDO PACHECO ZAMORA
17003,1994,PRI,DR. LIDIO REYES OLIVAR PEAÑA
17003,1997,PRI,C. ISAIAS CORTEZ VAZQUEZ
17003,2000,PRI,PROFR. CECILIO XOXOCOTLA CORTES
17003,2003,PAN,C. LEOPOLDO RODRIGUEZ GALARZA
17003,2006,PVEM,C. MARCO ANTONIO GALEANA MONTESINOS
17003,2009,PRI,C. GILBERTO OLIVAR ROSAS
17003,2013,PSD,C. RODOLFO DOMINGUEZ ALARCON
17003,2016,PVEM,C. EDGAR JOSE MUÑOZ SANABRIA
17003,2019,COAL.,C. FELIX SANCHEZ ESPINOZA
17003,2022,MORENA,C. FELIX  SANCHEZ ESPINOZA
