uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
18001,1917,NA,C. MIGUEL ROMERO
18001,1919,NA,C. GUILLERMO O'CONNOR
18001,1921,NA,C. GILBERTO PEÑA
18001,1923,NA,C. LUIS JIMÉNEZ
18001,1925,NA,C. TEÓDULO LÓPEZ
18001,1927,NA,C. LUIS BERTRAND
18001,1929,NA,C. FEDERICO CORONA
18001,1931,NA,C. JOSÉ LOZANO
18001,1933,NA,C. FEDERICO CORONA
18001,1935,NA,C. JOSÉ RAMOS PANDURO
18001,1937,NA,C. FEDERICO GAMEROS
18001,1939,NA,C. ELÍAS AGUILAR DÍAZ
18001,1941,NA,C. MARCOS JIMÉNEZ
18001,1943,NA,C. AGUSTÍN TORTOLERO
18001,1946,NA,C. TEÓFILO TELLO
18001,1949,NA,C. GUILLERMO DÍAZ COSSÍO
18001,1952,NA,C. JUAN ALGARÍN
18001,1955,NA,C. ANTONIO NAVA
18001,1958,NA,C. DAVID H. SIERRA
18001,1961,NA,C. FRANCISCO DÍAZ OROZCO
18001,1964,NA,C. ISAAC ESPINOZA
18001,1967,NA,C. RODOLFO CASTILLO SÁNCHEZ
18001,1970,NA,C. JESÚS OSUNA GÓMEZ
18001,1973,NA,C. RODOLFO FLETES MORA
18001,1976,NA,C. ANTONIO SAIZAR QUINTERO
18001,1978,NA,C. MANUEL ZAMORANO RODRÍGUEZ
18001,1981,NA,C. JORGE ORTÍZ ESCOBEDO
18001,1984,NA,C. PORFIRIO VÁZQUEZ COSSÍO
18001,1987,NA,C. JOSÉ MIGUEL AGUILAR RUIZ
18001,1990,NA,C. HÉCTOR SERVANDO SIERRA MARTÍNEZ
18001,1993,PRI,C. SALVADOR TOLEDO LOPEZ
18001,1996,PRI,C. JOSE CHAVEZ RODRIGUEZ
18001,1999,NA,C. ENRIQUE JIMÉNEZ LÓPEZ
18001,2002,PRI,C. J. SANTOS DIAZ MENDOZA
18001,2005,PRI,C. EFRAIN ARELLANO NUÑEZ
18001,2008,JXBDT,C. SAULO ALFONSO LORA AGUILAR
18001,2011,NNU,TEC. EFRAIN ARELLANO NUÑEZ
18001,2014,PBDNAY,C. MALAQUIAS AGUIAR FLORES
18001,2017,MORENA,C. JOSE HUMBERTO ARELLANO NUÑEZ
18001,2020,-,C. NICOLAS TIRADO HERNANDEZ
18001,2021,COAL.,C. MANUEL RAMON SALCEDO OSUNA
18002,1918,NA,C. JOSÉ MARÍA MONTERO
18002,1919,NA,C. FRANCISCO U. ARROYO IBAÑEZ
18002,1920,NA,C. CRESCENCIO PARTIDA
18002,1923,NA,C. LUIS ULLOA ORTÍZ
18002,1927,NA,C. JOSÉ MARÍA MONTERO
18002,1931,NA,C. ANTIOCO RODRÍGUEZ
18002,1934,NA,C. JESÚS PÉREZ ESPINOSA
18002,1935,NA,C. DOMINGO REA ORTÍZ
18002,1937,NA,C. BRAULIO ARANDA RUIZ
18002,1939,NA,C. RAMÓN RINCÓN LÓPEZ
18002,1941,NA,C. ANTONIO GONZÁLEZ
18002,1943,NA,C. MANUEL JAIME ANDALÓN
18002,1946,NA,C. FRANCISCO DEL TORO RODRÍGUEZ
18002,1949,NA,C. MANUEL JAIME ANDALÓN
18002,1952,NA,C. MISAEL IBARRA PÉREZ
18002,1955,NA,C. LUIS ARCINIEGA PÉREZ
18002,1958,NA,C. JESÚS ESPINOSA ULLOA
18002,1961,NA,C. MIGUEL PARTIDA ZEPEDA
18002,1964,NA,C. LAURO BAÑUELOS BECERRA
18002,1967,NA,C. RUBÉN ANDALÓN GARCÍA
18002,1970,NA,C. JESÚS RAMOS ARVÍZU
18002,1973,NA,C. CARLOS RIVERA MEDINA
18002,1976,NA,C. JOSÉ ANGEL PONCE GARCÍA
18002,1977,NA,C. JUAN RAMOS AGUILAR
18002,1979,NA,C. FIDENCIO CAMACHO DUEÑAS
18002,1982,NA,C. ADALBERTO ROMERO IBAÑEZ
18002,1984,NA,C. RAÚL RIVERA ANSALDO
18002,1987,NA,C. ENRIQUE ORTEGA LARA
18002,1990,NA,C. IGNACIO GARCÍA BUENO
18002,1993,PRI,PROFR. GILBERTO BARRON TORRES
18002,1996,PRI,PROFR. AGUSTIN AGUILAR IBARRA
18002,1999,NA,C. FRANCISCO VILLEGAS IBARRA
18002,2002,PRI,C. RAUL RUBEN MOJARRA SALAS
18002,2005,PRI,C. JORGE TISNADO GALINDO
18002,2008,PAN,C. JOSE DE JESUS BERNAL LAMAS
18002,2011,PAN,PROFR. JOSE DE JESUS BAÑUELOS MORALES
18002,2014,PAN,C. JOSE DE JESUS BERNAL LAMAS
18002,2017,PRI,C. AGUSTIN GODINEZ VILLEGAS
18002,2021,COAL.,C. LUCRECIA DE JESÚS ALDUENDA ECHEAGARAY
18003,1918,NA,C. MARCOS GÓMEZ SÁNCHEZ
18003,1919,NA,C. ZEFERINO VELASCO
18003,1929,NA,C. ALVARO LOZANO
18003,1931,NA,C. GALDINO ROMERO VILLANUEVA
18003,1933,NA,C. ROBERTO RON
18003,1935,NA,C. ALEJANDRO ORTÍZ BECERRA
18003,1937,NA,C. JESÚS MEZA HERNÁNDEZ
18003,1939,NA,C. IRINEO SÁNCHEZ ROJAS
18003,1941,NA,C. JUAN BARRERA CORTES
18003,1943,NA,C. FRANCISCO RAMÍREZ TOVAR
18003,1946,NA,C. JOSÉ PÉREZ MORENO
18003,1949,NA,C. IGNACIO LUNA MEZA
18003,1952,NA,C. ROBERTO RUBIO RODRÍGUEZ
18003,1955,NA,C. MARTÍN MADRIGAL BECERRA
18003,1958,NA,C. FLORENTINO BECERRA DUEÑAS
18003,1961,NA,C. ENRIQUE PARRA ANDRADE
18003,1964,NA,C. J. GUADALUPE PARRA RODRÍGUEZ
18003,1967,NA,C. HUMBERTO GRACIA SALAS
18003,1970,NA,C. ROGELIO PARRA DUEÑAS
18003,1973,NA,C. CARLOS SÁNCHEZ ISLAS
18003,1976,NA,C. PRIMITIVO GARCÍA ACEVES
18003,1979,NA,C. LEANDRO SÁNCHEZ CASTILLO
18003,1981,NA,C. PETRONILO TOPETE RAMOS
18003,1984,NA,C. AGUSTÍN ARMANDO PARRA CARRILLO
18003,1987,NA,C. ASUNCIÓN MISAEL PARRA RIVERA
18003,1990,NA,C. CARLOS VILLASEÑOR
18003,1993,PRI,ING. ALBERTO RUIZ ISLAS
18003,1996,PRI,C. SALVADOR AGUIAR FREGOSO
18003,1999,NA,C. ALONSO ARMAS SALAZAR
18003,2002,PAN,ING. MARCO ANTONIO RON ALVAREZ
18003,2005,PAN,C. GUSTAVO RUBIO AGUILAR
18003,2008,XENQTQ,C. ARTURO BECERRA TAPIA
18003,2011,PAN,C.P. ANTONIO RODRIGUEZ ARENAS
18003,2014,PBDNAY,C. FRANCISCO LOPEZ SANCHEZ
18003,2017,PES,C. SAUL PARRA RAMIREZ
18003,2021,COAL.,C. JESUS RAFAEL  SANDOVAL  DÍAZ
18004,1919,NA,C. PETRONILO DÍAZ PONCE
18004,1920,NA,C. JOSÉ MA. REGALADO LARIOS
18004,1922,NA,C. FERNANDO ROMERO PAREDES
18004,1932,NA,C. JORGE OLIMÓN COLIO
18004,1937,NA,C. ALFONSO OCEGUEDA CARRILLO
18004,1939,NA,C. ALFONSO RODRÍGUEZ AGUIRRE
18004,1941,NA,C. PEDRO ARCINIEGA ALVAREZ
18004,1943,NA,C. EDUARDO ARCADIA MEDIANA
18004,1945,NA,C. MARTINIANO TREJO GONZÁLEZ
18004,1949,NA,C. FERNANDO ULLOA GONZÁLEZ
18004,1952,NA,C. MARTINIANO TREJO GONZÁLEZ
18004,1955,NA,C. JUAN GRADILLA VIDRIALES
18004,1958,NA,C. SALVADOR GUTIÉRREZ CONTRERAS
18004,1961,NA,C. MANUEL GRADILLA MUÑOZ
18004,1964,NA,C. RAYMUNDO ZAVALA SÁNCHEZ
18004,1967,NA,C. RAFAEL MACHUCA MEDINA
18004,1970,NA,C. JAVIER AYÓN URIBE
18004,1973,NA,C. ANGEL OCEGUEDA CUEVAS
18004,1976,NA,C. JUAN MANUEL INDA VALLEJO
18004,1979,NA,C. ENRIQUE MEDINA LOMELÍ
18004,1981,NA,C. ALEJANDRO GONZÁLEZ SÁNCHEZ
18004,1982,NA,C. RAMÓN PIMIENTA AGUIRRE
18004,1984,NA,C. ARNULFO PEÑA BANDA
18004,1987,NA,C. HERIBERTO CONDE VALDÉS
18004,1990,NA,C. MACARIO AGUAYO DURÁN
18004,1992,NA,C. JOSÉ LUIS FLORES DE LOS ANGELES
18004,1993,PRI,C.P. BALTAZAR CRUZ DUEÑAS
18004,1996,PRI,PROFR. ANDRES VILLASEÑOR SALAZAR
18004,1999,PRI,LIC. JUAN AGUIRRE CHAVEZ
18004,2002,PRI,C.P. ALICIA MONROY LIZOLA
18004,2005,PRI,C. MARCO ANTONIO MORENO VENEGAS
18004,2008,XENQTQ,C. HECTOR LOPEZ SANTIAGO
18004,2011,PAN,DR. PABLO PIMIENTA MARQUEZ
18004,2014,PBDNAY,C. ALICIA MONROY LIZOLA
18004,2017,CJXT,C. GLORIA ELIZABETH NUÑEZ SANCHEZ
18004,2021,COAL.,C.  ROMINA CHANG  AGUILAR
18005,1919,NA,C. PRAXEDIS FLORES
18005,1931,NA,C. IGNACIO GONZÁLEZ
18005,1935,NA,C. JOSÉ OSUNA
18005,1937,NA,C. MARCOS DE LA PAZ
18005,1939,NA,C. VICTORINO SÁNCHEZ RANGEL
18005,1941,NA,C. WILFRIDO OSUNA SÁNCHEZ
18005,1943,NA,C. ALEJANDRO MAYORQUÍN OSUNA
18005,1946,NA,C. MARCOS DE LA PAZ GARCÍA
18005,1949,NA,C. AGAPITO GÓMEZ GÓMEZ
18005,1952,NA,C. VICTORINO SÁNCHEZ RANGEL
18005,1955,NA,C. ELÍAS AGUILAR SALAS
18005,1958,NA,C. AGAPITO GÓMEZ GÓMEZ
18005,1961,NA,C. QUINTÍN RANGEL CORONADO
18005,1964,NA,C. CANUTO MAYORQUÍN CASTAÑEDA
18005,1967,NA,C. ELÍAS AGUILAR SALAS
18005,1970,NA,C. MELESIO OCHOA PASTRANA
18005,1973,NA,C. PÁNFILO MEDRANO SILVA
18005,1976,NA,C. CLEMENTE MAYORQUÍN VALVERDE
18005,1979,NA,C. PEDRO SÁNCHEZ PARTIDA
18005,1981,NA,C. FULGENCIO AGUILAR MAYORQUÍN
18005,1984,NA,C. AGUSTÍN CASTAÑEDA RANGEL
18005,1987,NA,C. CARLOS SALAS REYES
18005,1990,NA,C. HERIBERTO RANGEL CORTES
18005,1993,PRI,C. SALVADOR CASTAÑEDA RANGEL
18005,1996,PRI,PROFR. MARTIN CORONADO VIERA
18005,1999,NA,C. SIMÓN SÁNCHEZ PARTIDA
18005,2002,PRI,LIC. MARIN ALVAREZ BARRAZA
18005,2005,PRI,C. MARCO ANTONIO OCHOA SANCHEZ
18005,2008,JXBDT,C. HECTOR GOMEZ GURROLA
18005,2011,NNU,M.V.Z. SAUL SANCHEZ RIVERA
18005,2014,PBDNAY,C. SERGIO RANGEL CERVANTES
18005,2017,PRI,C. GRABIELA YAJAYRA GUZMAN GONZALEZ
18005,2021,COAL.,C. VICENTE RANGEL CERVANTES
18006,1917,NA,C. NICOLÁS CASTILLO CASTILLÓN
18006,1919,NA,C. ALFREDO DE SANTIAGO
18006,1921,NA,C. DAVID ORTÍZ
18006,1923,NA,C. FRANCISCO ORTÍZ GUEVARA
18006,1925,NA,C. FICTOROANO GONZÁLEZ
18006,1930,NA,C. MANUEL GONZÁLEZ R
18006,1935,NA,C. CENOBIO GUZMÁN
18006,1937,NA,C. FRANCISCO SANDOVAL V
18006,1939,NA,C. SALVADOR PARRA GONZÁLEZ
18006,1941,NA,C. FRANCISCO PARRA GONZÁLEZ
18006,1943,NA,C. FRANCISCO GARCÍA MONTERO
18006,1946,NA,C. TEÓFILO HERNÁNDEZ VELÁZQUEZ
18006,1949,NA,C. EZEQUIEL GONZÁLEZ JAIME
18006,1952,NA,C. FRANCISCO BÉJAR MENDOZA
18006,1955,NA,C. FLORENTINO PARRA CAMACHO
18006,1958,NA,C. APOLINAR CASTILLO OCAMPO
18006,1961,NA,C. JOSÉ RAMÓN MENCHACA CORTÉS
18006,1964,NA,C. ANTONIO BECERRA SÁNCHEZ
18006,1967,NA,C. EMIGDIO REYES RUIZ
18006,1970,NA,C. JOSÉ RAMÓN BARRAGÁN PARRA
18006,1973,NA,C. GUILLERMO JAVIER URIBE GARCÍA
18006,1976,NA,C. J. GUADALUPE SÁNCHEZ JAIME
18006,1978,NA,C. MARCO TULIO DELGADO BECERRA
18006,1981,NA,C. JOSÉ RAMÓN PARRA RIVERA
18006,1984,NA,C. ANTONIO TOVAR MARTÍNEZ
18006,1987,NA,C. HÉCTOR JAVIER SÁNCHEZ ESPINOZA
18006,1990,NA,C. EZEQUIEL PARRA ALTAMIRANO
18006,1993,PRI,C.P. JOSE RAMON PARRA IBARRA
18006,1996,PAN,PROFR. SALVADOR MUÑOZ HERNANDEZ
