uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
19001,1992,PRI,VICTOR ELIZONDO CANTU
19001,1993,PRI,VICTOR ELIZONDO CANTU
19001,1994,PRI,VICTOR ELIZONDO CANTU
19001,1995,PRI,ENRIQUE VILLARREAL GUTIERREZ
19001,1996,PRI,ENRIQUE VILLARREAL GUTIERREZ
19001,1997,PRI,ENRIQUE VILLARREAL GUTIERREZ
19001,1998,PRI,SEVERA CANTU VILLARREAL
19001,1999,PRI,SEVERA CANTU VILLARREAL
19001,2000,PRI,SEVERA CANTU VILLARREAL
19001,2001,PRI,DAVID ENRIQUE MILAN RAMOS
19001,2002,PRI,DAVID ENRIQUE MILAN RAMOS
19001,2003,PRI,DAVID ENRIQUE MILAN RAMOS
19001,2004,CAC,DAVID MILAN RIVERA
19001,2005,CAC,DAVID MILAN RIVERA
19001,2006,CAC,DAVID MILAN RIVERA
19001,2007,AXM,JAIME VILLARREAL RAMIREZ
19001,2008,AXM,JAIME VILLARREAL RAMIREZ
19001,2009,AXM,JAIME VILLARREAL RAMIREZ
19001,2010,JXNL,ENRIQUE VILLARREAL GUTIERREZ
19001,2011,JXNL,ENRIQUE VILLARREAL GUTIERREZ
19001,2012,JXNL,ENRIQUE VILLARREAL GUTIERREZ
19001,2013,PRD,JOSE FELIX ALEMAN CASTILLO
19001,2014,PRD,JOSE FELIX ALEMAN CASTILLO
19001,2015,PRD,JOSE FELIX ALEMAN CASTILLO
19001,2016,CPYB,CRISTINA ALEMAN AGUILAR
19001,2017,CPYB,CRISTINA ALEMAN AGUILAR
19001,2018,CPYB,CRISTINA ALEMAN AGUILAR
19001,2019,COAL,KARINA LISSETTE VILLARREAL RAMIREZ
19001,2020,COAL,KARINA LISSETTE VILLARREAL RAMIREZ
19001,2021,COAL,KARINA LISSETTE VILLARREAL RAMIREZ
19001,2022,PAN,REYNALDO JAVIER CANTU MONTES
19001,2023,PAN,REYNALDO JAVIER CANTU MONTES
19001,2024,PAN,REYNALDO JAVIER CANTU MONTES
19002,1992,PRI,JUAN JOSE SALINAS GARCIA
19002,1993,PRI,JUAN JOSE SALINAS GARCIA
19002,1994,PRI,JUAN JOSE SALINAS GARCIA
19002,1995,PRI,ELIO MOLINA SALINAS
19002,1996,PRI,ELIO MOLINA SALINAS
19002,1997,PRI,ELIO MOLINA SALINAS
19002,1998,PRI,VICENTE CANALES CANTU
19002,1999,PRI,VICENTE CANALES CANTU
19002,2000,PRI,VICENTE CANALES CANTU
19002,2001,PAN,IGNACIO DE JESUS CASTELLANOS RAMOS
19002,2002,PAN,IGNACIO DE JESUS CASTELLANOS RAMOS
19002,2003,PAN,IGNACIO DE JESUS CASTELLANOS RAMOS
19002,2004,CAC,VICENTE CANALES CANTU
19002,2005,CAC,VICENTE CANALES CANTU
19002,2006,CAC,VICENTE CANALES CANTU
19002,2007,AXM,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2008,AXM,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2009,AXM,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2010,JXNL,JOSE GUADALUPE GARCIA GARZA
19002,2011,JXNL,JOSE GUADALUPE GARCIA GARZA
19002,2012,JXNL,JOSE GUADALUPE GARCIA GARZA
19002,2013,CPNL,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2014,CPNL,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2015,CPNL,JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2016,PAN,JOSE LUIS GARCIA MONTEMAYOR
19002,2017,PAN,JOSE LUIS GARCIA MONTEMAYOR
19002,2018,PAN,JOSE LUIS GARCIA MONTEMAYOR
19002,2019,PAN,IGNACIO CASTELLANOS AMAYA
19002,2020,PAN,IGNACIO CASTELLANOS AMAYA
19002,2021,PAN,IGNACIO CASTELLANOS AMAYA
19002,2022,PAN,IGNACIO CASTELLANOS AMAYA
19002,2023,PAN,IGNACIO CASTELLANOS AMAYA
19002,2024,PAN,IGNACIO CASTELLANOS AMAYA
19003,1992,PRI,RENE ROLANDO PEÑA GARCIA
19003,1993,PRI,RENE ROLANDO PEÑA GARCIA
19003,1994,PRI,RENE ROLANDO PEÑA GARCIA
19003,1995,PRI,JORGE LUIS PEÑA PEÑA
19003,1996,PRI,JORGE LUIS PEÑA PEÑA
19003,1997,PRI,JORGE LUIS PEÑA PEÑA
19003,1998,PRI,JESUS SALVADOR PEÑA ALANIS
19003,1999,PRI,JESUS SALVADOR PEÑA ALANIS
19003,2000,PRI,JESUS SALVADOR PEÑA ALANIS
19003,2001,PAN,RAUL RIOS GARCIA
19003,2002,PAN,RAUL RIOS GARCIA
19003,2003,PAN,RAUL RIOS GARCIA
19003,2004,CAC,JORGE LUIS PEÑA PEÑA
19003,2005,CAC,JORGE LUIS PEÑA PEÑA
19003,2006,CAC,JORGE LUIS PEÑA PEÑA
19003,2007,PAN,RUBIA IDALIA QUINTANILLA TIJERINA
19003,2008,PAN,RUBIA IDALIA QUINTANILLA TIJERINA
19003,2009,PAN,RUBIA IDALIA QUINTANILLA TIJERINA
19003,2010,JXNL,ALBERTO LOPEZ PEÑA
19003,2011,JXNL,ALBERTO LOPEZ PEÑA
19003,2012,JXNL,ALBERTO LOPEZ PEÑA
19003,2013,CPNL,JORGE LUIS PEÑA PEÑA
19003,2014,CPNL,JORGE LUIS PEÑA PEÑA
19003,2015,CPNL,JORGE LUIS PEÑA PEÑA
19003,2016,PRI,RODOLFO GARCIA MARTINEZ
19003,2017,PRI,RODOLFO GARCIA MARTINEZ
19003,2018,PRI,RODOLFO GARCIA MARTINEZ
