uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
19001,1939,NA,C. WENCESLAO GARZA ESCAMILLA
19001,1941,NA,C. DANIEL CANTÚ CANTÚ
19001,1944,NA,C. GREGORIO GUTIÉRREZ VILLARREAL
19001,1946,NA,C. WENCESLAO GARZA ESCAMILLA
19001,1948,NA,C. FAUSTINO CANTÚ
19001,1950,NA,C. CIPRIANO CANTÚ ELIZONDO
19001,1952,NA,C. EVARISTO GARZA
19001,1955,NA,C. WILFREDO CANTÚ
19001,1958,NA,C. ENRIQUE VILLARREAL MACILLAS
19001,1961,NA,C. FRANCISCO GUTIÉRREZ OSUNA
19001,1964,NA,C. CIRILO RINCÓN OLIVO
19001,1967,NA,C. APOLONIO C. ELIZONDO CANTÚ
19001,1970,NA,C. JUAN ALBERTO GAZA NIÑO
19001,1972,NA,C. AURELIA GÁMEZ RINCÓN
19001,1974,NA,C. OZIEL SOLÍS RAMÍREZ
19001,1977,NA,C. BALTAZAR GARZA SALÁIS
19001,1980,NA,C. WENCESLAO GARZA ESCAMILLA
19001,1983,NA,C. SEVERA CANTÚ VILLARREAL
19001,1986,NA,C. ARMANDO GÁMEZ RINCÓN
19001,1989,NA,C. SEVERA CANTÚ VILLARREAL
19001,1992,PRI,C. VICTOR ELIZONDO CANTU
19001,1995,PRI,C. ENRIQUE VILLARREAL GUTIERREZ
19001,1997,PRI,C. SEVERA CANTU VILLARREAL
19001,2000,PRI,C. DAVID ENRIQUE MILAN RAMOS
19001,2003,CAC,C. DAVID MILAN RIVERA
19001,2006,AXM,C. JAIME VILLARREAL RAMIREZ
19001,2009,JXNL,C. ENRIQUE VILLARREAL GUTIERREZ
19001,2012,PRD,C. JOSE FELIX ALEMAN CASTILLO
19001,2015,CPYB,C. CRISTINA ALEMAN AGUILAR
19001,2018,COAL.,C. KARINA LISSETTE VILLARREAL RAMÍREZ
19001,2021,PAN,C. REYNALDO JAVIER CANTU MONTES
19002,1919,NA,C. CARLOS C. NAÑEZ
19002,1939,NA,C. GIL CADENA
19002,1941,NA,C. FÉLIX SALINAS
19002,1943,NA,C. JUAN CANTÚ GONZÁLEZ
19002,1946,NA,C. FRANCISCO RODRÍGUEZ
19002,1949,NA,C. HERMELINDO CHAPA QUIROGA
19002,1952,NA,C. PEDRO SALINAS SÁENZ
19002,1955,NA,C. RAÚL MOLINA POMPA
19002,1958,NA,C. ROBERTO VELA GARZA
19002,1961,NA,C. JUAN DE DIOS GONZÁLEZ CHAPA
19002,1964,NA,C. VICENTE CANALES FERNÁNDEZ
19002,1967,NA,C. FRANCISCO GARCÍA CANTÚ
19002,1970,NA,C. J. GUADALUPE CANALES FERNÁNDEZ
19002,1972,NA,C. VICENTE CANALES GARZA
19002,1974,NA,C. JUAN DE DIOS GONZÁLEZ CHAPA
19002,1977,NA,C. ANTONIO RAMOS GARZA
19002,1980,NA,C. OSCAR SALINAS VELA
19002,1983,NA,C. JUAN JOSÉ SALINAS GARCÍA
19002,1986,NA,C. HERIBERTO CERNA CADENA
19002,1989,NA,C. REYNALDO CANALES VELA
19002,1992,PRI,C. JUAN JOSE SALINAS GARCIA
19002,1995,PRI,C. ELIO MOLINA SALINAS
19002,1997,PRI,C. VICENTE CANALES CANTU
19002,2000,PAN,C. IGNACIO DE JESUS CASTELLANOS RAMOS
19002,2003,CAC,C. VICENTE CANALES CANTU
19002,2006,AXM,C. JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2009,JXNL,C. JOSE GUADALUPE GARCIA GARZA
19002,2012,CPNL,C. JOSE ISRAEL GONZALEZ RODRIGUEZ
19002,2015,PAN,C. JOSE LUIS GARCIA MONTEMAYOR
19002,2018,PAN,LIC. IGNACIO CASTELLANOS AMAYA
19002,2021,PAN,C. IGNACIO CASTELLANOS AMAYA
19003,1919,NA,C. TIMOTEO GARCÍA GARCÍA
19003,1949,NA,C. ISAÍAS OLIVARES PEÑA
19003,1952,NA,C. SEVERO E. PEÑA
19003,1955,NA,C. LUCIANO GONZÁLEZ
19003,1958,NA,C. ZARAGOZA RÍOS VERA
19003,1961,NA,C. FELICIANO GUTIÉRREZ FLORES
19003,1964,NA,C. ISAÍAS OLIVARES PEÑA
19003,1967,NA,C. TIMOTEO RÍOS GARCÍA
19003,1970,NA,C. HOMERO ELIZONDO PEÑA
19003,1972,NA,C. JOSÉ LUIS OLIVARES PEÑA
19003,1974,NA,C. DONACIANO GUTIÉRREZ GARZA
19003,1977,NA,C. ROGELIO PEÑA SALINAS
19003,1980,NA,C. FELICIANO GUTIÉRREZ FLORES
19003,1983,NA,C. JOSÉ EVELIO PÉREZ ALANÍS
19003,1986,NA,C. OSCAR ALANIS LEAL
19003,1989,NA,C. EDILBERTO PEÑA PEÑA
19003,1992,PRI,C. RENE ROLANDO PEÑA GARCIA
19003,1995,PRI,C. JORGE LUIS PEÑA PEÑA
19003,1997,PRI,C. JESUS SALVADOR PEÑA ALANIS
19003,2000,PAN,C. RUBEN DARIO PASTRANA GUERRERO
19003,2003,CAC,C. JORGE LUIS PEÑA PEÑA
19003,2006,PAN,C. RUBIA IDALIA QUINTANILLA TIJERINA
19003,2009,JXNL,C. ALBERTO LOPEZ PEÑA
