uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
20002,1919,NA,C. FÉLIX MÉNDEZ
20002,1969,NA,C. JUAN MARCIAL CONTRERAS
20002,1972,NA,C. MAXIMINO CRUZ LÓPEZ
20002,1975,NA,C. PABLO BAUTISTA RAMOS
20002,1978,NA,C. ARTEMIO LUCAS BAUTISTA
20002,1981,NA,C. GENARO BAUTISTA VÁSQUEZ
20002,1984,NA,C. ONOFRE VARGAS BAUTISTA
20002,1987,NA,C. FILEMÓN BAUTISTA BAUTISTA
20002,1990,NA,C. JUAN CRUZ BAUTISTA
20002,1993,PRI,C. MARCOS TOMAS CRUZ VARGAS
20002,1996,NA,C. BENITO BAUTISTA VARGAS
20002,1999,NA,C. JAIME R. BAUTISTA LUCAS
20002,2001,UYC,C. ABEL RAYMUNDO VARGAS LOPEZ
20002,2004,UYC,C. TOMAS FILEMON BAUTISTA BAUTISTA
20002,2007,UYC,C. ELEAZAR DOMINGO BAUTISTA VARGAS
20002,2011,SNI,C. RANULFO GERMAN BAUTISTA VARGAS
20002,2013,SNI,C. ALEJANDRO EVENCIO MÉNDEZ CRUZ
20002,2016,SNI,C. VICTOR HERNANDEZ BAUTISTA
20002,2017,SNI,C. VICTOR JULIAN BAUTISTA VARGAS
20002,2018,SNI,SCLGA JOSE CRUZ LOPEZ
20002,2020,SNI,ING. MAURICIO CRUZ VARGAS
20002,2023,UYC,C. VICENTE LOPEZ BAUTISTA
20004,1904,NA,C. MIGUEL GÓMEZ
20004,1907,NA,C. ANTONIO CARRASCO
20004,1909,NA,C. MODESTO VIRGEN A.
20004,1912,NA,C. MANUEL BENAVIDES
20004,1913,NA,C. QUIRINO HERNÁNDEZ
20004,1914,NA,C. JOAQUÍN CALLADO
20004,1916,NA,C. PROFIRIO CERVANTES
20004,1917,NA,C. ALBIN ÁLVAREZ
20004,1918,NA,C. RAFAEL MONTIEL
20004,1919,NA,C. PEDRO OLGUÍN
20004,1921,NA,C. MANUEL GONZÁLEZ
20004,1922,NA,C. ROQUE PERRONI
20004,1924,NA,C. PEDRO NAVARRO
20004,1925,NA,C. LAURO HERNÁNDEZ
20004,1926,NA,C. JULIÁN VIREN AMADOR
20004,1928,NA,C. MANUEL ALVIZAR
20004,1930,NA,C. FRANCISCO BARRIENTES
20004,1931,NA,C. MARTÍN VIRGEN RENDÓN
20004,1932,NA,C. PEDRO TAPIA
20004,1933,NA,C. JUAN UTRERA
20004,1934,NA,C. CANUTO VIRGEN
20004,1936,NA,C. NICOLÁS VILLALVA
20004,1937,NA,C. JOSÉ ARIAS
20004,1938,NA,C. PEDRO ASPRON
20004,1940,NA,C. ISMAEL GARIBAY
20004,1942,NA,C. ELISEO CORTEZ RUÍZ
20004,1944,NA,C. ALBINO MORA
20004,1945,NA,C. MATIAS VIRGEN SOTO
20004,1946,NA,C. FRANCISCO FERNÁNDEZ
20004,1948,NA,C. ELISEO CORTEZ RUIZ
20004,1951,NA,C. AURELIO DOMÍNGUEZ
20004,1954,NA,C. HERACLIO LANDETA
20004,1957,NA,C. ANTONIO PERRONI PORTAS
20004,1960,NA,C. FRANCISCO CANSECO SARABIA
20004,1963,NA,C. AGUSTIN ROSILES
20004,1966,NA,C. RAFAEL MONTIEL MÁRQUEZ
20004,1969,NA,C. LORENZO VIRGEN GÓMEZ
20004,1972,NA,C. GABRIEL VIELMA TOSCANO
20004,1975,NA,C. MARCOS CONTRERAS CASTILLO
