uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
21001,1993,PRI,VICTORIA LOPEZ LEON DE HUERTA
21001,1994,PRI,VICTORIA LOPEZ LEON DE HUERTA
21001,1995,PRI,VICTORIA LOPEZ LEON DE HUERTA
21001,1996,PAN,JUAN SERGIO SALAZAR VARGAS
21001,1997,PAN,JUAN SERGIO SALAZAR VARGAS
21001,1998,PAN,JUAN SERGIO SALAZAR VARGAS
21001,1999,PAN,JUAN SERGIO SALAZAR VARGAS
21001,2000,PRI,JORGE ROSAS BARRANCO
21001,2001,PRI,JORGE ROSAS BARRANCO
21001,2002,PRI,JORGE ROSAS BARRANCO
21001,2003,PRI,FIDEL FLORES JIMENEZ
21001,2004,PRI,FIDEL FLORES JIMENEZ
21001,2005,PRI,FIDEL FLORES JIMENEZ
21001,2006,PRI,ROBERTO ALEJANDRO CONTRERAS BRETON
21001,2007,PRI,ROBERTO ALEJANDRO CONTRERAS BRETON
21001,2008,PRI,ROBERTO ALEJANDRO CONTRERAS BRETON
21001,2009,PAN,CARMELO MONTERO BARRANCO
21001,2010,PAN,CARMELO MONTERO BARRANCO
21001,2011,PAN,CARMELO MONTERO BARRANCO
21001,2012,APA,ROGELIO LEON BARRANCO
21001,2013,APA,ROGELIO LEON BARRANCO
21001,2014,APA,ROGELIO LEON BARRANCO
21001,2015,CC,ANTONIO AGUILAR REYES
21001,2016,CC,ANTONIO AGUILAR REYES
21001,2017,CC,ANTONIO AGUILAR REYES
21001,2018,CC,ANTONIO AGUILAR REYES
21001,2019,COAL,ROBERTO RAMIREZ CERVANTES
21001,2020,COAL,ROBERTO RAMIREZ CERVANTES
21001,2021,COAL,ROBERTO RAMIREZ CERVANTES
21001,2022,MORENA,DAVID MELENDEZ LOPEZ
21001,2023,MORENA,DAVID MELENDEZ LOPEZ
21001,2024,MORENA,DAVID MELENDEZ LOPEZ
21002,1993,PRI,JUAN RODRIGUEZ MENDEZ
21002,1994,PRI,JUAN RODRIGUEZ MENDEZ
21002,1995,PRI,JUAN RODRIGUEZ MENDEZ
21002,1996,PRI,JUAN RODRIGUEZ MENDEZ
21002,1997,PRI,ADOLFO TORRE LEAL
21002,1998,PRI,ADOLFO TORRE LEAL
21002,1999,PRI,ADOLFO TORRE LEAL
21002,2000,PRI,JOSE BANDO MARTINEZ
21002,2001,PRI,JOSE BANDO MARTINEZ
21002,2002,PRI,JOSE BANDO MARTINEZ
21002,2003,PAN,ANDRES FLORES MARIN
21002,2004,PAN,ANDRES FLORES MARIN
21002,2005,PAN,ANDRES FLORES MARIN
21002,2006,PRD,NAHUM ALVARADO ALONSO
21002,2007,PRD,NAHUM ALVARADO ALONSO
21002,2008,PRD,NAHUM ALVARADO ALONSO
21002,2009,CXBP,GILBERTO RAMIREZ CASANOVA
21002,2010,CXBP,GILBERTO RAMIREZ CASANOVA
21002,2011,CXBP,GILBERTO RAMIREZ CASANOVA
21002,2012,CPP,NAHUM GONZALEZ MENDEZ
21002,2013,CPP,NAHUM GONZALEZ MENDEZ
21002,2014,CPP,NAHUM GONZALEZ MENDEZ
21002,2015,CPU,JULIO CESAR CABAÑAS MENDEZ
21002,2016,CPU,JULIO CESAR CABAÑAS MENDEZ
21002,2017,CPU,JULIO CESAR CABAÑAS MENDEZ
21002,2018,CPU,JULIO CESAR CABAÑAS MENDEZ
21002,2019,COAL,EDGAR DE JESUS MURRIETA NAVARRO
21002,2020,COAL,EDGAR DE JESUS MURRIETA NAVARRO
21002,2021,COAL,EDGAR DE JESUS MURRIETA NAVARRO
21002,2022,PES,JUAN CRUZ BELLO
21002,2023,PES,JUAN CRUZ BELLO
21002,2024,PES,JUAN CRUZ BELLO
21003,1993,PPS,JESUS FRANCISCO ACOSTA RODRIGUEZ
21003,1994,PPS,JESUS FRANCISCO ACOSTA RODRIGUEZ
21003,1995,PPS,JESUS FRANCISCO ACOSTA RODRIGUEZ
21003,1996,PPS,JESUS FRANCISCO ACOSTA RODRIGUEZ
21003,1997,PRI,ANTONIO CRUZ REYES
21003,1998,PRI,ANTONIO CRUZ REYES
21003,1999,PRI,ANTONIO CRUZ REYES
21003,2000,PRI,SERGIO FERNANDO VERA ESPINOSA
21003,2001,PRI,SERGIO FERNANDO VERA ESPINOSA
21003,2002,PRI,SERGIO FERNANDO VERA ESPINOSA
21003,2003,PAN,ALFONSO DE JESUS CORREA LOPEZ
21003,2004,PAN,ALFONSO DE JESUS CORREA LOPEZ
21003,2005,PAN,ALFONSO DE JESUS CORREA LOPEZ
21003,2006,PRI,EUGENIO EDGARDO GONZALEZ ESCAMILLA
21003,2007,PRI,EUGENIO EDGARDO GONZALEZ ESCAMILLA
21003,2008,PRI,EUGENIO EDGARDO GONZALEZ ESCAMILLA
21003,2009,CUPG,ARISTEO ARIZA ALONSO
21003,2010,CUPG,ARISTEO ARIZA ALONSO
21003,2011,CUPG,ARISTEO ARIZA ALONSO
21003,2012,APA,LENIN MARTINEZ REYES
21003,2013,APA,LENIN MARTINEZ REYES
21003,2014,APA,LENIN MARTINEZ REYES
21003,2015,CPU,GUILLERMO MARTINEZ RODRIGUEZ
21003,2016,CPU,GUILLERMO MARTINEZ RODRIGUEZ
21003,2017,CPU,GUILLERMO MARTINEZ RODRIGUEZ
21003,2018,CPU,GUILLERMO MARTINEZ RODRIGUEZ
21003,2019,COAL,MARIA DEL CARMEN NAVA MARTINEZ
21003,2020,COAL,MARIA DEL CARMEN NAVA MARTINEZ
21003,2021,COAL,MARIA DEL CARMEN NAVA MARTINEZ
21003,2022,COAL,ARTURO CAJICA GOMEZ
21003,2023,COAL,ARTURO CAJICA GOMEZ
21003,2024,COAL,ARTURO CAJICA GOMEZ
21004,1993,PRI,ALEJANDRO ARMENTA MIER
21004,1994,PRI,ALEJANDRO ARMENTA MIER
21004,1995,PRI,ALEJANDRO ARMENTA MIER
21004,1996,PRI,ALEJANDRO ARMENTA MIER
21004,1997,PRI,JOSE ALEJANDRO SANCHEZ RAMIREZ
21004,1998,PRI,JOSE ALEJANDRO SANCHEZ RAMIREZ
21004,1999,PRI,JOSE ALEJANDRO SANCHEZ RAMIREZ
21004,2000,PRD,JOSE NORBERTO MANUEL ROSALES GARCIA
21004,2001,PRD,JOSE NORBERTO MANUEL ROSALES GARCIA
21004,2002,PRD,JOSE NORBERTO MANUEL ROSALES GARCIA
21004,2003,PRI,RAYMUNDO TORRES AGUILA
21004,2004,PRI,RAYMUNDO TORRES AGUILA
21004,2005,PRI,RAYMUNDO TORRES AGUILA
21004,2006,PRI,JAVIER AQUINO LIMON
21004,2007,PRI,JAVIER AQUINO LIMON
21004,2008,PRI,JAVIER AQUINO LIMON
21004,2009,CUPG,ROBERTO BAUTISTA LOZANO
21004,2010,CUPG,ROBERTO BAUTISTA LOZANO
21004,2011,NA,DAVID GOMEZ JUAREZ
21004,2012,CUPG,DAVID GOMEZ JUAREZ
21004,2013,CPP,DAVID GOMEZ JUAREZ
21004,2014,CPP,DAVID GOMEZ JUAREZ
21004,2015,C5M,CARLOS ALEJANDRO VALDEZ TENORIO
21004,2016,C5M,CARLOS ALEJANDRO VALDEZ TENORIO
21004,2017,C5M,CARLOS ALEJANDRO VALDEZ TENORIO
21004,2018,C5M,CARLOS ALEJANDRO VALDEZ TENORIO
21004,2019,COAL,JOSE NORBERTO ROSALES GARCIA
21004,2020,COAL,JOSE NORBERTO ROSALES GARCIA
21004,2021,COAL,JOSE NORBERTO ROSALES GARCIA
21004,2022,COAL,ABRAHAM MARTINEZ JIMENEZ
21004,2023,COAL,ABRAHAM MARTINEZ JIMENEZ
21004,2024,COAL,ABRAHAM MARTINEZ JIMENEZ
21005,1993,PRI,LIDIO TAPIA MORALES
21005,1994,PRI,LIDIO TAPIA MORALES
21005,1995,PRI,LIDIO TAPIA MORALES
21005,1996,PRI,LIDIO TAPIA MORALES
21005,1997,PRI,ANDRES PAVON ROSALES
21005,1998,PRI,ANDRES PAVON ROSALES
21005,1999,PRI,ANDRES PAVON ROSALES
21005,2000,PRI,ELIGIO JAVIER CUELLAR HIDALGO
21005,2001,PRI,ELIGIO JAVIER CUELLAR HIDALGO
21005,2002,PRI,ELIGIO JAVIER CUELLAR HIDALGO
21005,2003,PRI,ARMANDO MEDINA DURAN
21005,2004,PRI,ARMANDO MEDINA DURAN
21005,2005,PRI,ARMANDO MEDINA DURAN
21005,2006,PRI,ALFONSO SANDOVAL VARGAS
21005,2007,PRI,ALFONSO SANDOVAL VARGAS
21005,2008,PRI,ALFONSO SANDOVAL VARGAS
21005,2009,CUPG,ISABEL PONCIANO MEDINA CAÑONGO
21005,2010,CUPG,ISABEL PONCIANO MEDINA CAÑONGO
21005,2011,CUPG,ISABEL PONCIANO MEDINA CAÑONGO
21005,2012,APA,JUAN CARLOS DURAN BARRIENTOS
21005,2013,APA,JUAN CARLOS DURAN BARRIENTOS
21005,2014,APA,JUAN CARLOS DURAN BARRIENTOS
21005,2015,C5M,JUAN CUELLAR BRAVO
21005,2016,C5M,JUAN CUELLAR BRAVO
21005,2017,C5M,JUAN CUELLAR BRAVO
21005,2018,C5M,JUAN CUELLAR BRAVO
21005,2019,PSI,ALFONSO SANDOVAL VARHAS
21005,2020,PSI,ALFONSO SANDOVAL VARHAS
21005,2021,PSI,ALFONSO SANDOVAL VARHAS
21005,2022,COAL,ALVARO TAPIA CASTILLO
21005,2023,COAL,ALVARO TAPIA CASTILLO
21005,2024,COAL,ALVARO TAPIA CASTILLO
21006,1993,PRI,UBALDO GARCIA VAZQUEZ
21006,1994,PRI,UBALDO GARCIA VAZQUEZ
21006,1995,PRI,UBALDO GARCIA VAZQUEZ
21006,1996,PRI,UBALDO GARCIA VAZQUEZ
21006,1997,PRI,FERNANDO MELO MUÑOZ
21006,1998,PRI,FERNANDO MELO MUÑOZ
21006,1999,PRI,FERNANDO MELO MUÑOZ
21006,2000,PRI,PABLO ASCENCION CUEVAS CUEVAS
21006,2001,PRI,PABLO ASCENCION CUEVAS CUEVAS
21006,2002,PRI,PABLO ASCENCION CUEVAS CUEVAS
21006,2003,PRD,AGUSTIN SANCHEZ CUEVAS
21006,2004,PRD,AGUSTIN SANCHEZ CUEVAS
21006,2005,PRD,AGUSTIN SANCHEZ CUEVAS
21006,2006,PAN,JAVIER CUEVAS SOSA
21006,2007,PAN,JAVIER CUEVAS SOSA
21006,2008,PAN,JAVIER CUEVAS SOSA
21006,2009,CXBP,MIGUEL CRUZ
21006,2010,CXBP,MIGUEL CRUZ
21006,2011,CXBP,MIGUEL CRUZ
21006,2012,CPP,ALBERTO HERNANDEZ FRANCISCO
21006,2013,CPP,ALBERTO HERNANDEZ FRANCISCO
21006,2014,CPP,ALBERTO HERNANDEZ FRANCISCO
21006,2015,COAL,MIGUEL SEBASTIAN SANTOS
21006,2016,COAL,MIGUEL SEBASTIAN SANTOS
21006,2017,COAL,MIGUEL SEBASTIAN SANTOS
21006,2018,COAL,MIGUEL SEBASTIAN SANTOS
21006,2019,PRI,JUAN LUIS PEREZ PASTRANA
21006,2020,PRI,JUAN LUIS PEREZ PASTRANA
21006,2021,PRI,JUAN LUIS PEREZ PASTRANA
21006,2022,MORENA,PEDRO LUIS CRUZ BONILLA
21006,2023,MORENA,PEDRO LUIS CRUZ BONILLA
21006,2024,MORENA,PEDRO LUIS CRUZ BONILLA
21007,1993,PRI,VICTORIANO HERLINDO HERNANDEZ RODRIGUEZ
21007,1994,PRI,VICTORIANO HERLINDO HERNANDEZ RODRIGUEZ
21007,1995,PRI,VICTORIANO HERLINDO HERNANDEZ RODRIGUEZ
21007,1996,PRI,VICTORIANO HERLINDO HERNANDEZ RODRIGUEZ
21007,1997,PRI,JUAN ZUÑIGA BALBUENA
21007,1998,PRI,JUAN ZUÑIGA BALBUENA
21007,1999,PRI,JUAN ZUÑIGA BALBUENA
21007,2000,PRI,BARDOMIANO ANGEL MARTIÑON HERNANDEZ
21007,2001,PRI,BARDOMIANO ANGEL MARTIÑON HERNANDEZ
21007,2002,PRI,BARDOMIANO ANGEL MARTIÑON HERNANDEZ
21007,2003,PRI,MIGUEL ROMAN MADERO
21007,2004,PRI,MIGUEL ROMAN MADERO
21007,2005,PRI,MIGUEL ROMAN MADERO
21007,2006,PRI,FELIX FORTUNATO SERRANO SANCHEZ
21007,2007,PRI,FELIX FORTUNATO SERRANO SANCHEZ
21007,2008,PRI,FELIX FORTUNATO SERRANO SANCHEZ
21007,2009,PAN,CIPRIANO PASTOR LEON
21007,2010,PAN,CIPRIANO PASTOR LEON
21007,2011,PAN,CIPRIANO PASTOR LEON
21007,2012,APA,MIGUEL ROMAN MADERO
21007,2013,APA,MIGUEL ROMAN MADERO
21007,2014,APA,MIGUEL ROMAN MADERO
21007,2015,COAL,CECILIO LEZAMA HERNANDEZ
21007,2016,COAL,CECILIO LEZAMA HERNANDEZ
21007,2017,COAL,CECILIO LEZAMA HERNANDEZ
21007,2018,COAL,CECILIO LEZAMA HERNANDEZ
21007,2019,PRI,CECILIA HERNANDEZ ORDUÑA
21007,2020,PRI,CECILIA HERNANDEZ ORDUÑA
21007,2021,COAL,CECILIA HERNANDEZ ORDUÑA
21007,2022,COAL,CECILIA HERNANDEZ ORDUÑA
21007,2023,COAL,CECILIA HERNANDEZ ORDUÑA
21007,2024,COAL,CECILIA HERNANDEZ ORDUÑA
21008,1993,PRI,BENJAMIN SILVA CUEVAS
21008,1994,PRI,BENJAMIN SILVA CUEVAS
21008,1995,PRI,BENJAMIN SILVA CUEVAS
21008,1996,PRI,BENJAMIN SILVA CUEVAS
21008,1997,PRI,GERARDO SILVA VERGARA
21008,1998,PRI,GERARDO SILVA VERGARA
21008,1999,PRI,GERARDO SILVA VERGARA
