uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
21001,1992,PRI,C. VICTORIA LOPEZ LEON DE HUERTA
21001,1995,PAN,LIC. JUAN SERGIO SALAZAR VARGAS
21001,1998,PRI,C. JORGE ROSAS BARRANCO
21001,2001,PRI,C. FIDEL FLORES JIMENEZ
21001,2004,PRI,C. ROBERTO ALEJANDRO CONTRERAS BRETON
21001,2007,PAN,C. CARMELO MONTERO BARRANCO
21001,2010,APA,C. ROGELIO LEON BARRANCO
21001,2014,CM,C. OSWALDO SOLANO GONZALEZ
21001,2018,COAL.,C. ROBERTO RAMIREZ CERVANTES
21001,2021,MORENA,C. DAVID MELENDEZ LOPEZ
21002,1992,PRI,C. JUAN RODRIGUEZ MENDEZ
21002,1995,PRI,C. ADOLFO TORRE LEAL
21002,1998,PRI,C. JOSE BANDO MARTINEZ
21002,2001,PAN,C. ANDRES FLORES MARIN
21002,2004,PRD,C. NAHUM ALVARADO ALONSO
21002,2007,CXBP,C. GILBERTO RAMIREZ CASANOVA
21002,2010,CPP,ARQ. NAHUM GONZALEZ MENDEZ
21002,2014,CPU,C. JULIO CESAR CABAÑAS MENDEZ
21002,2018,COAL.,C. EDGAR DE JESUS MURRIETA NAVARRO
21002,2021,PES,C. JUAN CRUZ BELLO
21003,1992,PPS,ING. JESUS FRANCISCO ACOSTA RODRIGUEZ
21003,1995,PRI,PROFR. ANTONIO CRUZ REYES
21003,1998,PRI,C. SERGIO FERNANDO VERA ESPINOSA
21003,2001,PAN,C. ALFONSO DE JESUS CORREA LOPEZ
21003,2004,PRI,C. EUGENIO EDGARDO GONZALEZ ESCAMILLA
21003,2007,CUPG,PROFR. ARISTEO ARIZA ALONSO
21003,2010,APA,ARQ. LENIN MARTINEZ REYES
21003,2014,CPU,C. GUILLERMO MARTINEZ RODRIGUEZ
21003,2018,COAL.,C. MARIA DEL CARMEN NAVA MARTINEZ
21003,2021,C.C.,C. ARTURO CAJICA GOMEZ
21004,1992,PRI,LIC. ALEJANDRO ARMENTA MIER
21004,1995,PRI,LIC. JOSE ALEJANDRO SANCHEZ RAMIREZ
21004,1998,PRD,ARQ. JOSE NORBERTO MANUEL ROSALES GARCIA
21004,2001,PRI,C. RAYMUNDO TORRES AGUILA
21004,2004,PRI,C. JAVIER AQUINO LIMON
21004,2007,CUPG,C. ROBERTO BAUTISTA LOZANO
21004,2013,CPP,ING. DAVID GOMEZ JUAREZ
21004,2014,C5M,C. CARLOS ALEJANDRO VALDEZ TENORIO
21004,2018,COAL.,C. JOSE NORBERTO ROSALES GARCIA
21004,2021,COAL. JHH,C. ABRAHAM MARTINEZ JIMENEZ
21005,1992,PRI,C. LIDIO TAPIA MORALES
21005,1995,PRI,C. ANDRES PAVON ROSALES
21005,1998,PRI,C. ELIGIO JAVIER CUELLAR HIDALGO
21005,2001,PRI,C. ARMANDO MEDINA DURAN
21005,2004,PRI,C. ALFONSO SANDOVAL VARGAS
21005,2007,CUPG,C. ISABEL PONCIANO MEDINA CAÑONGO
21005,2010,APA,C. JUAN CARLOS DURAN BARRIENTOS
21005,2014,C5M,C. JUAN CUELLAR BRAVO
21005,2018,PSI,C. ALFONSO SANDOVAL VARHAS
21005,2021,C.C.,C. ALVARO TAPIA CASTILLO
21006,1919,NA,C. EDUARDO GARCÍA
21006,1940,NA,C. HERMINIO CASTILLA
21006,1941,NA,C. ALFONSO ROSAS
21006,1944,NA,C. SAMUEL ROSAS SANTOS
21006,1945,NA,C. HERIBERTO SOSA
21006,1947,NA,C. ODILÓN PÉREZ
21006,1948,NA,C. ISAIAS GARCÍA
21006,1951,NA,C. GUILLERMO MELO
21006,1954,NA,C. JAIME MELO LECHUGA
21006,1957,NA,C. HERIBERTO SOSA CUEVAS
21006,1959,NA,C. HERIBERTO SOSA CUEVAS
21006,1960,NA,C. HUMBERTO SOSA CUEVAS
21006,1961,NA,C. CARLOS PÉREZ TORRES
21006,1963,NA,C. MANUEL VÁZQUEZ RIVERA
21006,1964,NA,C. MANUEL VÁZQUEZ RIVERA
21006,1965,NA,C. MANUEL VÁZQUEZ RIVERA
21006,1966,NA,C. HERACLIO SOSA SOSA
21006,1969,NA,C. PÁNFILO PÉREZ GALINDO
21006,1972,NA,C. RICARDO SOSA CUEVAS
21006,1975,NA,C. JOSÉ SÁNCHEZ MUÑOZ
21006,1978,NA,C. RICARDO SOSA CUEVAS
21006,1981,NA,C. JAIME M. LECHUGA
21006,1984,NA,C. ROGELIO GARCÍA VÁZQUEZ
21006,1987,NA,C. JUAN PÉREZ SOSA
