uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
21001,1989,PRI,ORLANDO LEON BARRANCO,PAN,,0.7230652504
21001,1992,PRI,VICTORIA LOPEZ LEON,PAN,,0.3276360768
21001,1995,PAN,JUAN SERGIO SALAZAR VARGAS,PRI,,0.0149648783
21001,1998,PRI,JORGE ROSAS BARRANCO,PT,,0.0738719348
21001,2001,PRI,FIDEL FLORES JIMENEZ,PAN,,0.1078135643
21001,2004,PRI,ROBERTO ALEJANDRO CONTRERAS BRETON,PRD,,0.082725218
21001,2007,PAN,CARMELO MONTERO BARRANCO,PT,,0.0868661122
21001,2010,PRI_PVEM,ROGELIO LEON BARRANCO,PAN_PRD_PNA,,0.0589555169
21001,2014,PAN_PRD_PNA_CPP_PSI,ANTONIO AGUILAR REYES,MC,,0.0433809606
21001,2018,PT_MORENA_PES,ROBERTO RAMIREZ CERVANTES,PAN_PRD,,0.4159982257
21002,1989,PRI,BLAS SANCHEZ RODRIGUEZ,PFCRN,,0.9385560676
21002,1992,PRI,JUAN RODRIGUEZ MENDEZ,PAN,,0.3198237885
21002,1995,PRI,ADOLFO TORRES LEAL,PRD,,0.0928196147
21002,1998,PRI,JOSE BANDO MARTINEZ,PAN,,0.1869741352
21002,2001,PRI,ANDRES FLORES MARIN,PAN,,5.727377e-4
21002,2004,PRD,NAHUM ALVARADO ALONSO,PRI,,0.0817060637
21002,2007,PRD_CONVE,GILBERTO RAMIREZ CASANOVA,PRI_PVEM,,0.0228805395
21002,2010,PAN_PRD_PNA,NAHUM ALVARADO ALONSO,PRI_PVEM,,0.2169265033
21002,2013,PSI,JULIO CESAR CABAÑAS MENDEZ,PAN_PRD_PNA,,0.0148042993
21002,2018,PAN_PRD_MC,EDGAR JESUS MURRIETA NAVARRO,PSI,,0.1683301344
21003,1989,PRI,ADOLFO R S MARTINEZ GUZMAN,PRD,,0.5384615385
21003,1992,PRI,JESUS FRANCISCO ACOSTA RODRIGUEZ,PAN,,0.1582723061
21003,1995,PRI,?,PAN,,0.4201766304
21003,1998,PRI,SERGIO FERNANDO VERA ESPINOSA,PAN,,0.1155290479
21003,2001,PAN,ALFONSO DE JESUS CORREA LOPEZ,PRI,,0.4009557721
21003,2004,PRI,EUGENIO EDGARDO GONZALEZ ESCAMILLA,PRD,,0.1631832009
21003,2007,PRI_PVEM,ARISTEO ARIZA ALONSO,PNA,,0.089193503
21003,2010,PRI_PVEM,LENIN MARTINEZ REYES,PAN_PRD_PNA,,0.0354636404
21003,2013,PAN_PRD_PNA,GUILLERMO MARTINEZ RODRIGUEZ,PRI_PVEM,,0.0979206306
21003,2018,PT_MORENA_PES,MARIA DEL CARMEN NAVA MARTINEZ,PAN_PRD_MC,,0.0656929883
21004,1989,PRI,GILBERTO CAMACHO MARTINEZ,PFCRN,,0.9877249268
