uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
22001,1901,NA,C. JOSÉ MA. RUIZ ZAMORANO
22001,1905,NA,C. LUIS MIRANDA
22001,1906,NA,C. JESÚS F. CHÁVEZ
22001,1909,NA,C. JESÚS M. GONZÁLEZ
22001,1913,NA,C. JOSÉ BALLEZA
22001,1918,NA,C. ÁNGEL ALFARO
22001,1919,NA,C. FRUCTUOSO OBREGÓN
22001,1920,NA,C. J. SABINO RUIZ RUIZ
22001,1921,NA,C. JOSÉ RUIZ AYALA
22001,1922,NA,C. FAUSTINO RODRÍGUEZ RUIZ
22001,1924,NA,C. FRANCISCO PERRUSQUÍA COLÍN
22001,1925,NA,C. J. SABINO RUIZ RUIZ
22001,1928,NA,C. FÉLIX CASTRO SÁNCHEZ
22001,1929,NA,C. LUIS G. ALTAMIRANO
22001,1930,NA,C. ILDEFONSO ALVAREZ NAVARRETE
22001,1931,NA,C. GUILLERMO GUERRERO OLLOQUI
22001,1932,NA,C. JUAN PICHARDO ALCÁNTARA
22001,1933,NA,C. ABDÓN SAAVEDRA LIZARDI
22001,1934,NA,C. CARLOS AMADOR
22001,1935,NA,C. EDUARDO MORENO
22001,1936,NA,C. MAYOR JULIÁN V. GRIMALDA
22001,1937,NA,C. LUIS RAMÍREZ ARCE
22001,1939,NA,C. J. ENCARNACIÓN RODRÍGUEZ RODRÍGUEZ
22001,1941,NA,C. ANTONIO UGALDE CERVANTES
22001,1943,NA,C. JAVIER RODRÍGUEZ ORDÓÑEZ
22001,1946,NA,C. WILLEVALDO SANABRIA PIZAÑA
22001,1949,NA,C. PABLO J. GONZÁLEZ RUIZ
22001,1952,NA,C. MARTINIANO OBREGÓN NAVARRETE
22001,1955,NA,C. ANTONIO UGALDE CERVANTES
22001,1958,NA,C. RAFAEL CHAPARRO VALDÉZ
22001,1960,NA,C. LUCIO CARMONA BOLAÑOS
22001,1961,NA,C. HILARIO SÁNCHEZ ZAMORANO
22001,1964,NA,C. JOSÉ RUIZ RUIZ
22001,1967,NA,C. ÁNGEL MONDRAGÓN CHAPARRO
22001,1970,NA,C. MARTINIANO OBREGÓN NAVARRETE
22001,1973,NA,C. BENJAMÍN MONDRAGÓN MENDOZA
