uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
22001,1991,PRI,HECTOR RODRIGUEZ MONTOYA,PAN,,0.6736892127
22001,1994,PRI,MANUEL GONZALEZ SANCHEZ,PAN,,0.3593524503
22001,1997,PAN,JAVIER RODRIGUEZ FERRUSCA,PRI,,2.726839e-4
22001,2000,PRI,FELIPE VALDEZ LICEA,PAN,,0.06478021
22001,2003,PRI_PVEM,LUIS FRANCO MEJIA,PAN,,0.0832557273
22001,2006,PRI_PVEM,JAVIER CAJIGA RODRIGUEZ,PRD,,0.0097820308
22001,2009,PAN,ROSENDO ANAYA AGUILAR,PRI_PVEM,,0.0704438600685314
22001,2012,PAN,GILBERTO GARCIA VALDEZ,PRI_PVEM,,0.0704438601
22001,2015,PAN,ROSENDO ANAYA AGUILAR,PRI_PT,,0.06504036
22001,2018,PAN,ROSENDO ANAYA AGUILAR,PRI_PVEM,GUSTAVO EFRAIN MENDOZA NAVARRETE,0.129261555
22001,2021,PRI,RENE MEJIA MONTOYA,PAN_QI,VERONICA HERNANDEZ FLORES,0.0233918129
22002,1991,PRI,ARTURO FLORES ARELLANO,PFCRN,,0.8467425798
22002,1994,PRI,FRANCISCO OLVERA MARIN,PAN,,0.907660021
22002,1997,PRI,JOSE GUADALUPE ORDUÑA RIVERA,CONVE,,0.4560663944
22002,2000,PRI,DAVID HERRERA SANCHEZ,PAN,,0.169020945
22002,2003,PRI_PVEM,ISIDRO GARAY PACHECO,PAN,,0.2008136095
22002,2006,PAN,GUSTAVO BUENO VEGA,PRI_PVEM,,0.1448054108
22002,2009,PRI_PNA,JOSE ENRIQUE RESENDIZ MARTINEZ,PAN,,0.0199171587203666
22002,2012,PRI_PNA,CESAR FERNANDO ARCEGA PEREZ,PRD,,0.1084946547
22002,2015,PAN,GLORIA INES RENDON GARCIA,PRI_PT,,0.2171289701
22002,2018,PRI_PVEM,ISIDRO GARAY PACHECO,PAN,SILVIA  LANDAVERDE BOCANEGRA,0.017689188
22002,2021,PAN,MARIA GUADALUPE RAMIREZ PLAZA,PRI_PVEM,ISIDRO GARAY PACHECO,0.0981067126
22003,1991,PRI,MANUEL RAMOS SANCHEZ,PRD,,0.5618487844
22003,1994,PRI,DOMINGO GOMEZ LANDAVERDE,PRD,,0.5592207217
22003,1997,PRI,J ESTEBAN LUNA RAMIREZ,PRD,,0.3647770558
22003,2000,PRI,VICTOR ANTERO TORRES IBARRA,PRD,,0.326967961
22003,2003,PRI_PVEM,JOSE LUIS LUNA PALACIOS,PRD,,0.2188034188
22003,2006,PRD,MARIANO PALACIOS TREJO,PRI_PVEM,,0.1287528868
22003,2009,PRI,ANGEL ATANACIO TORRES BALDERAS,PRD,,0.108494654724068
22003,2012,PRI,ELFEGO TORRES BALDERAS,PAN,,0.1032617038
22003,2015,PAN,MARIA DIONICIA LOREDO SUAREZ,PRI_PT,,0.1771017248
22003,2018,PRI_PVEM,ILIANA GUADALUPE MONTES RIOS,PRD,MARIANO PALACIOS TREJO,0.0563554093
22003,2021,MORENA,OFELIA CASTILLO GUILLEN,PRI_PVEM,ILIANA GUADALUPE MONTES RIOS,0.0612745098
22004,1991,PRI,LUIS HITLER VELAZQUEZ OLVERA,PFCRN,,0.8822793339
22004,1994,PRI,ALEJANDRO HERNANDEZ OLVERA,PAN,,0.6498224852
22004,1997,PRI,MERCEDES DE LA CRUZ LACLETTE VILLARREAL,PAN,,0.1488377985
22004,2000,PAN,MIGUEL MARTINEZ PEÑALOZA,PRI,,0.1539373412
22004,2003,PAN,MARIO VAZQUEZ MORAN,PRI_PVEM,,0.0748904043
22004,2006,PRI_PVEM,ABELARDO ANTONIO LEDEZMA FREGOSO,PAN,,0.1441767068
