uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
27001,1919,NA,C. ENRIQUE GARCÍA GONZÁLEZ
27001,1942,NA,C. ABELARDO OCAMPO RAMÍREZ
27001,1944,NA,C. EULOGIO AZCÚAGA PINTO
27001,1945,NA,C. OTILIO MÉNDEZ BAQUEIRO
27001,1947,NA,C. FRANCISCO MARÍN RAMÍREZ
27001,1950,NA,C. HORACIO DOMÍNGUEZ MAZARIEGO
27001,1953,NA,C. AMBROSIO GONZÁLEZ BURELO
27001,1956,NA,C. JOSÉ LINO RIVERA CALVO
27001,1959,NA,C. AMAURI ABREU BERTRUY
27001,1962,NA,C. JOSÉ GÓMEZ ROY
27001,1965,NA,C. JAVIER ABREU GARCÍA
27001,1968,NA,C. RUBICEL MOGUEL PÉREZ
27001,1971,NA,C. JAIME ABREU GARCÍA
27001,1974,NA,C. ORIÓN MOGUEL PÉREZ
27001,1977,NA,C. AMBROSIO GONZÁLEZ RAMOS
27001,1980,NA,C. JOSÉ GÓMEZ LEZAMA
27001,1983,NA,C. PAULINO RIVERA CALVO
27001,1986,NA,C. DARWIN GONZÁLEZ BALLINA
27001,1987,NA,C. JOSÉ JORGE JIMÉNEZ CUETO
27001,1989,NA,C. VENTURA MOGUEL PÉREZ
27001,1992,PRI,Q.F.B. JAIME JAVIER CASTRO PAREDES
27001,1995,PRI,LIC. ALEJANDRO ARCO JUAREZ
27001,1998,PRI,LIC. JOSE ALVARO CASTRO MARIN
27001,2001,PRI,C. SAUL PLANCARTE TORRES
27001,2004,PRD,C. PATRICIO MOGUEL PEREZ
27001,2007,PRI,C. JOSE ARTURO ABREU RUIZ
27001,2010,PAN,C. MILTON LASTRA VALENCIA
27001,2013,PRI,C. PEDRO ARGUELLO HERNÁNDEZ
27001,2016,COAL.,C. MARIO EUGENIO BOCANEGRA CRUZ
27001,2018,MORENA,C. SAUL PLANCARTE TORRES
27001,2021,MORENA,C. LUISA DEL CARMEN CAMARA CABRALES
27002,1919,NA,C. VÍCTOR MORALES VIDAL
