uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
28001,1993,PRI,LUCIO JUVENAL RAMIREZ
28001,1994,PRI,LUCIO JUVENAL RAMIREZ
28001,1995,PRI,LUCIO JUVENAL RAMIREZ
28001,1996,PRI,OSCAR SALDAÑA SILVA
28001,1997,PRI,OSCAR SALDAÑA SILVA
28001,1998,PRI,OSCAR SALDAÑA SILVA
28001,1999,PRI,JUVENAL RAMIREZ LUCIO
28001,2000,PRI,JUVENAL RAMIREZ LUCIO
28001,2001,PRI,JUVENAL RAMIREZ LUCIO
28001,2002,PRI,RENATO RUIZ PEREZ
28001,2003,PRI,RENATO RUIZ PEREZ
28001,2004,PRI,RENATO RUIZ PEREZ
28001,2005,PRI,LUIS ORTIZ JARAMILLO
28001,2006,PRI,LUIS ORTIZ JARAMILLO
28001,2007,PRI,LUIS ORTIZ JARAMILLO
28001,2008,PAN,JUAN JOSE RODRIGUEZ GARZA
28001,2009,PAN,JUAN JOSE RODRIGUEZ GARZA
28001,2010,PAN,JUAN JOSE RODRIGUEZ GARZA
28001,2011,COAL,JUAN ANTONIO CURIEL CURIEL
28001,2012,COAL,JUAN ANTONIO CURIEL CURIEL
28001,2013,COAL,JUAN ANTONIO CURIEL CURIEL
28001,2014,TSTAMPS,EDUARDO MARTINEZ TORRES
28001,2015,TSTAMPS,EDUARDO MARTINEZ TORRES
28001,2016,TSTAMPS,EDUARDO MARTINEZ TORRES
28001,2017,COAL,YESIKA YANET SELVERA GARZA
28001,2018,PRI,YESIKA YANET SELVERA GARZA
28001,2019,PRI,YESIKA YANET SELVERA GARZA
28001,2020,PRI,YESIKA YANET SELVERA GARZA
28001,2021,PRI,YESIKA YANET SELVERA GARZA
28001,2022,PRI,RUBEN CURIEL CURIEL
28001,2023,PRI,RUBEN CURIEL CURIEL
28001,2024,PRI,RUBEN CURIEL CURIEL
28002,1993,PRI,LEOPOLDO MONTALVO DE LEIJA
28002,1994,PRI,LEOPOLDO MONTALVO DE LEIJA
28002,1995,PRI,LEOPOLDO MONTALVO DE LEIJA
28002,1996,PRI,J GUADALUPE GONZALEZ SEGURA
28002,1997,PRI,J GUADALUPE GONZALEZ SEGURA
28002,1998,PRI,J GUADALUPE GONZALEZ SEGURA
28002,1999,PRI,ABAD SMER SILVA
28002,2000,PRI,ABAD SMER SILVA
28002,2001,PRI,ABAD SMER SILVA
