uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1797,NA,C. ANASTASIO DE AYALA
NA,1806,NA,C. JOSÉ DE JESÚS SOLÍS
NA,1809,NA,C. JOSÉ DOMINGO DE LA GARZA
NA,1811,NA,C. JOSÉ DE JESÚS SOLÍS
NA,1836,NA,C. FELIPE DE LAGOS
NA,1842,NA,C. JUAN GONZÁLEZ DE CASTILLO
NA,1846,NA,C. JOSÉ MARÍA GIRÓN
NA,1849,NA,C. RAMÓN PRIETO
NA,1854,NA,C. JUAN RAMOS
NA,1855,NA,C. JOSÉ MARÍA CAVAZOS
NA,1861,NA,C. JOSÉ MARÍA CAVAZOS
NA,1862,NA,C. DIEGO FLORES
NA,1865,NA,C. MANUEL REYES APRESA
NA,1869,NA,C. PEDRO HINOJOSA
NA,1872,NA,C. AGUSTÍN MENCHACA
NA,1874,NA,C. JUAN N. CORTINAS
NA,1880,NA,C. LUIS RAMOS
NA,1882,NA,C. TOMÁS MARQUEZ
NA,1884,NA,C. TOMÁS HINOJOSA
NA,1887,NA,C. MELQUIADES TORRES
NA,1889,NA,C. SANTIAGO M. BELDEN
NA,1891,NA,C. CÁNDIDO M. ROSA
NA,1892,NA,C. RAFAEL SOLÍS
NA,1893,NA,C. MARGARITO CASTAÑEDA
NA,1895,NA,C. MANUEL VELA RAMÍREZ
NA,1896,NA,C. ARCADIO I. DOMÍNGUEZ
NA,1898,NA,C. RAFAEL SOLÍS
NA,1900,NA,C. JUAN F. DE LA GARZA
NA,1905,NA,C. MANUEL VELA RAMÍREZ
NA,1906,NA,C. ENRIQUE CAMARGO BRETON
NA,1908,NA,C. ANTONIO MARTÍNEZ GUTIÉRREZ
NA,1909,NA,C. JOSÉ MARÍA MARABOTO
NA,1910,NA,C. MANUEL VELA RAMÍREZ
NA,1913,NA,C. CANUTO BARRERA
NA,1914,NA,C. ANASTACIO GARCÍA
NA,1915,NA,C. TOMÁS R. MORALES
NA,1916,NA,C. TRINIDAD PEÑA
NA,1918,NA,C. JOSÉ GREGORIO MARTÍNEZ
NA,1919,NA,C. PABLO URBINA VALDEZ
NA,1920,NA,C. ERASMO VELA GARCÍA
NA,1921,NA,C. EDUARDO ALARCÓN
NA,1923,NA,C. EMETERIO FLORES
NA,1925,NA,C. SIMÓN VILLARREAL R.
NA,1927,NA,C. AMADO GONZÁLEZ PALACIOS
NA,1929,NA,C. GUILLERMO SCHEARS
NA,1930,NA,C. ELISEO SOLÍS
NA,1931,NA,C. LISANDRO GUEVARA LOZANO
NA,1932,NA,C. ENRIQUE PALACIOS OCHOA
NA,1933,NA,C. FRANCISCO ARRIAGA
NA,1934,NA,C. SEVERO BARRERA
NA,1935,NA,C. ARTURO GARCÍA CORTÉS
NA,1937,NA,C. GUADALUPE BALBOA
NA,1938,NA,C. FRANCISCO ZARATE
NA,1939,NA,C. FRANCISCO MU28A V.
NA,1940,NA,C. JUAN M. DÁVILA
NA,1941,NA,C. CELESTINO VELA
