uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
28001,1989,PRI,LUIS ORIVIEDO OVALLE,PFCRN,,0.4765886288
28001,1992,PRI,LUCIO JUVENAL RAMIREZ,PAN,,0.0552223371
28001,1995,PRI,OSCAR SALDAÑA SILVA,PAN,,0.4286331246
28001,1998,PRI,JUVENAL RAMIREZ LUCIO,PAN,,0.1045006761
28001,2001,PRI,?,PAN,,0.469773791
28001,2004,PRI,LUIS ORTIZ JARAMILLO,PAN,,0.2753790059
28001,2007,PAN,JUAN JOSE RODRIGUEZ GARZA,PRI_PNA,,0.0247021724
28001,2010,PRI_PNA,JUAN ANTONIO CURIEL CURIEL,PRD,,0.2412321395
28001,2013,PRI_PVEM_PNA,EDUARDO MARTINEZ TORRES,PRD,,0.189916789
28001,2016,PRI_PVEM_PNA,YESIKA YANET SELVERA GARZA,PAN,,0.0029717682
28001,2018,PRI,YESIKA YANET SELVERA GARZA,PAN_PRD_MC,HUMBERTO SALDAÑA BLANCO,0.05375
28001,2021,PRI,RUBEN CURIEL CURIEL,PAN,HUMBERTO SALDANA BLANCO,0.0597377368
28002,1989,PRI,?,PFCRN,,0.2299522039
28002,1992,PRI,?,PFCRN,,0.2538087011
28002,1995,PRI,?,PFCRN,,0.4975398313
28002,1998,PRI,?,PAN,,0.3203638201
28002,2001,PRI,MARIO FERNANDEZ ARTEAGA,PAN,,0.0559859155
28002,2004,PAN,FELIPE LOPEZ AVALOS,PRI,,0.180140304
28002,2007,PRI_PNA,ABAD SMER SILVA,PRD,,0.2329922168
28002,2010,PAN,ISMAEL HERVET BAUTISTA,PRI_PNA,,0.0012070006
28002,2013,PRI_PVEM_PNA,MARIO ZAMORANO CANTU,MC,,0.0166804685
28002,2016,PRI_PVEM_PNA,FAISAL SMER SILVA,MC,,0.0753702025
28002,2018,PAN_PRD_MC,JORGE LUIS GONZALEZ ROSALEZ,PRI,FAISAL SMER SILVA,0.1475399195
28002,2021,PAN,ALEJANDRO GARCIA BARRIENTOS,MC,JORGE LUIS GONZALEZ ROSALEZ,0.1236536238
28003,1989,PRI,?,PFCRN,,0.4411184592
28003,1992,PRI,?,PARM,,0.3102515925
28003,1995,PFCRN,?,PRI,,0.0399228079
28003,1998,PRI,?,PRD,,0.4580753629
28003,2001,PRI,JUAN GENARO DE LA PORTILLA NARVAEZ,PAN,,0.1556297897
28003,2004,PRI_PVEM,JUVENAL HERNANDEZ LLANOS,PAN,,0.0822973323
28003,2007,PRI_PNA,FRANCISCO JAVIER MARTIN GIL ORTIZ,PRD,,0.147531062
28003,2010,PRI_PVEM_PNA,PEDRO CARRILLO ESTRADA,PAN,,0.109344867
28003,2013,PRI_PVEM_PNA,ARMANDO LOPEZ FLORES,PAN,,0.5521133412
28003,2016,PAN,ALMA LAURA AMPARAN CRUZ,PRI_PVEM_PNA,,0.0547234236
28003,2018,PAN_PRD_MC,ALMA LAURA AMPARAN CRUZ,PT_MORENA_PES,CARLOS JAVIER GONZALEZ TORAL,0.1195189149
28003,2021,PT_MORENA,ARMANDO MARTINEZ MANRIQUEZ,PAN,JOSE CIRO HERNANDEZ ARTEAGA,0.044876812
28004,1989,PRI,?,PRD,,0.9339070568
28004,1992,PRI,?,PAN,,0.2116493656
28004,1995,PRI,?,PAN,,0.2656294201
28004,1998,PRI,?,PAN,,0.6630372493
28004,2001,PRI,JOEL LOPEZ TURRUBIATES,PAN,,0.1301020408
28004,2004,PRI,JAVIER MOLINA BARRERA,PAN,,0.0599207274
28004,2007,PAN,CARMELO TINAJERO CASTRO,PRI_PNA,,0.1558762887
28004,2010,PAN,ARTURO IBARRA TORRES,PRI_PNA,,0.1269617706
28004,2013,PAN,JOSE GUADALUPE TINAJERO CASTRO,PRI_PVEM_PNA,,0.0611361587
28004,2016,PAN,EVANGELINA AVILA CABRIALES,PRI_PVEM_PNA,,0.3565551289
28004,2018,PAN_PRD_MC,EVANGELINA AVILA CABRIALES,PRI,JOSE ROSARIO SANCHEZ HERNANDEZ,0.4111376585
28004,2021,PAN,CARMELO TINAJERO CASTRO,PT_MORENA,JODANY MINDALAY RODRIGUEZ RUIZ,0.6223159509
28005,1989,PRI,?,0,,1
28005,1992,PRI,?,PFCRN,,0.9853355894
28005,1995,PRI,?,PAN,,0.4770206022
28005,1998,PRI,?,PRD,,0.7682227682
28005,2001,PRI,ALEJANDRO MOYA GARZA,PAN,,0.091598916
28005,2004,PRI,HERACLIO GALVAN ESPINOZA,PAN,,0.6892554614
28005,2007,PRI_PNA,SERGIO PAULO ZUÑIGA GARZA,PRD,,0.433976834
28005,2010,PRI,FERNANDO LOPEZ PANDO,PAN,,0.5865782933
28005,2013,PRI_PVEM_PNA,MARCO OLO GARZA MARTINEZ,PAN,,0.0734206033
28005,2016,PAN,ALEJANDRO MOYA GARZA,PRI_PVEM_PNA,,0.0219373219
28005,2018,PAN,JORGE ELEAZAR GALVAN GARCIA,PRI,JAIME GALVAN GARCIA,0.2586750789
28005,2021,PAN,JORGE ELEAZAR GALVAN GARCIA,PT_MORENA,ROMULO MARTIN FLORES ALDAPE,0.0239199414
28006,1989,PRI,?,0,,1
28006,1992,PRI,?,PRD,,0.0841750842
28006,1995,PRI,?,PRD,,0.4741630277
28006,1998,PRI,?,PRD,,0.0585434174
28006,2001,PRI,JACINTO VASQUEZ REYNA,PAN,,0.5756592292
28006,2004,PRI,JULIO TORRES TORRES,PAN,,0.2557622883
28006,2007,PRI_PNA,JOSE ANTERO MEDINA CRUZ,PAN,,0.1150210084
28006,2010,PRI,JUVENCIO BECERRA PEREZ,PAN,,0.2064746368
28006,2013,PRI_PVEM_PNA,GILDARDO CHAIREZ PECINA,PAN,,0.097212932
28006,2016,PRI_PVEM_PNA,MARICELA RODRIGUEZ GONZALEZ,PAN,,0.370309181
28006,2018,PRI,MARICELA RODRIGUEZ GONZALEZ,PAN,JUANA CORREA ZUÑIGA,0.2080848244
28006,2021,PAN,BRISA VERBER RODRIGUEZ,PT_MORENA,JOSEFINA TEJADA ZAMARRIPA,0.3184754522
28007,1989,PRI,?,0,,1
28007,1992,PRI,?,PARM,,0.7785046729
28007,1995,PAN,?,PRI,,0.0587744198
28007,1998,PRI,?,PAN,,0.4653753857
28007,2001,PRI,JOSE CORREA GUERRERO,PAN,,0.1826060968
28007,2004,PRI,EDUARDO HINOJOSA CEPEDA,PRD_CONVE,,0.1511610026
28007,2007,PRI_PNA,JOSE CORREA GUERRERO,PAN,,0.6387671854
28007,2010,PRD,MARIA DEL CARMEN ROCHA HERNANDEZ,PRI_PNA,,0.4279483918
28007,2013,PRI_PVEM_PNA,BLAS LOPEZ GARCIA,PAN,,0.4249140893
28007,2016,PRI_PVEM_PNA,EDELMIRA GARCIA DELGADO,PAN,,0.076622248
28007,2018,PAN_PRD_MC,LETICIA PEÑA VILLARREAL,PT_MORENA_PES,ELIZABETH RESENDEZ DELGADO,0.16140972
28007,2021,PAN,MARIA DEL CARMEN ROCHA HERNANDEZ,PT_MORENA,ELIZABETH RESENDEZ DELGADO,0.0019917267
28008,1989,PRI,?,PARM,,0.4740634006
28008,1992,PRI,?,PAN,,0.2417783191
28008,1995,PRI,?,PAN,,0.3139664804
28008,1998,PRI,?,PAN,,0.3572905895
28008,2001,PRI,FRANCISCO JAVIER BARRON ZUÑIGA,PAN,,0.1130551817
28008,2004,PRI,JORGE CANDELARIO HINOJOSA RODRIGUEZ,PAN,,0.3698318946
28008,2007,PRI_PNA,SANTIAGO AVALOS MEDINA,PAN,,0.300610998
28008,2010,PRI_PNA,SANTOS ZURITA SANCHEZ,PAN,,0.0987139381
28008,2013,PRI_PVEM_PNA,SANTIAGO AVALOS MEDINA,PAN,,0.2347066167
28008,2016,PAN,JESUS ARTURO BARRON PERALES,PRI_PVEM_PNA,,0.0971814445
28008,2018,PAN,JANET ELENA BARRON PERALES,PRI,MIRNA ENEDELIA SANCHEZ LOPEZ,0.1629522431
28008,2021,PAN,MARIA OLGA HERNANDEZ AVALOS,PRI,IRMA GUADALUPE MARTINEZ MOTA,0.2115044248
28009,1989,PRI,BENITO IGNACIO SANTA MARIA,PRD,,0.069065938
28009,1992,PAN_PRD,ALFREDO PLIEGO ALDANA,PRI,,0.0061223578
28009,1995,PRD,JORGE MARIO SOSA POHL,PRI,,0.0327106996
28009,1998,PRD,JUAN MANUEL HERNANDEZ CORREA,PRI,,0.0966369621
28009,2001,PRD,JOAQUIN ANTONIO HERNANDEZ CORREA,PRI,,0.1286670401
28009,2004,PRI_PVEM,GUADALUPE GONZALEZ GALVAN,PRD_CONVE,,0.196321116
28009,2007,PRI_PNA,SERGIO ARTURO POSADAS LARA,PAN,,0.0020424624
28009,2010,PRI_PVEM_PNA,JAIME TURRUBIETAS SOLIS,PAN,,0.3397597094
28009,2013,PRI_PVEM_PNA,ESDRAS ROMERO VEGA,PAN,,0.101604665
28009,2016,PAN,JOSE ANDRES ZORILLA MORENO,PRI_PVEM_PNA,,0.1194697976
28009,2018,PT_MORENA_PES,ADRIAN OSEGUERA KERNION,PAN_PRD_MC,JOSE ANDRES ZORRILLA MORENO,0.0340670652
28009,2021,PT_MORENA,ADRIAN OSEGUERA KERNION,PAN,JAIME TURRUBIATES SOLIS,0.1405389417
28010,1989,PRI,SAMUEL BERLANGA GARCIA,0,,1
28010,1992,PRI,JOSE FELIPE GARCIA GARCIA,PARM,,0.8606557377
28010,1995,PRI,NOEL GOMEZ DE LA FUENTE,PAN,,0.6017167382
28010,1998,PRI,HERIBERTO RIVERA CANTU,PAN,,0.8329218107
28010,2001,PRI,JUAN AGUIRRE GALVAN,PAN,,0.2166549047
28010,2004,PRI,SAMUEL CEPEDA PALACIOS,PAN,,0.9384825701
28010,2007,PRI_PNA,HERIBERTO RIVERA CANTU,PAN,,0.5907036798
28010,2010,PRI,JOSE FELIPE GARCIA GARCIA,PAN,,0.0855614973
28010,2013,PRI,JUAN MANUEL VELA RIVAS,PAN,,0.8978723404
28010,2016,PRI,GUADALUPE AGUIRRE DE LEON,PAN,,0.7006324666
28010,2018,PT_MORENA_PES,OLGA LIDIA HERNANDEZ BARRIENTOS,PRI,ROSA MARIA COSTANTE ALVARADO,0.0317195326
28010,2021,PAN,MARIA ANGELINA GUERRERO GALVAN,PT_MORENA,OLGA LIDIA HERNANDEZ BARRIENTOS,0.1939362258
28011,1989,PRI,LEONCIO ALVAREZ MENDOZA,PFCRN,,0.7769577696
28011,1992,PRI,ESPERANZA BALDERAS MORALES,PARM,,0.5116154873
28011,1995,PRI,MARCELINO MENDOZA ROSAS,PAN,,0.2473567056
28011,1998,PRI,?,PAN,,0.5409666581
28011,2001,PRI,JOSE NIEVES GARCIA BERMUDEZ,PAN,,0.3948893572
28011,2004,PRI,ERNESTO ANGEL SAAVEDRA ALMAGER,PAN,,0.24547034
28011,2007,PAN,FRANCISCO JAVIER LOPEZ REYES,PRI_PNA,,0.0844210526
28011,2010,PRI_PNA,JOSE FLORES CASTELLANOS,PAN,,0.0398826979
28011,2013,PRI_PVEM_PNA,MARIA TERESA DE JESUS GALVAN GARCIA,PAN,,0.0771158666
28011,2016,PAN,FRANCISCO JAVIER LOPEZ REYES,PRI_PVEM_PNA,,0.2427576091
28011,2018,PAN,FRANCISCO JAVIER LOPEZ REYES,PRI,PERLA CASTILLO DE LA CRUZ,0.367888999
28011,2021,PAN,FRANK YUSSEF DE LEON AVILA,PVEM,ISAAC RODRIGUEZ HERNANDEZ,0.1377630553
28012,1989,PRI,?,PRD,,0.6253968254
28012,1992,PRI,?,PARM,,0.534656723
