uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1919,NA,C. ASCENCIÓN CASTILLO
NA,1949,NA,C. BENITO LOZADA
NA,1950,NA,C. GUILLERMO CALDERÓN R.
NA,1951,NA,C. LUIS PÉREZ HERNÁNDEZ
NA,1952,NA,C. ELOY SEVILLA
NA,1953,NA,C. PASCUAL LÓPEZ HERNÁNDEZ
NA,1954,NA,C. RODRIGO PÉREZ
NA,1955,NA,C. NICOLÁS PORTILLO
NA,1956,NA,C. FELIPE HERNÁNDEZ HERNÁNDEZ
NA,1957,NA,C. JESÚS OLIVER ROLDAN
NA,1958,NA,C. FEDERICO MERINO GARCÍA
NA,1959,NA,C. MIGUEL PAÚL ROSANO
NA,1960,NA,C. DIONISIO COVA COVA
NA,1961,NA,C. LUIS PALESTINA
NA,1962,NA,C. LUIS CASTAÑÓN HERNÁNDEZ
NA,1963,NA,C. JOEL FERNÁNDEZ P.
NA,1964,NA,C. JUAN CABRERA SÁNCHEZ
NA,1965,NA,C. ADÁN HERNÁNDEZ PÉREZ
NA,1966,NA,C. TEODORO MÉNDEZ
NA,1967,NA,C. FORTINO FERNÁNDEZ PAREDES
NA,1968,NA,C. CONSTANTINO HERNÁNDEZ
NA,1969,NA,C. AURELIO ZAMORA GARCÍA
NA,1970,NA,C. MARIANO LÓPEZ VEGA
NA,1971,NA,C. MARIO HERNÁNDEZ MUÑOZ
NA,1972,NA,C. JOSÉ LUIS ESPEJEL
NA,1974,NA,C. CLAUDIO HERNÁNDEZ
NA,1975,NA,C. TOMAS CONTRERAS JUÁREZ
NA,1976,NA,C. LAUREANO MORALES OSORNO
NA,1977,NA,C. MARCOS JUÁREZ HERNÁNDEZ
NA,1978,NA,C. MANUEL SÁNCHEZ ARMAS
NA,1979,NA,C. CUAUHTÉMOC COVA JUÁREZ
NA,1980,NA,C. MISAEL HERNÁNDEZ
NA,1981,NA,C. HERLINDA BARBA CHARLES
NA,1982,NA,C. GUILLERMO BONILLA PARADA
NA,1983,NA,C. MELESIO VÁZQUEZ
NA,1984,NA,C. FRANCISCO LUNA LUJA
NA,1985,NA,C. JUAN ARAGÓN GUERRERO
NA,1986,NA,C. CUPERTINO PÉREZ HERNÁNDEZ
NA,1988,NA,C. JOSÉ APOLONIO PANTOJA LARA
NA,1989,NA,C. JUAN HERNÁNDEZ CASTILLO
NA,1990,NA,C. REDENTOR PALACIOS
NA,1992,PRI,C. JOSE LUCIO HERNANDEZ HERNANDEZ
NA,1994,NA,C. JAIME GASPAR GARCÍA HERNÁNDEZ
NA,1995,CM-PRD-PRI,PROFR. TEODORO MUÑOZ PEREZ
NA,1996,NA,C. JOEL ÁVILA CASTAÑEDA
NA,1998,PRI,L.A.E. MARIO HERNANDEZ RAMIREZ
NA,2001,PRD,C. PEDRO PEREZ HERNANDEZ
NA,2004,PRD,ING. OSVALDO PEREZ CRUZ
NA,2007,ASXXI,DR. ESCARLET HERNANDEZ LOPEZ
NA,2010,UPT,C. GERARDO ROLDAN HERNANDEZ
NA,2013,PRD,C. CARLOS LUNA VÁZQUEZ
NA,2016,PVEM,C. FAUSTINO CARIN MOLINA CASTILLO
NA,2021,MORENA,C. NANCY CORTES VAZQUEZ
