uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
29001,1991,PRI,LUCINO HERNANDEZ HERNANDEZ,PRD,,0.6626984127
29001,1994,PRI,TEODORO MUÑOZ PEREZ,PRD,,0.0468364832
29001,1998,PRI,MARIO HERNANDEZ RAMIREZ,PRD,,0.0484685291
29001,2001,PRD,PEDRO PEREZ HERNANDEZ,PRI,,0.0441221845
29001,2004,PRD,OSVALDO PEREZ CRUZ,PAN,,0.0401488966
29001,2007,PRI_PVEM,ESCARLET HERNANDEZ LOPEZ,PRD,,0.089540199
29001,2010,PRI_PVEM,GERARDO ROLDAN HERNANDEZ,PRD,,0.0502229524
29001,2013,PRD,CARLOS LUNA VAZQUEZ,PVEM,,0.1371833405
29001,2016,PVEM,FAUSTINO CARIN MOLINA CASTILLO,MORENA,,0.0269966254
29001,2021,MORENA,NANCY CORTES VAZQUEZ ,PRI,,0.0277485072
29002,1991,PRI,ERNESTO ORDOÑEZ CARRERA,0,,1
29002,1994,PAN,LAURO REYES RAMOS,PRI,,0.0394871795
29002,1998,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRD,,0.4567928731
29002,2001,PAN,JOSE ALFREDO ONESIMO MUÑOZ PEREZ,PRI,,0.0930930931
29002,2004,PRD,MARIA DEL RAYO NETZAHUATL ILHUICATZI,PRI_PVEM,,0.0942837226
29002,2007,PAN_PAC,ERASMO RAMIREZ TORRES,PCDT,,0.0904181185
29002,2010,PRI_PVEM,FELICIANO RAUL ACOLTZI VAZQUEZ,PAN_PNA_PAC,,0.1486423584
29002,2013,PAN,VALENTIN GUTIERREZ HERNANDEZ,PAC,,0.0114471453
29002,2016,PRD,ELOY REYES JUAREZ,PAN,,0.0120435618
29002,2021,PAN,ANGELO GUTIERREZ HERNANDEZ ,MORENA,,0.0781740039
29003,1991,PRI,ROSENDO MARCIAL PALACIOS HERNANDEZ,PAN,,0.945799458
29003,1994,PRI,SABINO A. VILLORDO FLORES,0,,1
29003,1998,PRI,MAYORICO CALDERON MACIAS,PAN,,0.2429171039
29003,2001,PRI,WILIULFO MACIAS GONZALEZ,PRD,,0.073587385
29003,2004,PRI_PVEM,JOSE ALEJANDRO JIMENEZ BARRERA,PRD,,0.0691056911
29003,2007,PAN_PAC,JOSE JUAN PELCASTRE VAZQUEZ,PRI_PVEM,,0.0841307815
29003,2010,PRI_PVEM,PEDRO CORDERO CALDERON,PAC,,0.1855172414
29003,2013,PT,SERGIO FAJARDO MATEOS,PRI,,0.0583434099
29003,2016,PRI,JOSE MACIAS GONZALEZ,PNA,,0.2508465011
29003,2021,PRI,ALFREDO PONCE HERNANDEZ ,PAN,,0.0585906572
29004,1991,PRI,MARIA LEONILA LEONOR SANCHEZ DIAZ,PRD,,0.6209150327
29004,1994,PRI,JOSE GREGORIO HERNANDEZ QUIROZ,PRD,,0.6501587302
29004,1998,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211
29004,2001,PRI,JOSE EMILIO S MARTINEZ HERNANDEZ,PAN,,0.1809169765
29004,2004,PRI_PVEM,ALEJANDRO LOPEZ HERNANDEZ,PAN,,0.1056816299
29004,2007,PAN_PAC,JOSE GUILLERMO LOAIZA MERINO,CONVE,,0.0467898243
29004,2010,PS,JOSE DE JESUS PAREDES GARCIA,PRI_PVEM,,2.817298e-4
29004,2013,PAN,VITAL RODRIGUEZ RODRIGUEZ,PRI,,0.1277838627
29004,2016,PRI,NOE PARADA MATAMOROS,PRD,,0.149288011
29004,2021,PRI,GUSTAVO PARADA MATAMOROS ,PVEM,,0.0113452188
29005,1991,PRI,RAMON HERNANDEZ MARQUEZ,PAN,,0.7092658228
29005,1994,PRI,SERGIO PINTOR CASTILLO,PAN,,0.3482653197
29005,1998,PRI,FERNANDO LEON NAVA,PRD,,0.1790215766
29005,2001,PRD,BALTAZAR MALDONADO ROSALES,PRI,,0.1341106599
29005,2004,PT,REYES RUIZ PEÑA,PRI_PVEM,,0.0012465719
29005,2007,PAN_PAC,ALEX ORTIZ ZAMORA,PRD,,0.0485962261
29005,2010,PAN_PNA,ORLANDO SANTACRUZ CARREÑO,PT,,0.0102391249
29005,2013,PAN,JORGE LUIS VAZQUEZ RODRIGUEZ,PRI,,0.005891425
29005,2016,PAN,JULIO CESAR HERNANDEZ MEJIA,PRI,,0.0515460977
29005,2021,PAN,PABLO BADILLO SANCHEZ ,MORENA,,0.0534250812
29006,1991,PRI,NOE RODRIGUEZ ROLDAN,PAN,,0.805410628
29006,1994,PAN,NOE GALAN HERNANDEZ,PRI,,0.0685673411
29006,1998,PVEM,AURELIO BRINDIS MELLADO,PRI,,0.0244863278
