uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1919,NA,C. GABINO CASTAÑEDA ANCONA
NA,1939,NA,C. FULGENCIO GURUBEL D.
NA,1941,NA,C. ENRIQUE LOPEZ
NA,1943,NA,C. ALFONSO AGUILAR REYES
NA,1945,NA,C. JOSE ISABEL DOMÍNGUEZ
NA,1946,NA,C. SANTIAGO PADILLA RODRÍGUEZ
NA,1947,NA,C. JUAN PABLO LOPEZ
NA,1950,NA,C. ENRIQUE LOPEZ
NA,1953,NA,C. MARCELO NARVÁEZ YAM
NA,1956,NA,C. JOSE PECH
NA,1957,NA,C. GABRIEL CUMÍ PIB
NA,1959,NA,C. SANTIAGO SOSA EK
NA,1960,NA,C. ALEJANDRO PUE TUZ
NA,1962,NA,C. JOSE ISABEL SOSA M.
NA,1963,NA,C. NARCISO ALCOCER
NA,1964,NA,C. ISAURO ROMERO SALAZAR
NA,1965,NA,C. JOSE APOLINAR EUAN B.
NA,1966,NA,C. FELIPE CANCHÉ LÓPEZ
NA,1967,NA,C. MARIANO BRAGA CORDERO
NA,1968,NA,C. ONESIMO LOPEZ LOPEZ
NA,1969,NA,C. GABINO LUGO
NA,1970,NA,C. ALVARO HERNÁNDEZ RUELAS
NA,1971,NA,C. ADRIANO SOSA MEDINA
NA,1974,NA,C. ONESINO LOPEZ LOPEZ
NA,1975,NA,C. JOSE MARIA PAJON TORRES
NA,1976,NA,C. ROSENDO SOSA MEDINA
NA,1977,NA,C. ADRIANA HUCHIM PALOMO
NA,1979,NA,C. RAFAEL DOMÍNGUEZ PECH
NA,1981,NA,C. LUIS ESCALANTE TUR
NA,1982,NA,C. ROBERTO AGUAYO CAAMAL
NA,1985,NA,C. GUILLERMO MENA BALAM
NA,1986,NA,C. FELIPE CANCHÉ LÓPEZ
NA,1988,NA,C. ROMAN A. DOMINGUEZ FUENTES
NA,1991,NA,PROFR. CARLOS ISRAEL LOPEZ DOMÍNGUEZ
NA,1994,PRI,C. ELEUTERIO BALAM FUENTES
NA,1995,PRI,C. ROBERTO ISMAEL SOSA MEDINA
NA,1998,PRI,C. SANTOS DIEGO BALAM DOMINGUEZ
NA,2001,PAN,C. ARTURO SOSA SUAREZ
NA,2004,PAN,DR. JUSTINO SOSA BAEZ
NA,2007,COALICIÓN,C. CRISTINA AYALA LOPEZ
NA,2009,PAN,C.P. ARTURO SOSA SUAREZ
NA,2012,PAN,C. JOSE CANDELARIO AC CANCHE
NA,2015,PRI,C. AZAEL AYALA SOSA
NA,2018,COAL.,C. ARTURO SOSA SUAREZ
NA,2019,COAL.,C. SANTOS JAVIER CARDENAS POOT
NA,2021,PRI,C. MARIA LORENZA AYALA LOPEZ
