uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
31001,1990,PRI,CARLOS ISRAEL LOPEZ DOMINGUEZ,PAN,,0.5666104553
31001,1993,PRI,ELEUTERIO BALAM FUENTES,PAN,,0.3829557713
31001,1995,PRI,ROBERT ISMAEL SOSA MEDINA,PAN,,0.2670636738
31001,1998,PRI,SANTOS DIEGO BALAM DOMINGUEZ,PAN,,0.3471882641
31001,2001,PAN,ARTURO SOSA SUAREZ,PRI,,0.0847756976
31001,2004,PAN,JUSTINO SOSA BAEZ,PRI,,0.1857783472
31001,2007,PT_CONVE,CRISTINA AYALA LOPEZ,PAN,,0.0707280832
31001,2010,PAN,ARTURO SOSA SUAREZ,PRI,,0.0056270096
31001,2012,PAN,JOSE CANDELARIO AC CANCHE,PRI,,0.0981259761
31001,2015,PRI,AZAEL AYALA SOSA,PAN,,0.0572967679
31001,2018,PAN_MC,ARTURO SOSA SUAREZ,PRI_PVEM,MARIA LORENZA AYALA LOPEZ,0.0079042457
31001,2021,PRI,MARIA LORENZA AYALA LOPEZ,PAN_PNA,,0.1224489796
31002,1990,PRI,JOSE INOCENCIO RICALDE UICAB,PAN,,0.7741935484
31002,1993,PRI,RIGOBERTO TORRES DIAZ,PAN,,0.3192112976
31002,1995,PRI,EUSEBIO ESTRELLA CHAN,PAN,,0.3603388933
31002,1998,PRI,JOSE JULIO MUKUL ZAPATA,PAN,,0.6432407191
31002,2001,PRI,JOSE SIMON ZAPATA ESCALANTE,PAN,,0.0977729495
31002,2004,PAN,GREGORIO DZUL MAY,PRI,,0.2631126397
31002,2007,PRI,VICTOR FILIBERTO MEX HUCHIN,PAN,,0.2089692102
31002,2010,PVEM,JUAN ANTONIO PECH,PAN,,0.0210218572
31002,2012,PAN,JORGE FAUSTINO TOLOSA POOL,PRI,,0.0864995958
31002,2015,PNA,GUADALUPE ELIZABETH ZAPATA GONZALEZ,PRI_PH_PES,,0.120958874
31002,2018,PVEM,FELIPE DE JESUS MEDINA CHI,PRI_PNA,MARIO CRUZ HERRERA,0.0113089005
31002,2021,PNA,MARIO CRUZ HERRERA,MC,,0.1693807585
31003,1990,PRI,CAYETANO CHAN DZUL,0,,1
31003,1993,PRI,CARLOS MANUEL MAGAÑA REYES,PAN,,0.134500427
31003,1995,PRI,VICTOR MANUEL CANTO CHAN,PAN,,0.115625
31003,1998,PRI,VICENTE ALBERTO VELA VELA,PAN,,0.4112622588
31003,2001,PRI,HECTOR GONGORA NIC,PAN,,0.1943412404
