uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
32001,1992,PRI,ABRAHAM CORTEZ VALLEJO
32001,1993,PRI,ABRAHAM CORTEZ VALLEJO
32001,1994,PRI,ABRAHAM CORTEZ VALLEJO
32001,1995,PRI,ABRAHAM CORTEZ VALLEJO
32001,1996,PRI,SERGIO VAZQUEZ JAUREGUI
32001,1997,PRI,SERGIO VAZQUEZ JAUREGUI
32001,1998,PRI,SERGIO VAZQUEZ JAUREGUI
32001,1999,PAN,FRANCISCO JAUREGUI SERRANO
32001,2000,PAN,FRANCISCO JAUREGUI SERRANO
32001,2001,PAN,FRANCISCO JAUREGUI SERRANO
32001,2002,PRD,J JESUS ESTRADA MERCADO
32001,2003,PRD,J JESUS ESTRADA MERCADO
32001,2004,PRD,J JESUS ESTRADA MERCADO
32001,2005,PRI,JOAQUIN ROBLES GONZALEZ
32001,2006,PRI,JOAQUIN ROBLES GONZALEZ
32001,2007,PRI,JOAQUIN ROBLES GONZALEZ
32001,2008,PRI,MIGUEL SANDOVAL BAÑUELOS
32001,2009,PRI,MIGUEL SANDOVAL BAÑUELOS
32001,2010,PRI,MIGUEL SANDOVAL BAÑUELOS
32001,2011,PRIZAC,AGUSTIN GARAY VILLALPANDO
32001,2012,PRIZAC,AGUSTIN GARAY VILLALPANDO
32001,2013,PRIZAC,AGUSTIN GARAY VILLALPANDO
32001,2014,PRI,MARTIN VALDEZ HUERTA
32001,2015,PRI,MARTIN VALDEZ HUERTA
32001,2016,PRI,MARTIN VALDEZ HUERTA
32001,2017,COAL,OSVALDO VALADEZ CORTES
32001,2018,COAL,OSVALDO VALADEZ CORTES
32001,2019,PRI,DORA ISABEL JAUREGUI ESTRADA
32001,2020,PRI,DORA ISABEL JAUREGUI ESTRADA
32001,2021,PRI,DORA ISABEL JAUREGUI ESTRADA
32001,2022,MORENA,GABRIELA ARELLANO QUEZADA
32001,2023,MORENA,GABRIELA ARELLANO QUEZADA
32001,2024,MORENA,GABRIELA ARELLANO QUEZADA
32002,1992,PRI,GERONIMO TORRES LECHUGA
32002,1993,PRI,GERONIMO TORRES LECHUGA
32002,1994,PRI,GERONIMO TORRES LECHUGA
32002,1995,PRI,GERONIMO TORRES LECHUGA
32002,1996,PRI,EFREN RODRIGUEZ VALDIVIA
32002,1997,PRI,EFREN RODRIGUEZ VALDIVIA
32002,1998,PRI,EFREN RODRIGUEZ VALDIVIA
32002,1999,PRI,RAUL IBARRA RAMIREZ
32002,2000,PRI,RAUL IBARRA RAMIREZ
32002,2001,PRI,RAUL IBARRA RAMIREZ
32002,2002,PRI,RAMON GARCIA HUIZAR
32002,2003,PRI,RAMON GARCIA HUIZAR
32002,2004,PRI,RAMON GARCIA HUIZAR
32002,2005,PRD,MARTIN CARVAJAL MARTINEZ
32002,2006,PRD,MARTIN CARVAJAL MARTINEZ
32002,2007,PRD,MARTIN CARVAJAL MARTINEZ
32002,2008,PRI,FIDEL RODRIGUEZ LEDEZMA
32002,2009,PRI,FIDEL RODRIGUEZ LEDEZMA
32002,2010,PRI,FIDEL RODRIGUEZ LEDEZMA
