uniqueid,year,incumbent_party_Horacio
32001,1998,PAN
32001,2001,PRD
32001,2004,PRI
32001,2007,PRI
32001,2010,PRI_PVEM_PANAL
32001,2013,PRI
32001,2016,PAN_PRD
32001,2018,NA
32002,1998,PRI
32002,2001,PRI
32002,2004,PRD
32002,2007,PRI
32002,2010,PRI_PVEM_PANAL
32002,2013,PVEM
32002,2016,PRI_PVEM
32002,2018,NA
32003,1998,PAN
32003,2001,PAN
32003,2004,PAN
32003,2007,PRD_MC
32003,2010,PRD_MC
32003,2013,PRI
32003,2016,PRI_PVEM
32003,2018,NA
32004,1998,PAN
32004,2001,PRI
32004,2004,PAN
32004,2007,PRI
32004,2010,PRI_PVEM_PANAL
32004,2013,PAN_PRD
32004,2016,PAN_PRD
32004,2018,NA
32005,1998,PRD
32005,2001,PAN
32005,2004,PRI_PT_PVEM
32005,2007,PRD_MC
32005,2010,PRI_PVEM_PANAL
32005,2013,PRI
32005,2016,PAN_PRD
32005,2018,NA
32006,1998,PRI
32006,2001,MC
32006,2004,PRD
32006,2007,PT
32006,2010,PAN_PT
32006,2013,PRI
32006,2016,PAN_PRD
32006,2018,NA
32007,1998,PRI
32007,2001,PRD
32007,2004,PRI
32007,2007,PRI
32007,2010,PRI_PVEM_PANAL
32007,2013,PAN_PRD
32007,2016,PRI_PVEM
32007,2018,NA
32008,1998,PRI
32008,2001,PAN
32008,2004,PRD
32008,2007,PRI
32008,2010,PAN
32008,2013,PVEM
32008,2016,PRI_PVEM
32008,2018,NA
32009,1998,PRI
32009,2001,PAN
32009,2004,PRI
32009,2007,PRI
32009,2010,PAN
32009,2013,PRI
32009,2016,PRI_PVEM_PANAL
32009,2018,NA
32010,1998,PRD
32010,2001,PRD
32010,2004,PRD
32010,2007,PT
32010,2010,PT
32010,2013,PRI
32010,2016,PRI_PVEM_PANAL
32010,2018,NA
32011,1998,PRI
32011,2001,PRI
32011,2004,PRD
32011,2007,PRI
32011,2010,PRI_PVEM_PANAL
32011,2013,PRI
32011,2016,PRI_PVEM
32011,2018,NA
32012,1998,PRI
32012,2001,PRD
32012,2004,PRD
32012,2007,PAN
32012,2010,PRD_MC
32012,2013,PRI
32012,2016,PRI_PVEM
32012,2018,NA
32013,1998,PRD
32013,2001,PRI
