uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
32001,1919,NA,C. IGNACIO CORTÉS ULLOA
32001,1949,NA,C. ABRAHAM CORTÉS ULLOA
32001,1954,NA,C. JOSÉ ROBLES
32001,1956,NA,C. NICOLÁS MERCADO GALARZA
32001,1959,NA,C. BENJAMÍN LUNA
32001,1963,NA,C. GONZALO ROBLES
32001,1965,NA,C. JESÚS ROBLES FLORES
32001,1968,NA,C. PEDRO MERCADO VÁZQUEZ
32001,1971,NA,C. RIGOBERTO SANDOVAL
32001,1974,NA,C. AGUSTÍN MACÍAS IBARRA
32001,1977,NA,C. ENRIQUE MERCADO SANDOVAL
32001,1980,NA,C. NAPOLEÓN GONZÁLEZ HDEZ
32001,1983,NA,C. ALBERTO BAÑUELOS FLORES
32001,1986,NA,C. ARTURO VIRAMONTES JURADO
32001,1989,NA,C. ALBERTO BAÑUELOS FLORES
32001,1992,PRI,C. ABRAHAM CORTEZ VALLEJO
32001,1995,PRI,C. SERGIO VAZQUEZ JAUREGUI
32001,1998,PAN,PROFR. FRANCISCO JAUREGUI SERRANO
32001,2001,PRD,C. J. JESUS ESTRADA MERCADO
32001,2004,PRI,C. JOAQUIN ROBLES GONZALEZ
32001,2007,PRI,C. MIGUEL SANDOVAL BAÑUELOS
32001,2010,PRIZAC,PROFR. AGUSTIN GARAY VILLALPANDO
32001,2013,PRI,PROFR. MARTIN VALDEZ HUERTA
32001,2016,COAL.,C. OSVALDO VALADEZ CORTES
32001,2018,PRI,C. DORA ISABEL JAUREGUI ESTRADA
32001,2021,MORENA,C. GABRIELA ARELLANO QUEZADA
32002,1919,NA,C. MARCIANO ULLOA
32002,1942,NA,C. NICOLÁS BECERRA
32002,1944,NA,C. ELEUTERIO YAÑEZ
32002,1945,NA,C. SIXTO ULLOA RODRÍGUEZ
32002,1946,NA,C. LUCIO RODRÍGUEZ MORA
32002,1950,NA,C. HILARIO MORA GARCÍA
32002,1951,NA,C. CARLOS FUENTES ANDRADE
32002,1953,NA,C. ANSELMO AGUIRRE JÍMENEZ
32002,1956,NA,C. EMIGDIO MORA RODRÍGUEZ
32002,1959,NA,C. ANSELMO AGUIRRE JÍMENEZ
32002,1962,NA,C. PEDRO MARIN LECHUGA
32002,1965,NA,C. PORFIRIO SEPULVEDA CRUZ
32002,1968,NA,C. J. GUADALUPE ALCALA S.
32002,1971,NA,C. LIBORIO LÓPEZ NOLASCO
32002,1974,NA,C. BARTOLO JAUREGUI CERVERA
32002,1977,NA,C. OSWALDO RUVALCABA
32002,1980,NA,C. BONIFACIO MARIN LÓPEZ
32002,1983,NA,C. J. LEÓN VIDAURRI MORA
32002,1986,NA,C. ARMANDO VALDIVIA JAUREGUI
32002,1989,NA,C. AMADO ALCALA VILLEGAS
