uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
32001,1992,PRI,ABRAHAM CORTES VALLEJO,PRD,,0.668997669
32001,1995,PRI,SERGIO VAZQUEZ JAUREGUI,PAN,LUIS VALENZUELA NUÑEZ,0.0584749111
32001,1998,PAN,FRANCISCO JAUREGUI SERRANO,PRI,JOSE ERNESTO SALAS ROBLES,0.0669856459
32001,2001,PRD,JESUS ESTRADA MERCADO,PAN,,0.1390728477
32001,2004,PRI,JOAQUIN ROBLES GONZALEZ,PRD,,0.0133239832
32001,2007,PRI,MIGUEL SANDOVAL BAÑUELOS,PAN,,0.0977596741
32001,2010,PRI_PVEM_PNA,AGUSTIN GARAY VILLALPANDO,PAN,CAMILO PONCE LIMON,0.1161473088
32001,2013,PRI,MARTIN VELOZ HUERTA,PAN_PRD,GUILLERMO CARRILLO RAMIREZ,0.0015610365
32001,2016,PAN_PRD,OSVALDO VALADEZ CORTES,PNA,J JESUS ESTRADA MERCADO,0.0556097561
32001,2018,PRI,DORA ISABEL JAUREGUI ESTRADA,PVEM,OSVALDO VALADEZ CORTES,0.0915233415
32002,1992,PRI,JERONIMO TORRES LECHUGA,PAN,,0.5470643057
32002,1995,PRI,EFREN RODRIGUEZ VALDIVIA,PAN,PETRA GOMEZ REGALADO,0.2865090403
32002,1998,PRI,RAUL IBARRA RAMIREZ,PRD,,0.4123196448
32002,2001,PRI,RAMON GARCIA GUIZAR,CONVE,,0.034795764
32002,2004,PRD,MARTIN CARVAJAL MARTINEZ,PRI,,0.0195058518
32002,2007,PRI,FIDEL RODRIGUEZ LEDEZMA,PT,,0.0883084577
32002,2010,PRI_PVEM_PNA,JOSE SOCORRO RAMIREZ HERNANDEZ,PRD_CONVE,ALBERTO SANDOVAL LECHUGA,0.0660856935
32002,2013,PVEM,DANIEL DONOSO RINCON,PRI,LUIS OCTAVIO LOZANO HUIZAR,0.0692360164
32002,2016,PRI_PVEM,MARIA DEL ROSARIO RAMIREZ HERNANDEZ,PT,EZEQUIEL RODRIGUEZ HERNANDEZ,0.0229374769
32002,2018,PRI,YANET MORALES HUIZAR,MD,EZEQUIEL RODRIGUEZ HERNANDEZ,0.0208257216
32003,1992,PRI,RUBEN ROSALES PAREDES,PAN,,0.260342368
32003,1995,PRI,RUTILIO CASTAÑEDA CASAS,PAN,RAUDEL CASTAÑEDA HERNANDEZ,0.1195418754
32003,1998,PAN,ALEJANDRO CASTAÑEDA OROZCO,PRI,,0.0650354153
32003,2001,PRD,PEDRO JARA DELGADO,PAN,,0.0121293801
32003,2004,PAN,RODOLFO CASTRO LOPEZ,PRD,,0.0293255132
32003,2007,PRD_CONVE,CAMERINA BUGAIN ROSALES,PAN,,0.0594427245
32003,2010,PRD_CONVE,ELIZABETH CORTES SANDOVAL,PRI_PVEM_PNA,JACOBO CASTAÑEDA CASTAÑEDA,0.0322147651
32003,2013,PRI,GERMAN ABEL CASTAÑEDA DELGADO,PAN_PRD,CAMERINA BUGARIN ROSALES,0.2920880428
32003,2016,PRI_PVEM,GLORIA MARILU COVARRUBIAS FIGUEROA,PNA,PEDRO JARA DELGADO,0.1789679948
32003,2018,PVEM,ALONSO CASTAÑEDA RODRIGUEZ,PAN_PRD_MC,EDELMIRA SALINAS SALINAS,0.1355815554
32004,1992,PRI,ASTROBERTO LAMAS ARELLANO,PAN,,0.1971544715
32004,1995,PAN,LUIS ARELLANO GONZALEZ,PRI,RIGOBERTO VILLEGAS CORREA,0.0486752927
32004,1998,PAN,MAXIMILIANO CORREA CORREA,PRI,,0.0201634877
32004,2001,PRI,ASCENSION CORREA ALVAREZ,PAN,,0.055586749
32004,2004,PAN,J REFUGIO COVARRUBIAS AVILA,PRI,,0.0236220472
32004,2007,PRI,VICTOR JAVIER CAMPOS GONZALEZ,PAN,,0.2037325039
32004,2010,PRI_PVEM_PNA,FORTINO CORTES SANDOVAL,PAN,JOSE GUADALUPE CORREA VALDEZ,0.0924731183
32004,2013,PAN_PRD,JOSE GUADALUPE CORREA VALDEZ,PRI,ALBERTO ARELLANO CORTES,0.2106982442
32004,2016,PAN_PRD,JOSE ALONZO ARELLANO CORTES,PRI_PVEM,MARIELA HERRERA BERUMEN,0.197301855
32004,2018,PAN_PRD_MC,JOSE ALONZO ARELLANO CORTES,PRI,MIRIAM SANDOVAL ROSALES,0.2566955089
32005,1992,PRI,ANSELMO TOVAR NAVARRO,PRD,,0.4643274854
32005,1995,PAN,PEDRO MARTINEZ FLORES,PRI,ANDRES MURILLO MURO,0.183842061
32005,1998,PRD,MANUEL REVELES HERNANDEZ,PAN,,0.1114451364
32005,2001,PAN,ANGEL GERARDO HERNANDEZ VAZQUEZ,PRD,,0.1367045211
32005,2004,PRI_PVEM_PT,JOSE SALOME MARTINEZ MARTINEZ,PRD,,0.1210600326
32005,2007,PRD_CONVE,HORACIO MEJIA HARO,PAN,,0.0343185876
32005,2010,PRI_PVEM_PNA,RODRIGO SAUCEDO RAMIREZ,PRD_CONVE,RAUL ACUÑA GONZALEZ,0.105010661
32005,2013,PRI,IVANHOE ESCOBAR VAZQUEZ DEL MERCADO,PAN_PRD,JAVIER MARTINEZ MURO,0.0770670827
32005,2016,PAN_PRD,REYNALDO DELGADILLO MORENO,PRI_PVEM_PNA,RODRIGO SAUCEDO RAMIREZ,0.0283648881
32005,2018,PAN_PRD_MC,REYNALDO DELGADILLO MORENO,PT_MORENA_PES,MARIA FLORA TORRES NAVARRO,0.3524931154
32006,1992,PRI,MARIA BARRIOS SIFUENTES,PAN,,0.2513661202
32006,1995,PAN,MANUEL DE JESUS DEL RIO OJEDA,PRI,JESUS RUIZ MORAN,0.1954158096
32006,1998,PT,FRANCISCO JAVIER CARRILLO RINCON,PRI,,0.0023140496
32006,2001,CONVE,LUIS MARIO CASTRUITA QUIRINO,PRI,,0.0197469917
32006,2004,PRD,ROGELIO MONREAL DURON,PAN,,0.1937371964
32006,2007,PT,MARCO ANTONIO REGIS ZUÑIGA,PRD_CONVE,,0.0750798722
32006,2010,PAN_PT,OSWALDO SABAG HAMADANI,PRD_CONVE,SUSANA HINOJOSA TERRAZAS,0.0958171206
32006,2013,PRI,HORACIO AGUILAR TORRES,PVEM,MARCO ANTONIO REGIS ZUÑIGA,0.0226884606
32006,2016,PAN_PRD,OSWALDO SABAG HAMADANI,PRI_PVEM,NORMA LETICIA HINOJOSA TERRAZAS,0.0239576135
32006,2018,PVEM,MARCO ANTONIO REGIS ZUÑIGA,PNA,HORACIO AGUILAR TORRES,0.0658998323
32007,1992,PRI,JESUS URESTI SAUCEDO,PAN,,0.5657158091
32007,1995,PRI,JESUS MARTINEZ HORTA,PAN,J. GUADALUPE REYNA CORTES,0.236872277
32007,1998,PRI,ARTURO DOMINGUEZ ALVAREZ,PRD,,0.3384455959
32007,2001,PRD,JUAN CLAUDIO ESPARZA CASTILLO,PRI,,0.0504411201
32007,2004,PRI,JESUS MARTINEZ HORTA,PRD,,0.1406023222
32007,2007,PRI,ANASTACIO MALDONADO FALCON,PRD_CONVE,,0.0304462935
32007,2010,PRI_PVEM_PNA,ROSA HUERTA BRIONES,PRD_CONVE,MA ANGELINA ARIAS PESINA,0.0974433189
32007,2013,PAN_PRD,RAMON MONTEJANO CEPEDA,PRI,JULIO ABELARDO GONZALEZ PARDO,0.1157704325
32007,2016,PRI_PVEM,ANASTACIO MALDONADO FALCON,MORENA,JOSE LUIS MARTINEZ LOPEZ,0.031449553
32007,2018,PRI,ANASTACIO MALDONADO FALCON,PNA,JOSE LUIS MARTINEZ LOPEZ,0.0127098698
32008,1992,PRI,MARCIAL MONTOYA PIZAÑA,PRD,,0.4632302405
32008,1995,PRD,JOSE MANUEL RODRIGUEZ CARREON,PRI,FERNANDO RAMIREZ GAYTAN,0.0322302158
32008,1998,PRI,SERGIO SAENZ GARCIA,PRD,,0.1454644511
32008,2001,PAN,RAMON ELIAS ESQUIVEL,PRD,,0.0324096982
32008,2004,PRD,ANGEL RUIZ ZAPATA,PRI,,0.03855307
32008,2007,PRI,JOSE RODRIGUEZ ELIAS ACEVEDO,PRD_CONVE,,0.0415321713
32008,2010,PAN,ELEAZAR ESPARZA GONZALEZ,PRD_CONVE,AVELARDO MORALES RIVAS,0.0726449275
32008,2013,PVEM,ALFONSO ALBERTO ZAMARRIPA SANDOVAL,PAN_PRD,AVELARDO MORALES RIVAS,0.1829002515
32008,2016,PRI_PVEM,JUAN JOSE ALVAREZ MARTINEZ,PT,FRANCISCO JAVIER GARCIA ACOSTA,0.0690607735
32008,2018,PRI,JUAN JOSE ALVAREZ MARTINEZ,PVEM,FRANCISCO JAVIER ARCOS RUIZ,0.1523148148
32009,1992,PRI,JULIO HARO RAMIREZ,PAN,,0.3057205377
32009,1995,PAN,GREGORIO GALLEGOS SANCHEZ,PRI,JOSE CESAR CHAIREZ BLANCO,0.1302701338
32009,1998,PRI,JUAN FERNANDO NAVA PEÑA,PAN,,0.3263466306
32009,2001,PAN,FEDERICO ESPARZA HERNANDEZ,PRI,,0.0303506018
32009,2004,PRI,JESUS PEREZ BLANCO,PRD,,0.1123966942
32009,2007,PRI,JUAN FERNANDO NAVA PEÑA,PRD_CONVE,,0.0331398162
32009,2010,PAN,ALFONSO ESTRADA HERNANDEZ,PT,RAYMUNDO ROSALES PEREZ,0.0728382503
32009,2013,PRI,PEDRO MIRANDA MORALES,PT,AGUSTIN BEJAR ALONSO,0.3416795069
32009,2016,PRI_PVEM_PNA,MANUEL ROSALES PEREZ,PT,CLAUDIA OLIVAS DUARTE,0.1940385739
32009,2018,PRI,LAURA NAVA REVELES,PAN_PRD_MC,JUAN FERNANDO NAVA PEÑA,0.4125381098
32010,1992,PRI,HERON ROJAS SANCHEZ,PRD,,0.4876406139
32010,1995,PRI,CRESCENCIO HERRERA HERRERA,PAN,CATARINO CALDERA RODRIGUEZ,0.0973805794
32010,1998,PRD,JOSE CHAVEZ SANCHEZ,PRI,,0.4129517005
32010,2001,PRD,GONZALO LEDESMA BRETADO,PRI,,0.2284637853
32010,2004,PRD,RODOLFO MONREAL AVILA,PRI_PVEM_PT,,0.4295984292
32010,2007,PT,DAVID MONREAL AVILA,PRD_CONVE,,0.0568411558
32010,2010,PT,JUAN GARCIA PAEZ,PRD_CONVE,JUAN ANTONIO RANGEL TRUJILLO,0.1655903786
32010,2013,PRI,BENJAMIN MEDRANO QUEZADA,PT,DANIEL QUINTANAR STEPHANO,0.047928476
